web_resource_reference_id,web_resource_type,web_resource_title,web_resource_short_title,universal_resource_locator
http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/
http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/
http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/
http://data.nemoarchive.org/biccn/grant/feng/feng/transcriptome/scell/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/grant/feng/feng/transcriptome/scell/
http://data.nemoarchive.org/biccn/grant/huang/arlotta/transcriptome/bulk/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/grant/huang/arlotta/transcriptome/bulk/
http://data.nemoarchive.org/biccn/grant/huang/arlotta/transcriptome/scell/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/grant/huang/arlotta/transcriptome/scell/
http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/
http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell/
http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell/
http://data.nemoarchive.org/biccn/grant/lein/linnarsson/transcriptome/sncell/10X/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/grant/lein/linnarsson/transcriptome/sncell/10X/
http://data.nemoarchive.org/biccn/grant/zeng/anderson/transcriptome/scell/10x/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/grant/zeng/anderson/transcriptome/scell/10x/
http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/10X/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/10X/
http://data.nemoarchive.org/biccn/assay/transcriptome/zeng/scell/10X/raw/MOp_v3/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/assay/transcriptome/zeng/scell/10X/raw/MOp_v3/
http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/
http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/10X/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/10X/
http://data.nemoarchive.org/biccn/grant/zeng/zeng/transcriptome/snuc/10X/raw/MOp_v3/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/grant/zeng/zeng/transcriptome/snuc/10X/raw/MOp_v3/
http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/SMARTer/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/SMARTer/
http://data.nemoarchive.org/biccn/grant/zeng/tolias/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/grant/zeng/tolias/
http://identifiers.org/DANDI:000008,download,DANDI archive,DANDI,http://identifiers.org/DANDI:000008
http://data.nemoarchive.org/biccn/grant/zhang/zhang/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/grant/zhang/zhang/
http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/
http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer_viral/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer_viral/
http://help.brain-map.org/download/attachments/8323525/Mouse_Common_Coordinate_Framework.pdf,view,Mouse Common Coordinate Framework ,CCF,http://help.brain-map.org/download/attachments/8323525/Mouse_Common_Coordinate_Framework.pdf
http://doi.org/10.17504/protocols.io.4xjgxkn,view,Triple Anterograde Tracing,Triple Anterograde Tracing,http://doi.org/10.17504/protocols.io.4xjgxkn
http://doi.org/10.17504/protocols.io.4xpgxmn,view,Quadruple Retrograde Tracing,Quadruple Retrograde Tracing,http://doi.org/10.17504/protocols.io.4xpgxmn
http://doi.org/10.17504/protocols.io.4xsgxne,view,TRIO tracing,TRIO tracing,http://doi.org/10.17504/protocols.io.4xsgxne
http://doi.org/10.17504/protocols.io.pjudknw,view,Sequencing open chromatin of single cell nuclei: snATAC-seq,Sequencing open chromatin of single cell nuclei: snATAC-seq,http://doi.org/10.17504/protocols.io.pjudknw
http://doi.org/10.17504/protocols.io.pjvdkn6,view,Methyl-C sequencing of single cell nuclei: snmC-seq2,Methyl-C sequencing of single cell nuclei: snmC-seq2,http://doi.org/10.17504/protocols.io.pjvdkn6
http://doi.org/10.17504/protocols.io.2srged6,view,Extraction of Nuclei from Brain Tissue,Extraction of Nuclei from Brain Tissue,http://doi.org/10.17504/protocols.io.2srged6
http://doi.org/10.17504/protocols.io.md2c28e,view,DroNc-seq step-by-step,DroNc-seq step-by-step,http://doi.org/10.17504/protocols.io.md2c28e
http://doi.org/10.17504/protocols.io.sqcedsw,view,STP Imaging Protocol,STP Imaging Protocol,http://doi.org/10.17504/protocols.io.sqcedsw
