Grant,Project,Collection,Archive URL,License,Collection short title,Collection title,Collection description,Project short title,Project title,Project description
RF1 Tasic,tasic_stpt_proj,tasic_stpt,,,STPT,Imaging of enhancer virus labeling,Serial two photon tomography characterizating fluorescent reporter expression from enhancer viruses in mouse brain.,STPT,Brain-wide labeling patterns of enhancer viruses,"Cell type-specific regulatory elements identified, AAV viruses were generated and delivered into the brains of reporter mice.  Virus-infected brains were imaged on a Tissuecyte 2P tomography system to characterize labeling patterns brain-wide."
RF1 Tasic,zeng_sc_SSv4_proj,zeng_sc_SSv4,http://data.nemoarchive.org/biccn/lab/tasic/transcriptome/scell/,CCBY4; AIBSTOU,SMART-seq v4,Transcriptomic cell types in the mouse brain: SMART-seq cells,Single cell characterization in mouse brain using SMART-seq v4.,SMART-seq v4,Transcriptomic cell types in the mouse brain: SMART-seq cells,"Our goal is to create a high-quality atlas of cell types in the mouse brain using large scale single cell transcriptomic analysis across the entire mouse brain. Transgenic or viral strategies were used to label specific cell populations in the brain with fluorescent reporters. Sample collection was biased to enable sampling of as many cell types as possible and reduce redundant cell type collection. Most of the cells in this dataset were collected using broad Cre-driver lines that labeled all neurons (Snap25-IRES2-Cre), all Glutamatergic cells (Slc17a7-IRES2-Cre), or all GABAergic cells (Slc32a1-IRES-Cre or Gad2-IRES-Cre). Cells from primary visual cortex (VISp) and anterior lateral motor cortex (ALM, a subset of secondary motor cortex, MOs) were collected from a broad set of transgenic driver and reporter combinations in addition to the broad lines specified above. Fine dissections of brain regions and cortical layers were performed and tracked throughout sample processing. Specimens were dissected from both hemispheres in both male and female mice. Fluorescence activated s+J10orting of cells was performed based on expression or absence of fluorescent reporter labels to isolate individual cells into separate tubes. Isolated cells were processed for single cell RNA sequencing using SMARTer v4. This method enables tracking of dissection location and high gene detection per cell to identify fine differences in gene expression and highly selective marker genes. This dataset will survey all major regions of the mouse brain. Publication: Tasic, B. et al. Nature 563, 72;78 (2018)."
RF1 Tasic,tasic_ATACseq_proj,tasic_ATACseq,http://data.nemoarchive.org/biccn/lab/tasic/chromatin/scell/,,ATACseq,Chromatin accessibility data from mouse V1,Single cell ATAC seq data from mouse V1.,ATACseq,Chromatin accessibility data from mouse V1,Chromatin accessibility data was collected from individual cells in mouse V1 and clustered with single cell data to identify enhancers specific for cell classes and subclasses.
U01 Dong,dong_antero_proj,dong_antero,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,CCBY4,Anterograde tracing,Cre-dependent anterograde pathway tracing,Fluorescent imaging of brain tissue sections marked by Cre-dependent anterograde tracer injections with nissl counterstain.,Anterograde tracing,Cre-dependent anterograde pathway tracing,"Different populations of neurons can be defined by their unique connectivity profiles. To determine the brain-wide targets of projection-defined cell types (e.g., caudoputamen-projecting amygdala neurons), Cre-dependent anterograde tracing was used. Cre was delivered to a projection-defined population of neurons, whose outputs were then traced via a Cre-dependent anterograde tracer injection. Utilizing this strategy, the unique brain-wide connections of different projection-defined neurons can be attained (e.g., targets of caudoputamen-projecting amygdala neurons versus targets of hippocampus-projecting amygdala neurons). Male C57BL wild type mice 8 weeks of age were used and all sections were counterstained with Nissl for cytoarchitectonic details"
U01 Dong,dong_retro_proj,dong_retro,http://download.brainimagelibrary.org/biccn/dong/retrograde/,CCBY4,Retrograde tracing,Retrograde pathway tracing,Fluorescent imaging of brain tissue sections labeled by 3-5 retrograde tracers with nissl counterstain.,Retrograde tracing,Retrograde pathway tracing,"Different populations of neurons can be defined by their unique connectivity characteristics. This information of connectional features can be integrated with additional discriminating elements of neurons like their molecular profile to provide more comprehensive cell identification. Retrograde pathway tracers identify the input connections of injected regions by labeling cell bodies. Male C57BL wild type mice 8 weeks of age were used. In one experiment, 3-5 retrograde tracers were injected in different regions of interest spanning the cortex, striatum, thalamus, basal ganglia, hippocampus, amygdala, midbrain, or hindbrain. As such in one experiment, four different populations of neurons were identified simultaneously. All sections were counterstained with Nissl for cytoarchitectonic details."
U01 Dong,dong_trio_proj,dong_trio,http://download.brainimagelibrary.org/biccn/dong/trio/,CCBY4,TRIO,Tracing the relationship between input and output (TRIO),Fluorescent imaging of brain tissue sections labeled by Cre-dependent rabies viral tracers with nissl counterstain.,TRIO,Tracing the relationship between input and output (TRIO),"Different populations of neurons can be defined by their unique connectivity profiles. To determine the brain-wide inputs to projection-defined cell types (e.g., caudoputamen-projecting amygdala neurons), Cre-dependent rabies viral tracing was used. Cre was delivered to a projection-defined population of neurons, which received TVA and rabies glycoprotein delivered via a Cre-dependent helper virus. Next, an EnvA pseudotyped G-deleted rabies virus was delivered to the same population of neurons to label their monosynaptic inputs from cells across the brain (e.g., brain-wide inputs to caudoputamen-projecting amygdala neurons). Utilizing this strategy, the unique brain-wide monosynaptic inputs to different projection-defined cell types can be attained (e.g., inputs to caudoputamen-projecting amygdala neurons versus inputs to hippocampus-projecting amygdala neurons). Male C57BL wild type mice 8 weeks of age were used and all sections were counterstained with Nissl for cytoarchitectonic details."
U01 Ecker,ecker_hu_DNAseq_proj,ecker_hu_DNAseq,,CCBY4,DNA sequencing,DNA genome sequence of  individual human brain donors,DNA genome sequence of  individual human brain donors.,DNA sequencing,DNA genome sequence of  individual human brain donors,DNA genome sequence of  individual human brain donors
U01 Ecker,ecker_hu_sn_ATACseq_proj,ecker_hu_sn_ATACseq,,CCBY4,DNA methylation single cell,DNA methylation profiling of genomic DNA in individual human brain cell nuclei,DNA methylation profiling of genomic DNA in individual human brain cell nuclei.,DNA methylation single cell,DNA methylation profiling of genomic DNA in individual human brain cell nuclei,DNA methylation profiling of genomic DNA in individual human brain cell nuclei
U01 Ecker,ecker_hu_sn_mCseq_proj,ecker_hu_sn_mCseq,,CCBY4,Chromatin single cell,Chromatin accessibility profiling of genomic DNA in individual human brain nuclei,Chromatin accessibility profiling of genomic DNA in individual human brain nuclei.,Chromatin single cell,Chromatin accessibility profiling of genomic DNA in individual human brain nuclei,Chromatin accessibility profiling of genomic DNA in individual human brain nuclei
U01 Feng,feng_fish_proj,feng_fish,http://download.brainimagelibrary.org/biccn/feng/fish/,CCBY4,FISH,A Molecular and Cellular Atlas of the Marmoset Brain - FISH,Fluorescent in situ hybridization of sparsely labeled GFP cells across 16 brain regions.,FISH,A Molecular and Cellular Atlas of the Marmoset Brain - FISH,"By using Fluorescent In Situ Hybirdization techniques, we will profile the mRNA expression data of sparsely labeled GFP cells across 16 brain regions. This data will then be funneled through our semi-automatic tracing pipeline. The morphological and spatial data will be used to create an interactive atlas of the marmoset brain. "
