project_reference_id,project_title,project_short_title,project_description,project_type,doi_symbol,project_citation,information_web_resource_reference_id
BICCN,BRAIN Initiative Cell Census Network,BICCN,"NIH's Brain Research through Advancing Innovative Neurotechnologies (BRAIN) Initiative - Cell Census Network (BICCN) aims to provide researchers and the public with a comprehensive reference of the diverse cell types in human, mouse, and non-human primate brain. A network of integrated centers and laboratories including U01, RF1, and U19 data generating centers, R24 data archives, and a U24 Brain Cell Data Center (BCDC) are working collaboratively to generate, map, and share these data with the community.",program,,,https://www.biccn.org/
Allen Brain Map,Allen Brain Map,Allen Brain Map,Projects of the Allen Institute for Brain Science.,program,,,https://portal.brain-map.org
ACTD,Allen Cell Types Database,Allen Cell Types Database,"The goal of the Allen Cell Types Database is to characterize, in a systematic and standardized manner, individual neurons in neocortical and thalamic regions of the mouse and adult human brain. This characterization includes: intrinsic electrophysiology properties, neuron morphology, transcriptomicsprofile, and/orparameters from multiple computational models incorporating one  or more of these experimentally defined modalities. Through clustering and correlational  analyses  of these different modalities, we seek to characterize neuronal cell types, and to enable cross-species comparison.",sub program,,,https://celltypes.brain-map.org/
TransChar,Transgenic Characterization,Transgenic Char,Transgenic approaches are used to label neurons in a cell type specific manner in mice. These transgenic mice can be then be used to enable profiling of specific cell-types by various assays. The labeling of specific cell types by these transgenic approaches was characterized as a reference set.,sub program,,,https://portal.brain-map.org/explore/toolkit/mice
U01 Dong,Anatomical Characterization of Neuronal Cell Types of the Mouse Brain,U01 Dong,Anatomical Characterization of Neuronal Cell Types of the Mouse Brain,sub program,,,https://biccn.org/teams/u01-dong
U19 Ecker,Center for Epigenomics of the Mouse Brain Atlas (CEMBA),U19 Ecker,Center for Epigenomics of the Mouse Brain Atlas (CEMBA),sub program,,,https://biccn.org/teams/u19-ecker
U01 Feng,A Molecular and Cellular Atlas of the Marmoset Brain,U01 Feng,A Molecular and Cellular Atlas of the Marmoset Brain,sub program,,,https://biccn.org/teams/u01-feng
U19 Huang,A Comprehensive Center for Mouse Brain Cell Atlas,U19 Huang,A Comprehensive Center for Mouse Brain Cell Atlas,sub program,,,https://biccn.org/teams/u19-huang
U01 Kriegstein,A Cellular Resolution Census of the Developing Human Brain,U01 Kriegstein,A Cellular Resolution Census of the Developing Human Brain,sub program,,,https://biccn.org/teams/u01-kriegstein
U01 Osten,Collaboratory for Atlasing Cell Type Anatomy in the Female and Male Mouse Brain,U01 Osten,Collaboratory for Atlasing Cell Type Anatomy in the Female and Male Mouse Brain,sub program,,,https://biccn.org/teams/u01-osten
U01 Yang,Dendritome Mapping of Genetically-Defined and Sparsely-Labeled Cortical and Striatal Projection Neurons,U01 Yang,Dendritome Mapping of Genetically-Defined and Sparsely-Labeled Cortical and Striatal Projection Neurons,sub program,,,https://biccn.org/teams/u01-yang
U19 Zeng,A Comprehensive Whole-brain Atlas of Cell Types in the Mouse,U19 Zeng,A Comprehensive Whole-brain Atlas of Cell Types in the Mouse,sub program,,,https://biccn.org/teams/u19-zeng
U01 ZhangKun,Toward a Human Adult Brain Cell Atlas with Single-Cell Technologies,U01 ZhangKun,Toward a Human Adult Brain Cell Atlas with Single-Cell Technologies,sub program,,,https://biccn.org/teams/u01-zhangk
U01 ZhangLi,Cell Atlas of Mouse Brain-Spinal Cord Connectome,U01 ZhangLi,Cell Atlas of Mouse Brain-Spinal Cord Connectome,sub program,,,https://biccn.org/teams/u01-zhangl
RF1 Mueller,"Accessible technologies for high-throughput, whole-brain reconstructions of molecularly characterized mammalian neurons",RF1 Mueller,"Accessible technologies for high-throughput, whole-brain reconstructions of molecularly characterized mammalian neurons",sub program,,,https://biccn.org/teams/rf1-mueller
RF1 Nowakowski,Mapping Developmental Lineage Relationships in the Cerebral Cortex,RF1 Nowakowski,Mapping Developmental Lineage Relationships in the Cerebral Cortex,sub program,,,https://biccn.org/teams/rf1-nowakowski
RF1 Regev,Scaling up spatial RNA profiling with compressed sensing,RF1 Regev,Scaling up spatial RNA profiling with compressed sensing,sub program,,,https://biccn.org/teams/rf1-regev
RF1 Tasic,Cell class- or type-specific viruses for brain-wide labeling and neural circuit examination,RF1 Tasic,Cell class- or type-specific viruses for brain-wide labeling and neural circuit examination,sub program,,,https://biccn.org/teams/rf1-tasic
U01 Ecker,Epigenomic cell-type classification and regulatory element identification in the human brain,U01 Ecker,Epigenomic cell-type classification and regulatory element identification in the human brain,sub program,,,https://biccn.org/teams/u01-ecker
U01 Fischl,Imaging and analysis Techniques to Construct a Cell Census Atlas of the Human Brain,U01 Fischl,Imaging and analysis Techniques to Construct a Cell Census Atlas of the Human Brain,sub program,,,https://biccn.org/teams/u01-fischl
U01 Lein,A Multimodal Atlas of Human Brain Cell Types,U01 Lein,A Multimodal Atlas of Human Brain Cell Types,sub program,,,https://biccn.org/teams/u01-lein
HumanM110xProj,Transcriptomic characterization of cell types in human M1 using droplet-based single nucleus RNA sequencing,Human M1 10x,"To investigate the cellular diversity of the human cortex, we used 10x Genomics Chromium single nucleus RNA-sequencing technology to perform a survey of the cell types in human primary motor cortex. Nuclei were sampled from 2 postmortem donor brains and dissociated nuclei were labeled using an antibody against the neuronal marker NeuN to facilitate enrichment for neurons using fluorescence-activated cell sorting (FACS). Profiled nuclei included approximately 90% neurons and 10% glia.",data collection project,,,
TransgenicSTPT,Transgenic Characterization - serial two-photon tomography,Transgenic STPT,"Transgene expression was used to label cell types and brain regions in mouse brain, and these transgenes were characterized using serial two-photon tomography to create 3D volumes. These data were used in conjunction with other multimodal reference data to parcellate the entire mouse brain into anatomic regions in order to create the Allen Mouse Brain Common Coordinate Framework (CCFv3), an annotated 3D reference space with 10µm voxel resolution.",data collection project,,,
dong_antero_proj,Cre-dependent anterograde pathway tracing,Anterograde tracing,"Different populations of neurons can be defined by their unique connectivity profiles. To determine the brain-wide targets of projection-defined cell types (e.g., caudoputamen-projecting amygdala neurons), Cre-dependent anterograde tracing was used. Cre was delivered to a projection-defined population of neurons, whose outputs were then traced via a Cre-dependent anterograde tracer injection. Utilizing this strategy, the unique brain-wide connections of different projection-defined neurons can be attained (e.g., targets of caudoputamen-projecting amygdala neurons versus targets of hippocampus-projecting amygdala neurons). Male C57BL wild type mice 8 weeks of age were used and all sections were counterstained with Nissl for cytoarchitectonic details",data collection project,,,
