project_reference_id,modality_name
dong_antero_proj,connectivity
dong_retro_proj,connectivity
dong_trio_proj,connectivity
dulac_pag_sn_10x_proj,transcriptomics
ecker_hu_DNAseq_proj,genomics
ecker_hu_sn_ATACseq_proj,epigenomics
ecker_hu_sn_mCseq_proj,epigenomics
ecker_sn_ATACseq_proj,epigenomics
ecker_sn_mCseq_proj,epigenomics
ecker_sn_mCseq_retro_proj,epigenomics
ecker_trio_proj,connectivity
feng_fish_proj,cell morphology
feng_fish_proj,spatial transcriptomics
feng_sn_dropseq_proj,transcriptomics
fischl_mri_proj,anatomy
fischl_mri_proj,histology imaging
fischl_oct_proj,anatomy
huang_antero_proj,connectivity
huang_fmost_proj,cell morphology
huang_input_conn_proj,connectivity
huang_pn_proj,transcriptomics
huang_retro_proj,connectivity
huang_sn_10xv2_proj,transcriptomics
huang_stpt_conn_proj,connectivity
huang_stpt_count_proj,population imaging
HumanM110xProj,transcriptomics
human_cortex,transcriptomics
kriegstein_sc_10x_proj,transcriptomics
kriegstein_sc_ATACseq_proj,epigenomics
kriegstein_sn_10x_proj,transcriptomics
lein_sn_10x,transcriptomics
lein_sn_SSv4_proj,transcriptomics
mueller_mouselight_proj,cell morphology
nowakowski_evobc_proj,transcriptomics
nowakowski_pndev_10xv3_proj,transcriptomics
osten_stpt_proj,population imaging
regev_cisi_proj,spatial transcriptomics
tasic_ATACseq_proj,epigenomics
tasic_stpt_proj,population imaging
tilgner_sc_10x_PB,transcriptomics
TransgenicSTPT,population imaging
yang_MORF_confocal_proj,cell morphology
zeng_anderson_sc_10xv2_proj,transcriptomics
zeng_fmost_proj,cell morphology
zeng_mouselight_proj,cell morphology
zeng_retro_proj,connectivity
zeng_sc_10x_proj,transcriptomics
zeng_sc_SSv4_proj,transcriptomics
zeng_sn_10x_proj,transcriptomics
zeng_sn_SSv4_proj,transcriptomics
zeng_tolias_pseq_proj,cell morphology
zeng_tolias_pseq_proj,electrophysiology
zeng_tolias_pseq_proj,transcriptomics
zhangK_snareseq,multimodal
zhangl_anatomy_proj,anatomy
zhangl_kz_omics_proj,transcriptomics
zhangl_seqfish_proj,spatial transcriptomics
zhuang_merfish_proj,spatial transcriptomics
dulac_hyp_sn_10x_proj,transcriptomics
huang_macosko_sn_10xv3_proj,transcriptomics
