project_reference_id,web_resource_reference_id,priority_order
dong_antero_proj,https://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,0
dong_retro_proj,https://download.brainimagelibrary.org/biccn/dong/retrograde/,0
dong_trio_proj,https://download.brainimagelibrary.org/biccn/dong/trio/,0
ecker_trio_proj,https://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,0
feng_fish_proj,https://download.brainimagelibrary.org/biccn/feng/fish/,0
fischl_mri_proj,https://gui.dandiarchive.org/#/dandiset/000026,0
fischl_oct_proj,https://gui.dandiarchive.org/#/dandiset/000026,0
huang_antero_proj,https://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,0
huang_pn_proj,https://assets.nemoarchive.org/dat-mq52tet,0
huang_retro_proj,https://download.brainimagelibrary.org/biccn/huang/dong/retrograde/quad/,0
huang_sn_10xv2_proj,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,0
huang_stpt_conn_proj,https://download.brainimagelibrary.org/biccn/huang/connectivity/anterograde/,0
huang_stpt_count_proj,https://download.brainimagelibrary.org/biccn/huang/cellcounting/,0
HumanM110xProj,https://celltypes.brain-map.org/rnaseq/human_m1_10x,0
human_cortex,https://celltypes.brain-map.org/rnaseq/human_ctx_smart-seq,0
osten_stpt_proj,https://download.brainimagelibrary.org/biccn/osten/cellcounting/,0
regev_cisi_proj,https://download.brainimagelibrary.org/biccn/regev/cisi,0
regev_cisi_proj,https://github.com/cleary-lab/CISI,1
tasic_stpt_proj,https://download.brainimagelibrary.org/biccn/tasic/stpt/,0
TransgenicSTPT,https://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,0
yang_MORF_confocal_proj,https://download.brainimagelibrary.org/biccn/yang/morf/confocal/,0
zeng_fmost_proj,https://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,0
zeng_mouselight_proj,https://download.brainimagelibrary.org/biccn/zeng/mouselight/,0
zeng_retro_proj,https://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,0
zeng_sc_10x_proj,http://data.nemoarchive.org/biccn/assay/transcriptome/zeng/scell/10X/,0
zeng_sc_SSv4_proj,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/,0
zeng_tolias_pseq_proj,http://identifiers.org/DANDI:000008,0
zeng_tolias_pseq_proj,https://download.brainimagelibrary.org/biccn/zeng/tolias/pseq/morph/,1
zhangl_anatomy_proj,https://download.brainimagelibrary.org/biccn/zhangl/anatomy,0
zhangl_seqfish_proj,https://download.brainimagelibrary.org/biccn/zhangl/seqfish/,0
zhuang_merfish_proj,https://download.brainimagelibrary.org/biccn/zeng/zhuang/merfish/,0
huang_macosko_sn_10xv3_proj,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,0
