person_reference_id,person_name,person_given_name,person_family_name,orcid_symbol
Adrian V. Dalca,Adrian V. Dalca,Adrian V.,Dalca,
Alessia Atzeni,Alessia Atzeni,Alessia,Atzeni,
Allison Stevens,Allison Stevens,Allison,Stevens,
Andre van der Kouwe,Andre van der Kouwe,Andre,van der Kouwe,
Andreas Tolias,Andreas Tolias,Andreas,Tolias,
Anoushka Joglekar,Anoushka Joglekar,Anoushka,Joglekar,
Anthony Kolasny,Anthony Kolasny,Anthony,Kolasny,
Anubhav Sinha,Anubhav Sinha,Anubhav,Sinha,
Aparna Bhaduri,Aparna Bhaduri,Aparna,Bhaduri,0000-0003-4625-6899
Arnold Kriegstein,Arnold Kriegstein,Arnold,Kriegstein,
Aviv Regev,Aviv Regev,Aviv,Regev,
Bing Ren,Bing Ren,Bing,Ren,0000-0002-5435-1127
Blue Lake,Blue Lake,Blue,Lake,0000-0002-8637-9044
Bosiljka Tasic,Bosiljka Tasic,Bosiljka,Tasic,
Bram Diamond,Bram Diamond,Bram,Diamond,
Brian Cleary,Brian Cleary,Brian,Cleary,
Brian Edlow,Brian Edlow,Brian,Edlow,
Bridget Wicinski,Bridget Wicinski,Bridget,Wicinski,
Brooke Simonton,Brooke Simonton,Brooke,Simonton,
Bruce Fischl,Bruce Fischl,Bruce,Fischl,
Caroline Magnain,Caroline Magnain,Caroline,Magnain,
Catherine Dulac,Catherine Dulac,Catherine,Dulac,
Chang Sin Park,Chang Sin Park,Chang Sin,Park,
Chiara Gerhardinger,Chiara Gerhardinger,Chiara,Gerhardinger,
Chuck Vanderburg,Chuck Vanderburg,Chuck,Vanderburg,
Cindy van Velthoven,Cindy van Velthoven,Cindy,van Velthoven,
Darrick Lo,Darrick Lo,Darrick,Lo,
David Anderson,David Anderson,David,Anderson,
David Boas,David Boas,David,Boas,
David J Anderson,David J Anderson,David,Anderson,0000-0001-6175-3872
Devani Cordero,Devani Cordero,Devani,Cordero,
Divya Varadarajan,Divya Varadarajan,Divya,Varadarajan,
Dmitry Kobak,Dmitry Kobak,Dmitry,Kobak,
Dmitry Velmeshev,Dmitry Velmeshev,Dmitry,Velmeshev,
Dong-Wook Kim,Dong-Wook Kim,Dong-Wook,Kim,0000-0002-5497-5853
Ed Callaway,Ed Callaway,Ed,Callaway,
Ed Lein,Ed Lein,Ed,Lein,
Edward Boyden,Edward Boyden,Edward,Boyden,
Edward Callaway,Edward Callaway,Edward,Callaway,0000-0002-6366-5267
Ehsan Habibi,Ehsan Habibi,Ehsan,Habibi,
Elise Shen,Elise Shen,Elise,Shen,
Emma Boyd,Emma Boyd,Emma,Boyd,
Eran A. Mukamel,Eran A. Mukamel,Eran,Mukamel,
Erendira Garcia Pallares,Erendira Garcia Pallares,Erendira Garcia,Pallares,
Eric Lander,Eric Lander,Eric,Lander,
Eric Vaughn,Eric Vaughn,Eric,Vaughn,
Evan Macosko,Evan Macosko,Evan,Macosko,
Evan Murray,Evan Murray,Evan,Murray,
Federico Scala,Federico Scala,Federico,Scala,
Fei Chen,Fei Chen,Fei,Chen,
Fenna Krienen,Fenna Krienen,Fenna,Krienen,
Filippo Maria Castelli,Filippo Maria Castelli,Filippo Maria,Castelli,
Florence D'Orazi,Florence D'Orazi,Florence,D'Orazi,
Francesco Pavone,Francesco Pavone,Francesco,Pavone,
Giacomo Mazzamuto,Giacomo Mazzamuto,Giacomo,Mazzamuto,
Guang-Wei Zhang,Guang-Wei Zhang,Guangwei,Zhang,
Guoping Feng,Guoping Feng,Guoping,Feng,0000-0002-8021-277X
Hagen Tilgner,Hagen Tilgner,Hagen,Tilgner,
Hanchuan Peng,Hanchuan Peng,Hanchuan,Peng,0000-0002-3478-3942
Hanqing Liu,Hanqing Liu,Hanqing,Liu,0000-0002-5114-6048
Heather Zaniewski,Heather Zaniewski,Heather,Zaniewski,
Hong-Wei Dong,Hong-Wei Dong,Hong-Wei,Dong,0000-0001-9972-3177
Hongkui Zeng,Hongkui Zeng,Hongkui,Zeng,
Houri Hintiryan,Houri Hintiryan,Houri,Hintiryan,
Hui Wang,Hui Wang,Hui,Wang,
I-Chun Anderson Chen,I-Chun Anderson Chen,I-Chun Anderson,Chen,
Ian Bowman,Ian Bowman,Ian,Bowman,
Irene Costantini,Irene Costantini,Irene,Costantini,
Jackson Nolan,Jackson Nolan,Jackson,Nolan,
