project_reference_id,specimen_type_name
dong_antero_proj,brain section set
dong_retro_proj,brain section set
dong_trio_proj,brain section set
dulac_pag_sn_10x_proj,cell nucleus
ecker_hu_DNAseq_proj,tissue sample
ecker_hu_sn_ATACseq_proj,cell nucleus
ecker_hu_sn_mCseq_proj,cell nucleus
ecker_sn_ATACseq_proj,cell nucleus
ecker_sn_mCseq_proj,cell nucleus
ecker_sn_mCseq_retro_proj,cell nucleus
ecker_trio_proj,brain section set
feng_fish_proj,brain section set
feng_fish_proj,cell in slice
feng_sn_dropseq_proj,cell nucleus
fischl_mri_proj,brain hemisphere
fischl_mri_proj,brain slice
fischl_mri_proj,tissue sample
huang_antero_proj,brain section set
huang_fmost_proj,whole brain
huang_fmost_proj,whole cell
huang_input_conn_proj,whole brain
huang_pn_proj,bulk nucleus
huang_pn_proj,cell nucleus
huang_retro_proj,brain section set
huang_sn_10xv2_proj,cell nucleus
huang_stpt_conn_proj,whole brain
huang_stpt_count_proj,whole brain
HumanM110xProj,cell nucleus
human_cortex,cell nucleus
kriegstein_sc_10x_proj,whole cell
kriegstein_sc_ATACseq_proj,cell nucleus
kriegstein_sn_10x_proj,cell nucleus
lein_sn_10x,cell nucleus
lein_sn_SSv4_proj,cell nucleus
mueller_mouselight_proj,whole brain
nowakowski_evobc_proj,whole cell
nowakowski_pndev_10xv3_proj,cell nucleus
osten_stpt_proj,whole brain
regev_cisi_proj,brain slice
tasic_ATACseq_proj,whole cell
tasic_stpt_proj,whole brain
tilgner_sc_10x_PB,cell nucleus
TransgenicSTPT,whole brain
yang_MORF_confocal_proj,brain section set
yang_MORF_confocal_proj,whole cell
zeng_anderson_sc_10xv2_proj,whole cell
zeng_fmost_proj,whole brain
zeng_fmost_proj,whole cell
zeng_mouselight_proj,whole brain
zeng_retro_proj,whole brain
zeng_sc_10x_proj,whole cell
zeng_sc_SSv4_proj,whole cell
zeng_sn_10x_proj,cell nucleus
zeng_sn_SSv4_proj,cell nucleus
zeng_tolias_pseq_proj,cell in slice
zeng_tolias_pseq_proj,cell nucleus
zhangK_snareseq,cell nucleus
zhangl_anatomy_proj,spinal cord slice
zhangl_kz_omics_proj,cell nucleus
zhangl_seqfish_proj,spinal cord slice
dulac_hyp_sn_10x_proj,cell nucleus
huang_macosko_sn_10xv3_proj,cell nucleus
dong_viral_neuron_proj,brain slice
dong_viral_neuron_proj,whole brain
huang_dev_cx_proj,brain region
lein_evo_10x_proj,cell nucleus
lein_L5_pseq_proj,cell nucleus
lein_L5_pseq_proj,cell in slice
macosko_bg_shareseq_proj,brain region
macosko_bg_slideseq_proj,brain slice
macosko_mouse_slideseq_proj,brain slice
mop_evo_tx_epi_pseq_proj,cell nucleus
mop_evo_tx_epi_pseq_proj,cell in slice
snyder-mackler_macaque_proj,brain region
zhangl_ephys_proj,spinal cord slice
zhuang_dulac_merfish_MOE_proj,brain slice
zhuang_dulac_merfish_PAG_proj,brain slice
zhuang_merfish_MOp_proj,brain slice
zhuang_merfish_NAc_proj,brain slice
