protocol_reference_id,protocol_title,protocol_short_title,view_web_resource_reference_id
protocol http://doi.org/10.17504/protocols.io.2srged6,Extraction of Nuclei from Brain Tissue,Extraction of Nuclei from Brain Tissue,http://doi.org/10.17504/protocols.io.2srged6
protocol http://doi.org/10.17504/protocols.io.4xjgxkn,Triple Anterograde Tracing,Triple Anterograde Tracing,http://doi.org/10.17504/protocols.io.4xjgxkn
protocol http://doi.org/10.17504/protocols.io.4xpgxmn,Quadruple Retrograde Tracing,Quadruple Retrograde Tracing,http://doi.org/10.17504/protocols.io.4xpgxmn
protocol http://doi.org/10.17504/protocols.io.4xsgxne,TRIO tracing,TRIO tracing,http://doi.org/10.17504/protocols.io.4xsgxne
protocol http://doi.org/10.17504/protocols.io.4zzgx76,Sequencing open chromatin of single cell nuclei: snATAC-seq V.2 ,snATAC-seq V.2 ,http://doi.org/10.17504/protocols.io.4zzgx76
protocol http://doi.org/10.17504/protocols.io.63rhgm6,Nextera XT at 0.2X On the Mantis,Nextera XT at 0.2X On the Mantis,http://doi.org/10.17504/protocols.io.63rhgm6
protocol http://doi.org/10.17504/protocols.io.7aehibe,Human Tissue Slicing and Dissections for Nuclear Isolations,Human Tissue Slicing and Dissections for Nuclear Isolations,http://doi.org/10.17504/protocols.io.7aehibe
protocol http://doi.org/10.17504/protocols.io.7d5hi86,SMARTerV4 (0.5x) Amplification for single-cell or single-nuclei RNASeq Protocol,SMARTerV4 (0.5x) Amplification for single-cell or single-nuclei RNASeq Protocol,http://doi.org/10.17504/protocols.io.7d5hi86
protocol http://doi.org/10.17504/protocols.io.7d6hi9e,SMARTerV4 (1x) Amplification for single-cell or  single-nuclei RNASeq Protocol,SMARTerV4 (1x) Amplification for single-cell or  single-nuclei RNASeq Protocol,http://doi.org/10.17504/protocols.io.7d6hi9e
protocol http://doi.org/10.17504/protocols.io.7dwhi7e,Slice Preparation with Tissue Dissociation - Mouse Protocol,Slice Preparation with Tissue Dissociation - Mouse Protocol,http://doi.org/10.17504/protocols.io.7dwhi7e
protocol http://doi.org/10.17504/protocols.io.8tvhwn6,Nuclei Isolation for SNARE-seq2 ,Nuclei Isolation for SNARE-seq2 ,http://doi.org/10.17504/protocols.io.8tvhwn6
protocol http://doi.org/10.17504/protocols.io.md2c28e,DroNc-seq step-by-step,DroNc-seq step-by-step,http://doi.org/10.17504/protocols.io.md2c28e
protocol http://doi.org/10.17504/protocols.io.nx3dfqn,Preparation of frozen nuclei for single-nucleus RNA seq,Preparation of frozen nuclei for single-nucleus RNA seq,http://doi.org/10.17504/protocols.io.nx3dfqn
protocol http://doi.org/10.17504/protocols.io.pjudknw,Sequencing open chromatin of single cell nuclei: snATAC-seq,Sequencing open chromatin of single cell nuclei: snATAC-seq,http://doi.org/10.17504/protocols.io.pjudknw
protocol http://doi.org/10.17504/protocols.io.pjvdkn6,Methyl-C sequencing of single cell nuclei: snmC-seq2,Methyl-C sequencing of single cell nuclei: snmC-seq2,http://doi.org/10.17504/protocols.io.pjvdkn6
protocol http://doi.org/10.17504/protocols.io.smvec66,STPT protocol,STPT protocol,http://doi.org/10.17504/protocols.io.smvec66
protocol http://doi.org/10.17504/protocols.io.sqcedsw,STP Imaging Protocol,STP Imaging Protocol,http://doi.org/10.17504/protocols.io.sqcedsw
protocol http://doi.org/10.17504/protocols.io.ssgeebw,Resin/HM20 Embedding and fMOST Imaging Protocol,Resin/HM20 Embedding and fMOST Imaging Protocol,http://doi.org/10.17504/protocols.io.ssgeebw
protocol http://doi.org/10.17504/protocols.io.y6rfzd6,Isolation of Nuclei from Adult Human Brain Tissue for 10x Genomics Platform,Isolation of Nuclei from Adult Human Brain Tissue for 10x Genomics Platform,http://doi.org/10.17504/protocols.io.y6rfzd6
protocol http://doi.org/10.17504/protocols.io.ynxfvfn,10Xv2 RNASeq Sample Processing,10Xv2 RNASeq Sample Processing,http://doi.org/10.17504/protocols.io.ynxfvfn
protocol http://doi.org/10.17504/protocols.io.ztqf6mw,Isolation of Nuclei from Adult_Human_Brain_Tissue,Isolation of Nuclei from Adult_Human_Brain_Tissue,http://doi.org/10.17504/protocols.io.ztqf6mw
protocol http://help.brain-map.org/display/celltypes/Documentation,Allen Cell Types Database,Allen Cell Types Database,http://help.brain-map.org/display/celltypes/Documentation
protocol http://help.brain-map.org/display/mouseconnectivity/Documentation,Allen Mouse Brain Connectivity Atlas,Connectivity Atlas,http://help.brain-map.org/display/mouseconnectivity/Documentation
protocol http://help.brain-map.org/download/attachments/8323525/Mouse_Common_Coordinate_Framework.pdf,Allen Mouse Common Coordinate Framework and Reference Atlas,Common Coordinate Framework,http://help.brain-map.org/download/attachments/8323525/Mouse_Common_Coordinate_Framework.pdf
protocol https://assets.ctfassets.net/an68im79xiti/1eX2FPdpeCgnCJtw4fj9Hx/7cb84edaa9eca04b607f9193162994de/CG000204_ChromiumNextGEMSingleCell3_v3.1_Rev_D.pdf,Chromium Next GEM Single Cell 3' Reagent Kits v3.1,Chromium 10xv3 Protocol v3.1,https://assets.ctfassets.net/an68im79xiti/1eX2FPdpeCgnCJtw4fj9Hx/7cb84edaa9eca04b607f9193162994de/CG000204_ChromiumNextGEMSingleCell3_v3.1_Rev_D.pdf
protocol https://assets.ctfassets.net/an68im79xiti/615GcV6E7TzuqXKqMjPBtP/9badb815aacebe97a6ac5ecf9d86154b/CG000168_ChromiumSingleCellATAC_ReagentKits_UserGuide_RevB.pdf,Chromium Single Cell ATAC Reagent Kits,Chromium Single Cell ATAC,https://assets.ctfassets.net/an68im79xiti/615GcV6E7TzuqXKqMjPBtP/9badb815aacebe97a6ac5ecf9d86154b/CG000168_ChromiumSingleCellATAC_ReagentKits_UserGuide_RevB.pdf
protocol https://assets.ctfassets.net/an68im79xiti/7x5E4P6xefQruTbFg0yr3a/1381fdcd2d2e7d667ef5b415119dab15/CG000338_ChromiumNextGEM_Multiome_ATAC_GEX_User_Guide_RevE.pdf,Chromium Next GEM Single Cell Multiome ATAC + Gene Expression,Chromium Multiome Protocol,https://assets.ctfassets.net/an68im79xiti/7x5E4P6xefQruTbFg0yr3a/1381fdcd2d2e7d667ef5b415119dab15/CG000338_ChromiumNextGEM_Multiome_ATAC_GEX_User_Guide_RevE.pdf
protocol https://cells.ucsc.edu/cortex-dev/protocol.pdf,Single-cell RNA-seq,Single-cell RNA-seq,https://cells.ucsc.edu/cortex-dev/protocol.pdf
protocol https://doi.org/10.1016/j.cell.2019.09.020,Multimodal Analysis of Cell Types in a Hypothalamic Node Controlling Social Behavior,Multimodal Analysis of Cell Types in a Hypothalamic Node Controlling Social Behavior,https://doi.org/10.1016/j.cell.2019.09.020
protocol https://doi.org/10.1038/s41592-019-0547-z,Simultaneous profiling of 3D genome structure and DNA methylation in single human cells,Simultaneous profiling of 3D genome structure and DNA methylation in single human cells,https://doi.org/10.1038/s41592-019-0547-z
protocol https://doi.org/10.1038/s41592-021-01060-3,Joint profiling of histone modifications and transcriptome in single cells from mouse brain,Paired-Tag,https://doi.org/10.1038/s41592-021-01060-3
protocol https://doi.org/10.1101/2021.07.18.452829,3D molecular phenotyping of cleared human brain tissues with light-sheet fluorescence microscopy,3D molecular phenotyping of cleared human brain tissues with light-sheet fluorescence microscopy,https://doi.org/10.1101/2021.07.18.452829
protocol https://doi.org/10.17504/protocols.io.9yih7ue,sci-RNA-seq3,sci-RNA-seq3,https://doi.org/10.17504/protocols.io.9yih7ue
protocol https://doi.org/10.17504/protocols.io.bbseinbe,Frozen Tissue Nuclei Extraction V.2,Frozen Tissue Nuclei Extraction V.2,https://doi.org/10.17504/protocols.io.bbseinbe
protocol https://doi.org/10.17504/protocols.io.be8mjhu6,sci-ATAC-seq3,sci-ATAC-seq3,https://doi.org/10.17504/protocols.io.be8mjhu6
