data_collection_reference_id,web_resource_reference_id,priority_order
ABCA_10x,https://assets.nemoarchive.org/dat-qg7n1b0,0
ABCA_10x,https://github.com/AllenInstitute/abc_atlas_access/blob/main/descriptions/WMB-10X.md,1
ABCA_merscope,https://doi.org/10.35077/g.610,0
ABCA_merscope,https://github.com/AllenInstitute/abc_atlas_access/blob/main/descriptions/MERFISH-C57BL6J-638850.md,1
bican_mouse_dev_p20_merscope_m,https://download.brainimagelibrary.org/9d/22/9d220d427123622c/,0
bican_mouse_dev_p28_merscope_m,https://download.brainimagelibrary.org/4c/a5/4ca56ab12ee4ec99/658801/,0
chung_ihc,https://www.molecularprobes.org/database,0
chung_lsfm,https://dandiarchive.org/dandiset/000108/,0
dev_mouse_brain_ccf,https://download.brainimagelibrary.org/0d/89/0d89ff2f52ee3323/,0
dev_mouse_brain_lsfm,https://download.brainimagelibrary.org/c0/87/c087c96d8e8dbb0a/,0
dev_mouse_brain_lsfm,https://download.brainimagelibrary.org/91/aa/91aad194ce577ebe/,2
dev_mouse_brain_lsfm,https://download.brainimagelibrary.org/0d/89/0d89ff2f52ee3323/,3
dev_mouse_brain_mri,https://download.brainimagelibrary.org/0d/89/0d89ff2f52ee3323/,0
dev_mouse_brain_stpt,https://download.brainimagelibrary.org/54/78/54784078ebb39e72/,1
dev_mouse_brain_stpt,https://download.brainimagelibrary.org/0d/89/0d89ff2f52ee3323/,2
dong_antero,https://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,0
dong_confocal,https://download.brainimagelibrary.org/04/6c/046c91d35a983d7a/,0
dong_lightsheet,https://download.brainimagelibrary.org/8c/13/8c13b57a7ae01f75/,0
dong_retro,https://download.brainimagelibrary.org/biccn/dong/retrograde/,0
dong_trio,https://download.brainimagelibrary.org/biccn/dong/trio/,0
dulac_hyp_sn_10xv2,https://assets.nemoarchive.org/dat-4xq7q5j,0
dulac_pag_sn_10xv2,https://assets.nemoarchive.org/dat-diw5xr1,0
ecker_hu_DNAseq,https://assets.nemoarchive.org/dat-a6v2v36,0
ecker_hu_sn_ATACseq,https://assets.nemoarchive.org/dat-d6r90fb,0
ecker_hu_sn_mCseq,https://assets.nemoarchive.org/dat-fcr7gr0,0
ecker_sn_ATACseq,https://assets.nemoarchive.org/dat-bej4ymm,0
ecker_sn_ATACseq,https://assets.nemoarchive.org/dat-fz3s3s2,1
ecker_sn_mCseq,https://assets.nemoarchive.org/dat-m5wqy8t,0
ecker_sn_mCseq_retro,https://assets.nemoarchive.org/dat-m21bzvo,0
ecker_trio,https://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,0
feng_fish,https://download.brainimagelibrary.org/biccn/feng/fish/,0
feng_morph,https://download.brainimagelibrary.org/biccn/feng/morph/,0
feng_sn_10xv3,https://assets.nemoarchive.org/dat-7jxfmkh,0
feng_sn_dropseq,https://assets.nemoarchive.org/dat-knrjpcj,0
fischl_lsfm,https://dandiarchive.org/dandiset/000026/,0
fischl_mri,https://dandiarchive.org/dandiset/000026/,0
fischl_oct,https://dandiarchive.org/dandiset/000026/,0
fischl_stereology,https://dandiarchive.org/dandiset/000026/,0
huang_antero,https://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,0
huang_ccf4_hist,https://download.brainimagelibrary.org/a9/54/a9543fca6edec2c7/,0
huang_ccf4_mri,https://download.brainimagelibrary.org/a9/54/a9543fca6edec2c7/,0
