data_collection_reference_id,data_collection_title,data_collection_short_title,data_collection_description,categorical_access_control_state,categorical_completion_state,last_updated_at_date
ABCA_10x,Whole Mouse Brain Transcriptomic Cell Type Atlas - 10x scRNAseq whole brain,10x scRNAseq whole brain,"ABC Whole Mouse Brain Atlas is a transcriptomic cell-type taxonomy across the entire mouse brain, integrating several whole- brain single-cell RNA-sequencing (scRNA-seq) datasets. The datasets contain a total of ~4 million cells passing rigorous quality- control criteria. The integrated transcriptomic taxonomy contains ~5,322 clusters that are organized in a hierarchical manner with groupings of classes, subclasses, supertypes and types/clusters. Files in this collection include BAM files generated by Cell Ranger 6, count matrices in h5ad format, and annotation and clustering files. Available under CC-BY-NC-4.0.",open,complete,2023/05/05
ABCA_10x_HY_EA_Glut_GABA,Whole Mouse Brain Transcriptomic Cell Type Atlas - 10x scRNAseq HY-EA-Glut-GABA,10x scRNAseq HY-EA-Glut-GABA,"The HY-EA-Glut-GABA neighborhood contains a set of closely related neuronal subclasses from the entire hypothalamus, as well as the sAMY and caudal PAL regions of CNU that are also known as the extended amygdala. The neighborhood contains subclasses #66 and #73-144, total 1,404 clusters). Available under CC-BY-NC-4.0.",open,complete,2023/12/08
ABCA_10x_MB_HB_CB_GABA,Whole Mouse Brain Transcriptomic Cell Type Atlas - 10x scRNAseq MB-HB-CB-GABA,10x scRNAseq MB-HB-CB-GABA,"The MB-HB-CB-GABA neighborhood contains all GABAergic subclasses located in midbrain, hindbrain, and cerebellum. The neighborhood contains 4 classes (MB GABA, P GABA, MY GABA, and CB GABA), 75 subclasses, and 1,040 clusters. Available under CC-BY-NC-4.0.",open,complete,2023/12/08
ABCA_10x_MB_HB_Glut_Sero_Dopa,Whole Mouse Brain Transcriptomic Cell Type Atlas - 10x scRNAseq MB-HB-Glut-Sero-Dopa,10x scRNAseq MB-HB-Glut-Sero-Dopa,"The MB-HB-Glut-Sero-Dopa neighborhood, the largest and most complex, contains all glutamatergic, serotonergic, and dopaminergic neuronal types in midbrain and hindbrain. The neighborhood contains 6 classes, 84 subclasses, and 1,431 clusters. Available under CC-BY-NC-4.0.",open,complete,2023/12/08
ABCA_10x_NN_IMN_GC,Whole Mouse Brain Transcriptomic Cell Type Atlas - 10x scRNAseq NN-IMN-GC,10x scRNAseq NN-IMN-GC,"The NN-IMN-GC neighborhood contains a mixed collection of highly distinct non-neuronal cell types, immature neuronal types, and granule cell types. The neighborhood contains 9 classes, including 5 non-neuronal classes (Astro-Epen, OPC-Oligo, OEC, Vascular, and Immune) and 4 granule and immature neuronal classes (DG-IMN Glut, OB-IMN GABA, Pineal Glut, and CB Glut).",open,complete,2023/12/08
ABCA_10x_Pallium_Glut,Whole Mouse Brain Transcriptomic Cell Type Atlas - 10x scRNAseq Pallium-Glut,10x scRNAseq Pallium-Glut,"The Pallium-Glut neighborhood contains glutamatergic neurons from all pallium structures, including isocortex, hippocampal formation, olfactory areas and cortical subplate. The neighborhood contains subclasses #1-38 and a total of 517 clusters. Available under CC-BY-NC-4.0.",open,complete,2023/12/08
ABCA_10x_Subpallium_GABA,Whole Mouse Brain Transcriptomic Cell Type Atlas - 10x scRNAseq Subpallium-GABA,10x scRNAseq Subpallium-GABA,"The Subpallium-GABA neighborhood contains a set of developmental subpallium-derived GABAergic neuronal subclasses, including all GABAergic neurons found in pallium structures and those in the subpallial cerebral nuclei, including dorsal and ventral striatum, lateral septal complex and dorsal, ventral and medial pallidum. Based on the molecular signature and regional specificity of each subclass, the Subpallium-GABA neighborhood (subclasses #39-90, total 1,051 clusters) is divided into 7 classes that are likely related to their distinct developmental origins. Available under CC-BY-NC-4.0.",open,complete,2023/12/08
ABCA_10x_TH_EPI_Glut,Whole Mouse Brain Transcriptomic Cell Type Atlas - 10x scRNAseq TH-EPI-Glut,10x scRNAseq TH-EPI-Glut,"The TH-EPI-Glut neighborhood contains all glutamatergic neuronal subclasses located in the thalamus, as well as the medial and lateral habenula which collectively compose the epithalamus. These subclasses were grouped correspondingly into TH Glut and MH-LH Glut classes. The neighborhood contains subclasses #145-154, and a total of 148 clusters.",open,complete,2023/12/08
ABCA_merscope,Whole Mouse Brain Transcriptomic Cell Type Atlas - MERSCOPE v1,MERSCOPE v1 whole brain,"ABC Whole Mouse Brain Atlas includes spatial transcriptomics data generated by MERSCOPE. The anatomical location of each cell type has been annotated by using comprehensive brain-wide MERFISH datasets with a total of ~4 million cells. The MERFISH datasets not only provide accurate spatial annotation of cell types at subclass, supertype and cluster levels, but also reveal fine-resolution spatial distinctions or gradients for cell types. Available under CC-BY-4.0 license.",open,in progress,2023/05/05
adey_sciMETv2_human_cortex,sci-METv2 high-throughput single-cell DNA methylation on human cortex,Human sci-METv2,Raw data for single-cell genome-wide DNA methylation data on human cortical tissue using sci-METv2. This collection contains data using several variants of the technique during the development process.,controlled,in progress,2023/07/25
bican_mouse_dev_p20_merscope_m,P20 Male Mouse Whole-brain Transcriptomic Cell Type Atlas - MERSCOPE v1,P20 Male Mouse MERSCOPE,MERFISH imaging of 10 µm sections of C57BL/6J mouse brain that covers the entire brain. Individual sections are taken at 200 µm interval.,open,complete,2023/07/24
bican_mouse_dev_p28_merscope_m,P28 Male Mouse Whole-brain Transcriptomic Cell Type Atlas - MERSCOPE v1,P28 Male Mouse MERSCOPE,MERFISH imaging of 10 µm sections of C57BL/6J mouse brain that covers the entire brain. Individual sections are taken at 200 µm interval,open,complete,2023/07/24
chung_ihc,IHC Validation of CDI Monoclonal Antibodies against Commercial Comparisons,Antibody Validations,IHC Validation of CDI Monoclonal Antibodies against Commercial Comparisons,open,in progress,2021/10/07
chung_lsfm,MITU01 - Light sheet imaging of the human brain,Light sheet imaging of brain,"For this data collection, whole human brain hemispheres were sliced into 1 mm sections and underwent SHIELD processing and clearing for volumetric staining and imaging. Each intact 1 mm thick human brain coronal slab has been stained for nuclei, NeuN+ cells, and microvasculatures and imaged at a resolution of ~2.5 um x 3.6 um x 2.5 um after optical clearing.",open,in progress,2022/09/30
dev_mouse_brain_ccf,Developing Mouse Brain Common Coordinate Framework,Dev Mouse Brain CCF,"Volumetric Data was collected using MRI, LSFM, and STPT as described in each representative collection. The data was downsampled to 10 micron isotropic, then shape and intensity averaged using ANTs to generate the set of common coordinate frameworks in this collection.",open,in progress,2021/10/07
dev_mouse_brain_lsfm,Developing Mouse Brain LSFM Data,Dev Mouse Brain LSFM,"Volumetric LSFM data collected from ex vivo mouse whole brains at a resolution of 1.873 x 1.873 x 5 micron. Postnatal mouse brains were extracted from the skull and embyonic brains were left in skull which was separated from the body. Samples were tissue cleared using modified U.Clear and iDisco methods. Light sheet imaging was conducted using a SmartSPIM Light Sheet Microscope (LifeCanvas Technologies). Data was collected using autofluorescence and multiple stains and reporter proteins for neurotrace, neurofilament, PV, SST, ChAT, VIP, GAD2, and Lectin. Image tiles were stitched using in house stitching software.",open,in progress,2023/05/05
dev_mouse_brain_mri,Developing Mouse Brain MRI Data,Dev Mouse Brain MRI,"This dataset comprises a set of ex vivo, in skull MRI whole mouse brain scans in a 7T MRI scanner. Multiple contrasts were acquired at 100 micron isotropic. We acquired high angular resolution diffusion weighted imaging (HARDI), T2-weighted images, and magnetization transfer images using modified 3D gradient and spin echo (GRASE) sequence. Data preprocessing included motion correction, diffusion tensor estimation, and computation of average DWIs and fractional anisotropy.",open,in progress,2021/10/07
dev_mouse_brain_stpt,Developing Mouse Brain STPT Data,Dev Mouse Brain STPT,"Volumetric STPT data collected from ex vivo mouse whole brains at a resolution of 1 x 1 micron with 50 micron z slices. Data was collected for fluorescent ChAT, PV, GAD2, SST, and VIP Cre reporter mice. Postnatal mouse brains were extracted from the skull and embyonic brains were left in skull which was separated from the body. Image tiles were stitched using in house stitching software.",open,in progress,2023/05/05
dong_antero,Cre-dependent anterograde pathway tracing,Anterograde tracing,Fluorescent imaging of brain tissue sections marked by Cre-dependent anterograde tracer injections with nissl counterstain.,open,in progress,2022/09/30
dong_confocal,Confocal image stacks of viral sparse labeling,Confocal image stacks,"Viral tracers are used to sparsely label connectionally-unique projection neurons to assess their morphological characteristics. Following SHIELD-processing of 500-um thick sections, volumetric image stacks are acquired using a confocal microscope at 10x and 30x magnifications.",open,in progress,2022/07/08
dong_lightsheet,Volumetric image stacks (15x) of viral sparse labeling,Volumetric image stacks (15x),"Viral tracers are used to sparsely label connectionally-unique projection neurons to assess their morphological characteristics. Following SHIELD-processing of whole brains, volumetric image stacks are acquired using a lightsheet microscope at 15x magnification.",open,in progress,2022/09/30
dong_retro,Retrograde pathway tracing,Retrograde tracing,Fluorescent imaging of brain tissue sections labeled by 3-5 retrograde tracers with nissl counterstain.,open,in progress,2022/09/30
dong_trio,Tracing the relationship between input and output (TRIO),TRIO,Fluorescent imaging of brain tissue sections labeled by Cre-dependent rabies viral tracers with nissl counterstain.,open,in progress,2022/07/08
