project_reference_id,person_reference_id,organization_reference_id,agent_type,priority_order
ABCA_proj,Hongkui Zeng,,person,0
ABCA_proj,Zizhen Yao,,person,1
ABCA_proj,Nick Dee,,person,3
ABCA_proj,Kimberly Smith,,person,4
ABCA_proj,Bosiljka Tasic,,person,5
ABCA_proj,Michael Kunst,,person,6
ABCA_proj,Delissa McMillen,,person,7
ABCA_proj,Jack Waters,,person,8
ABCA_proj,Lauren Kruse,,person,9
ABCA_proj,Chelsea M. Pagan,,person,10
ABCA_proj,,Allen Institute for Brain Science,organization,11
adey_sciMETv2,Ruth V. Nichols,,person,0
adey_sciMETv2,Brendan O'Connell,,person,1
adey_sciMETv2,Andrew Adey,,person,2
bican_mouse_dev_p20_proj,Paola Arlotta,,person,0
bican_mouse_dev_p20_proj,Hongkui Zeng,,person,1
bican_mouse_dev_p20_proj,Michael Kunst,,person,2
bican_mouse_dev_p20_proj,Cindy van Velthoven,,person,2
bican_mouse_dev_p20_proj,Jack Waters,,person,3
bican_mouse_dev_p20_proj,Delissa McMillen,,person,4
bican_mouse_dev_p20_proj,Chelsea M. Pagan,,person,5
bican_mouse_dev_p20_proj,Naomi Martin,,person,6
bican_mouse_dev_p20_proj,Nasmil Valera Cuevas,,person,7
bican_mouse_dev_p20_proj,Paul Olsen,,person,8
bican_mouse_dev_p20_proj,Jazmin Campos,,person,9
bican_mouse_dev_p20_proj,,Allen Institute for Brain Science,organization,10
bican_mouse_dev_p28_proj,Paola Arlotta,,person,0
bican_mouse_dev_p28_proj,Hongkui Zeng,,person,1
bican_mouse_dev_p28_proj,Michael Kunst,,person,2
bican_mouse_dev_p28_proj,Cindy van Velthoven,,person,2
bican_mouse_dev_p28_proj,Jack Waters,,person,3
bican_mouse_dev_p28_proj,Delissa McMillen,,person,4
bican_mouse_dev_p28_proj,Chelsea M. Pagan,,person,5
bican_mouse_dev_p28_proj,Naomi Martin,,person,6
bican_mouse_dev_p28_proj,Nasmil Valera Cuevas,,person,7
bican_mouse_dev_p28_proj,Paul Olsen,,person,8
bican_mouse_dev_p28_proj,Jazmin Campos,,person,9
bican_mouse_dev_p28_proj,,Allen Institute for Brain Science,organization,10
chung_antibody_proj,Chuanxi Zhao,,person,0
chung_antibody_proj,Kwanghun Chung,,person,1
chung_antibody_proj,Lauren DeLorenzo,,person,2
chung_lsfm_proj,Juhyuk Park,,person,0
chung_lsfm_proj,Kwanghun Chung,,person,1
dev_mouse_brain_ccf_proj,Jordan Norwood,,person,0
dev_mouse_brain_ccf_proj,Josephine Liwang,,person,1
dev_mouse_brain_ccf_proj,Kyra T. Newmaster,,person,2
dev_mouse_brain_ccf_proj,Rebecca Betty,,person,3
dev_mouse_brain_ccf_proj,Yongsoo Kim,,person,4
dong_antero_proj,Darrick Lo,,person,0
dong_antero_proj,Hong-Wei Dong,,person,1
dong_antero_proj,Houri Hintiryan,,person,2
dong_antero_proj,Ian Bowman,,person,3
dong_antero_proj,Nick Foster,,person,4
dong_antero_proj,Samantha Serrano,,person,5
dong_viral_neuron_proj,Hong-Wei Dong,,person,0
dong_viral_neuron_proj,Houri Hintiryan,,person,1
dong_viral_neuron_proj,Lin Gou,,person,2
dong_viral_neuron_proj,Mitchell Rudd,,person,3
dulac_hyp_sn_10x_proj,Zhengzheng S. Liang,,person,0
dulac_pag_sn_10x_proj,Eric Vaughn,,person,0
dulac_poa_dev_sn_10x_proj,Catherine Dulac,,person,0
dulac_poa_dev_sn_10x_proj,Harris Kaplan,,person,1
ecker_hu_sn_ATACseq_proj,Yang Li,,person,0
ecker_hu_sn_ATACseq_proj,Bing Ren,,person,1
ecker_hu_sn_ATACseq_proj,Michael Miller,,person,2
ecker_hu_sn_ATACseq_proj,Nick Johnson,,person,3
ecker_hu_sn_ATACseq_proj,Henry Jiao,,person,4
ecker_hu_sn_ATACseq_proj,Allen Wang,,person,5
ecker_hu_sn_ATACseq_proj,Olivier Poirion,,person,6
ecker_hu_sn_ATACseq_proj,Sebastian Preissl,,person,7
ecker_hu_sn_ATACseq_proj,Antonio Pinto-Duarte,,person,8
ecker_hu_sn_ATACseq_proj,Nora Emerson,,person,9
ecker_hu_sn_ATACseq_proj,Julia Osteen,,person,10
ecker_hu_sn_ATACseq_proj,Jacinta Lucero,,person,11
ecker_hu_sn_ATACseq_proj,Margarita Behrens,,person,12
ecker_hu_sn_ATACseq_proj,Lin Lin,,person,13
ecker_hu_sn_ATACseq_proj,Qian Yang,,person,14
ecker_hu_sn_ATACseq_proj,Joseph Ecker,,person,15
ecker_hu_sn_m3Cseq_proj,Joseph Ecker,,person,0
ecker_hu_sn_m3Cseq_proj,Wei Tian,,person,1
ecker_sn_ATACseq_proj,Yang Eric Li,,person,0
ecker_sn_ATACseq_proj,Songpeng Zu,,person,1
ecker_sn_ATACseq_proj,Sebastian Preissl,,person,2
ecker_sn_ATACseq_proj,Xiaomeng Hou,,person,3
ecker_sn_ATACseq_proj,Ziyang Zhang,,person,4
ecker_sn_ATACseq_proj,Kai Zhang,,person,5
ecker_sn_ATACseq_proj,Rongxin Fang,,person,6
ecker_sn_ATACseq_proj,Yunjiang Qiu,,person,7
ecker_sn_ATACseq_proj,Olivier Poirion,,person,8
ecker_sn_ATACseq_proj,Bin Li,,person,9
ecker_sn_ATACseq_proj,Hanqing Liu,,person,10
ecker_sn_ATACseq_proj,Xinxin Wang,,person,11
ecker_sn_ATACseq_proj,Yuelai Wang,,person,12
ecker_sn_ATACseq_proj,Qian Yang,,person,13
ecker_sn_ATACseq_proj,Lin Lin,,person,14
ecker_sn_ATACseq_proj,Allen Wang,,person,15
ecker_sn_ATACseq_proj,Jee Yun Han,,person,16
ecker_sn_ATACseq_proj,Jacinta Lucero,,person,17
ecker_sn_ATACseq_proj,Julia Osteen,,person,18
ecker_sn_ATACseq_proj,Samantha Kuan,,person,19
ecker_sn_ATACseq_proj,David Uscher Gorkin,,person,20
ecker_sn_ATACseq_proj,Mike Nunn,,person,21
ecker_sn_ATACseq_proj,Eran A. Mukamel,,person,22
ecker_sn_ATACseq_proj,Margarita Behrens,,person,23
ecker_sn_ATACseq_proj,Joseph Ecker,,person,24
ecker_sn_ATACseq_proj,Bing Ren,,person,25
ecker_sn_mCseq_proj,Hanqing Liu,,person,0
ecker_sn_mCseq_proj,Joseph Ecker,,person,1
ecker_sn_mCseq_retro_proj,Ed Callaway,,person,0
feng_fish_proj,Guoping Feng,,person,0
feng_fish_proj,Edward Boyden,,person,1
feng_fish_proj,Kirsten Levandowski,,person,2
feng_fish_proj,Heather Zaniewski,,person,3
feng_fish_proj,Fenna Krienen,,person,4
feng_fish_proj,Tay Won Shin,,person,5
feng_multiome_proj,Steven McCarroll,,person,0
feng_multiome_proj,Fenna Krienen,,person,1
feng_multiome_proj,Melissa Goldman,,person,2
feng_sn_dropseq_proj,Steven McCarroll,,person,0
feng_sn_dropseq_proj,Fenna Krienen,,person,1
feng_sn_dropseq_proj,Melissa Goldman,,person,2
fischl_mri_proj,Adrian V. Dalca,,person,0
fischl_mri_proj,Alessia Atzeni,,person,1
fischl_mri_proj,Allison Stevens,,person,2
fischl_mri_proj,I-Chun Anderson Chen,,person,3
fischl_mri_proj,Andre van der Kouwe,,person,4
fischl_mri_proj,Bram Diamond,,person,5
fischl_mri_proj,Brian Edlow,,person,6
fischl_mri_proj,Bridget Wicinski,,person,7
fischl_mri_proj,Caroline Magnain,,person,8
fischl_mri_proj,Devani Cordero,,person,9
fischl_mri_proj,Divya Varadarajan,,person,10
fischl_mri_proj,Emma Boyd,,person,11
fischl_mri_proj,Erendira Garcia Pallares,,person,12
fischl_mri_proj,Filippo Maria Castelli,,person,13
fischl_mri_proj,Franco Cheli,,person,14
fischl_mri_proj,Giacomo Mazzamuto,,person,15
fischl_mri_proj,Hui Wang,,person,16
fischl_mri_proj,Irene Costantini,,person,17
fischl_mri_proj,Jackson Nolan,,person,18
fischl_mri_proj,Jean Augustinack,,person,19
fischl_mri_proj,Jessie Laffey,,person,20
fischl_mri_proj,Jiarui Yang,,person,21
fischl_mri_proj,Jocelyn Mora,,person,22
fischl_mri_proj,Josephine Ramazzotti,,person,23
fischl_mri_proj,Juan Eugenio Iglesias Gonzalez,,person,24
fischl_mri_proj,Kimberly Nestor,,person,25
fischl_mri_proj,Kathryn Evancic,,person,26
fischl_mri_proj,Leah Morgan,,person,27
fischl_mri_proj,Luca Pesce,,person,28
fischl_mri_proj,Ludovico Silvestri,,person,29
fischl_mri_proj,Marina Scardigli,,person,30
fischl_mri_proj,Matteo Roffilli,,person,31
fischl_mri_proj,Matthew Frosch,,person,32
fischl_mri_proj,Matthew Vera,,person,33
fischl_mri_proj,Merina Varghese,,person,34
fischl_mri_proj,Morgan Fogarty,,person,35
fischl_mri_proj,Niamh Brady,,person,36
fischl_mri_proj,Robert Frost,,person,37
fischl_mri_proj,Rogeny Herisse,,person,38
fischl_mri_proj,Sean Young,,person,39
fischl_mri_proj,Shih-Chi Chen,,person,40
fischl_mri_proj,Shuaibin Chang,,person,41
fischl_mri_proj,Sophia Raia,,person,42
fischl_mri_proj,Vladislav Gavryusev,,person,43
fischl_mri_proj,William Ammon,,person,44
fischl_mri_proj,Yael Balbastre,,person,45
fischl_mri_proj,Bruce Fischl,,person,46
fischl_mri_proj,David Boas,,person,47
fischl_mri_proj,Francesco Pavone,,person,48
fischl_mri_proj,Patrick Hof,,person,49
huang_ccf4_proj,Partha Mitra,,person,0
huang_dev_cx_proj,Daniela DiBella,,person,0
huang_dev_cx_proj,Kwanho Kim,,person,1
huang_dev_cx_proj,Paola Arlotta,,person,2
huang_dev_cx_proj,Sara Sime,,person,3
huang_dev_cx_proj,Vy Vuong,,person,4
huang_fmost_proj,Katie Matho,,person,0
huang_macosko_sn_10xv3_proj,Chuck Vanderburg,,person,0
huang_macosko_sn_10xv3_proj,Evan Macosko,,person,1
huang_macosko_sn_10xv3_proj,Jonah Langlieb,,person,2
huang_macosko_sn_10xv3_proj,Katelyn Flowers,,person,3
huang_macosko_sn_10xv3_proj,Timothy Tickle,,person,4
huang_macosko_sn_10xv3_proj,Velina Kozareva,,person,5
huang_pn_proj,Chiara Gerhardinger,,person,0
huang_pn_proj,Ehsan Habibi,,person,1
huang_pn_proj,Juliana Brown,,person,2
huang_pn_proj,Paola Arlotta,,person,3
huang_pn_proj,Aviv Regev,,person,4
huang_sn_10xv2_proj,Aviv Regev,,person,0
huang_sn_10xv2_proj,Chuck Vanderburg,,person,1
huang_sn_10xv2_proj,Evan Macosko,,person,2
huang_sn_10xv2_proj,Jonah Langlieb,,person,3
huang_sn_10xv2_proj,Timothy Tickle,,person,4
huang_sn_10xv2_proj,Velina Kozareva,,person,5
huang_stpt_conn_proj,Kathleen Kelly,,person,0
huang_stpt_conn_proj,Z. Josh Huang,,person,1
huang_stpt_count_proj,Katie Matho,,person,0
human_cerebellum_proj,Seth Ament,,person,0
human_cerebellum_proj,Brian Herb,,person,1
HumanM110xProj,Ed Lein,,person,0
HumanM110xProj,Kimberly Siletti,,person,1
HumanM110xProj,Nikolas Jorstad,,person,2
HumanM110xProj,Rebecca Hodge,,person,3
HumanM110xProj,Sten Linnarsson,,person,4
HumanM110xProj,Trygve Bakken,,person,5
kriegstein_sc_10x_proj,Aparna Bhaduri,,person,0
kriegstein_sc_10x_proj,Arnold Kriegstein,,person,1
kriegstein_sc_10x_proj,Dmitry Velmeshev,,person,2
kriegstein_sc_ATACseq_proj,Ryan Ziffra,,person,0
kriegstein_sc_ATACseq_proj,Tomasz Nowakowski,,person,1
kriegstein_sc_multiome_proj,Li Wang,,person,0
kriegstein_sc_multiome_proj,Arnold Kriegstein,,person,1
kriegstein_sc_multiome_proj,Cheng Wang,,person,2
kriegstein_sc_multiome_proj,Jingjing Li,,person,3
kriegstein_spatial_proj,Li Wang,,person,0
kriegstein_spatial_proj,Jonatan Perez,,person,1
kriegstein_spatial_proj,Arnold Kriegstein,,person,2
lein_evo_10x_proj,Ed Lein,,person,0
lein_evo_10x_proj,Nikolas Jorstad,,person,1
lein_evo_10x_proj,Rebecca Hodge,,person,2
lein_evo_10x_proj,Trygve Bakken,,person,3
lein_evo_Iso_Seq_proj,Ed Lein,,person,0
lein_evo_Iso_Seq_proj,Nikolas Jorstad,,person,1
lein_evo_Iso_Seq_proj,Rebecca Hodge,,person,2
lein_evo_Iso_Seq_proj,Trygve Bakken,,person,3
lein_great_ape_mtg_RNA_proj,Ed Lein,,person,0
lein_great_ape_mtg_RNA_proj,Trygve Bakken,,person,1
lein_great_ape_mtg_RNA_proj,Rebecca Hodge,,person,2
lein_great_ape_mtg_RNA_proj,Nikolas Jorstad,,person,3
lein_hmba_nhp_pseq,Brian Kalmbach,,person,0
lein_hmba_nhp_pseq,Brian R. Lee,,person,1
lein_hmba_nhp_pseq,Rachel Dalley,,person,2
lein_hmba_nhp_pseq,Xiao-Ping Liu,,person,3
lein_hmba_nhp_pseq,,Allen Institute for Brain Science,organization,4
lein_human_cross-areal_10x_proj,Ed Lein,,person,0
lein_human_cross-areal_10x_proj,Trygve Bakken,,person,1
lein_human_cross-areal_10x_proj,Rebecca Hodge,,person,2
lein_human_cross-areal_10x_proj,Nikolas Jorstad,,person,3
lein_human_cross-areal_10x_proj,,Allen Institute for Brain Science,organization,4
lein_human_pseq_proj,Brian Kalmbach,,person,0
lein_human_pseq_proj,Brian R. Lee,,person,1
lein_human_pseq_proj,Chris de-Koch,,person,2
lein_human_pseq_proj,Ed Lein,,person,3
lein_human_pseq_proj,Gabor Molnar,,person,4
lein_human_pseq_proj,Gabor Tamas,,person,5
lein_human_pseq_proj,Huib Mansvelder,,person,6
lein_human_pseq_proj,Jeremy Miller,,person,7
lein_human_pseq_proj,Jonathan Ting,,person,8
lein_human_pseq_proj,Lauren Kruse,,person,9
lein_human_pseq_proj,Nikolas Jorstad,,person,10
lein_human_pseq_proj,Rachel Dalley,,person,11
lein_human_pseq_proj,Staci A. Sorensen,,person,12
lein_human_pseq_proj,Tom Chartrand,,person,13
lein_human_pseq_proj,Trygve Bakken,,person,14
lein_L5_pseq_proj,Andrew L. Ko,,person,0
lein_L5_pseq_proj,Anna Marie Yanny,,person,1
lein_L5_pseq_proj,Anoop P. Patel,,person,2
lein_L5_pseq_proj,Bosiljka Tasic,,person,3
lein_L5_pseq_proj,Brian Kalmbach,,person,4
lein_L5_pseq_proj,Brian R. Lee,,person,5
lein_L5_pseq_proj,C. Dirk Keene,,person,6
lein_L5_pseq_proj,Charles Cobbs,,person,7
lein_L5_pseq_proj,Christof Koch,,person,8
lein_L5_pseq_proj,Cristina Radaelli,,person,9
lein_L5_pseq_proj,Daniel L. Silbergeld,,person,10
lein_L5_pseq_proj,Ed Lein,,person,11
lein_L5_pseq_proj,Hongkui Zeng,,person,12
lein_L5_pseq_proj,Jeffrey G. Ojemann,,person,13
lein_L5_pseq_proj,Jonathan Ting,,person,14
