web_resource_short_title,project,web_resource_type,project_highlight_url,subprograms
A multimodal cell census and atlas of the mammalian primary motor cortex,mop_evo_tx_epi_pseq_proj,view,https://doi.org/10.1101/2020.10.19.343129,[U01 Lein]
BIL,TransgenicSTPT,download,https://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,"[TransChar, U19 Zeng]"
BIL,dong_antero_proj,download,https://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,[U01 Dong]
BIL,dong_retro_proj,download,https://download.brainimagelibrary.org/biccn/dong/retrograde/,[U01 Dong]
BIL,dong_trio_proj,download,https://download.brainimagelibrary.org/biccn/dong/trio/,[U01 Dong]
BIL,ecker_trio_proj,download,https://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,[U19 Ecker]
BIL,feng_fish_proj,download,https://download.brainimagelibrary.org/biccn/feng/fish/,[U01 Feng]
BIL,huang_antero_proj,download,https://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,[U19 Huang]
BIL,huang_fmost_proj,download,https://download.brainimagelibrary.org/biccn/huang/fmost/,[U19 Huang]
BIL,huang_retro_proj,download,https://download.brainimagelibrary.org/biccn/huang/dong/retrograde/quad/,[U19 Huang]
BIL,huang_stpt_conn_proj,download,https://download.brainimagelibrary.org/biccn/huang/connectivity/anterograde/,[U19 Huang]
BIL,huang_stpt_count_proj,download,https://download.brainimagelibrary.org/biccn/huang/cellcounting/,[U19 Huang]
BIL,mueller_mouselight_proj,download, https://download.brainimagelibrary.org/biccn/mueller/mouselight/,[RF1 Mueller]
BIL,osten_stpt_proj,download,https://download.brainimagelibrary.org/biccn/osten/cellcounting/,[U01 Osten]
BIL,regev_cisi_proj,download,https://download.brainimagelibrary.org/biccn/regev/cisi,[RF1 Regev]
BIL,tasic_stpt_proj,download,https://download.brainimagelibrary.org/biccn/tasic/stpt/,[RF1 Tasic]
BIL,yang_MORF_confocal_proj,download,https://download.brainimagelibrary.org/biccn/yang/morf/confocal/,[U01 Yang]
BIL,zeng_fmost_proj,download,https://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,[U19 Zeng]
BIL,zeng_mouselight_proj,download,https://download.brainimagelibrary.org/biccn/zeng/mouselight/,[U19 Zeng]
BIL,zeng_retro_proj,download,https://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,[U19 Zeng]
BIL,zeng_tolias_pseq_proj,download,https://download.brainimagelibrary.org/biccn/zeng/tolias/pseq/morph/,[U19 Zeng]
BIL,zhangl_anatomy_proj,download,https://download.brainimagelibrary.org/biccn/zhangl/anatomy,[U01 ZhangLi]
BIL,zhangl_seqfish_proj,download,https://download.brainimagelibrary.org/biccn/zhangl/seqfish/,[U01 ZhangLi]
