Filename,Filetype,Sample ID,Project,Data Collection,R24 ID,File URI,Checksum
4B3.nsrt.bw,bigWig,CEMBA180104_4B,ecker_sn_ATACseq_proj,ecker_sn_ATACseq,nemo:der-hjtwrqw,https://assets.nemoarchive.org/der-hjtwrqw,
CEMBA180104_4B.sorted.bed.gz,bed,CEMBA180104_4B,ecker_sn_ATACseq_proj,ecker_sn_ATACseq,nemo:der-dubegq5,https://assets.nemoarchive.org/der-dubegq5,
CEMBA180104_4B.demultiplexed.fastq.tar,fastq,CEMBA180104_4B,ecker_sn_ATACseq_proj,ecker_sn_ATACseq,nemo:seq-wf7km5z,https://assets.nemoarchive.org/seq-wf7km5z,
4B2.nsrt.bw,bigWig,CEMBA171213_4B,ecker_sn_ATACseq_proj,ecker_sn_ATACseq,nemo:der-728q2t0,https://assets.nemoarchive.org/der-728q2t0,
CEMBA171213_4B.sorted.bed.gz,bed,CEMBA171213_4B,ecker_sn_ATACseq_proj,ecker_sn_ATACseq,nemo:der-xxgt8xc,https://assets.nemoarchive.org/der-xxgt8xc,
CEMBA171213_4B.demultiplexed.fastq.tar,fastq,CEMBA171213_4B,ecker_sn_ATACseq_proj,ecker_sn_ATACseq,nemo:seq-i8jpptf,https://assets.nemoarchive.org/seq-i8jpptf,
3C1.nsrt.bw,bigWig,CEMBA171206_3C,ecker_sn_ATACseq_proj,ecker_sn_ATACseq,nemo:der-o7d69om,https://assets.nemoarchive.org/der-o7d69om,
CEMBA171206_3C.sorted.bed.gz,bed,CEMBA171206_3C,ecker_sn_ATACseq_proj,ecker_sn_ATACseq,nemo:der-3yriypi,https://assets.nemoarchive.org/der-3yriypi,
CEMBA171206_3C.demultiplexed.fastq.tar,fastq,CEMBA171206_3C,ecker_sn_ATACseq_proj,ecker_sn_ATACseq,nemo:seq-une9qtf,https://assets.nemoarchive.org/seq-une9qtf,
3C2.nsrt.bw,bigWig,CEMBA171207_3C,ecker_sn_ATACseq_proj,ecker_sn_ATACseq,nemo:der-eidymnk,https://assets.nemoarchive.org/der-eidymnk,
CEMBA171207_3C.sorted.bed.gz,bed,CEMBA171207_3C,ecker_sn_ATACseq_proj,ecker_sn_ATACseq,nemo:der-q114g2p,https://assets.nemoarchive.org/der-q114g2p,
CEMBA171207_3C.demultiplexed.fastq.tar,fastq,CEMBA171207_3C,ecker_sn_ATACseq_proj,ecker_sn_ATACseq,nemo:seq-gnhcsei,https://assets.nemoarchive.org/seq-gnhcsei,
4B1.nsrt.bw,bigWig,CEMBA171212_4B,ecker_sn_ATACseq_proj,ecker_sn_ATACseq,nemo:der-wnqdpq4,https://assets.nemoarchive.org/der-wnqdpq4,
CEMBA171212_4B.sorted.bed.gz,bed,CEMBA171212_4B,ecker_sn_ATACseq_proj,ecker_sn_ATACseq,nemo:der-6sva2p6,https://assets.nemoarchive.org/der-6sva2p6,
CEMBA171212_4B.demultiplexed.fastq.tar,fastq,CEMBA171212_4B,ecker_sn_ATACseq_proj,ecker_sn_ATACseq,nemo:seq-264885c,https://assets.nemoarchive.org/seq-264885c,
CEMBA180426_8B.sorted.bed.gz,bed,CEMBA180426_8B,ecker_sn_ATACseq_proj,ecker_sn_ATACseq,nemo:der-t1j1vth,https://assets.nemoarchive.org/der-t1j1vth,
CEMBA180426_8B.demultiplexed.fastq.tar,fastq,CEMBA180426_8B,ecker_sn_ATACseq_proj,ecker_sn_ATACseq,nemo:seq-58ijod1,https://assets.nemoarchive.org/seq-58ijod1,
CEMBA181023_6B.sorted.bed.gz,bed,CEMBA181023_6B,ecker_sn_ATACseq_proj,ecker_sn_ATACseq,nemo:der-qg9bf5w,https://assets.nemoarchive.org/der-qg9bf5w,
CEMBA181023_6B.demultiplexed.fastq.tar,fastq,CEMBA181023_6B,ecker_sn_ATACseq_proj,ecker_sn_ATACseq,nemo:seq-9qn0401,https://assets.nemoarchive.org/seq-9qn0401,
CEMBA190305_11E.sorted.bed.gz,bed,CEMBA190305_11E,ecker_sn_ATACseq_proj,ecker_sn_ATACseq,nemo:der-v99b9v0,https://assets.nemoarchive.org/der-v99b9v0,
