Sample ID,Sample Specimen Type (CV),Species (CV),Species NCBI Taxonomy ID,Parent Specimen ID,Parent Specimen Type (CV),Subject ID,Age ,Sex (CV),Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Data Collection (CV),R24 Name (CV),R24 link,Comments,Metadata Submission
CEMBA180105_3F,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,ACB;SI,cell nucleus,628,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1
CEMBA180109_v2_3F,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,ACB;SI,cell nucleus,691,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1
CEMBA180724_4H,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,MS;NDB,cell nucleus,186,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2
CEMBA180911_4H,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,MS;NDB,cell nucleus,1215,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2
CEMBA180806_4H,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,MS;NDB,cell nucleus,717,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2
CEMBA200312_8K,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,HY (DMH+LHA+VMH),cell nucleus,1424,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2020Q4
CEMBA200520_7J,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,HY (PVH+LHA+AHN+RCH),cell nucleus,1472,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2020Q4
CEMBA200305_7J,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,HY (PVH+LHA+AHN+RCH),cell nucleus,1361,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2020Q4
CEMBA200520_9L,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,HY (PH+PSTN+LHA+PM+ARH),cell nucleus,1448,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2020Q4
CEMBA200305_9L,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,HY (PH+PSTN+LHA+PM+ARH),cell nucleus,1415,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2020Q4
