Sample ID,Sample Specimen Type (CV),Species (CV),Species NCBI Taxonomy ID,Parent Specimen ID,Parent Specimen Type (CV),Subject ID,Age ,Sex (CV),Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Data Collection (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,bcdc_sample_id,sample_id,Files per Sample
CEMBA171206_3C,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,MOp,cell nucleus,1202,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA171206_3C,CEMBA171206_3C,3606
CEMBA171207_3C,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,MOp,cell nucleus,1270,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA171207_3C,CEMBA171207_3C,3812
CEMBA171212_4B,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,MOp,cell nucleus,296,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA171212_4B,CEMBA171212_4B,895
CEMBA171213_4B,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,MOp,cell nucleus,1261,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA171213_4B,CEMBA171213_4B,3786
CEMBA171214_4D,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,CP,cell nucleus,1106,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA171214_4D,CEMBA171214_4D,3318
CEMBA171219_4D,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,CP,cell nucleus,1433,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA171219_4D,CEMBA171219_4D,4299
CEMBA180104_4B,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,MOp,cell nucleus,1323,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180104_4B,CEMBA180104_4B,3969
CEMBA180109_3F,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,ACB;SI,cell nucleus,1059,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180109_3F,CEMBA180109_3F,3177
CEMBA180405_3F,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,ACB;SI,cell nucleus,1138,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA180405_3F,CEMBA180405_3F,1138
CEMBA180110_4E,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,ACB;SI,cell nucleus,1224,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180110_4E,CEMBA180110_4E,3672
CEMBA180111_4E,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,ACB;SI,cell nucleus,540,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180111_4E,CEMBA180111_4E,1620
CEMBA180119_1B,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,ORB;FRP,cell nucleus,1435,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180119_1B,CEMBA180119_1B,4305
CEMBA180122_2A,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,ACA;PL;IL,cell nucleus,1168,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180122_2A,CEMBA180122_2A,4680
CEMBA180123_2A,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,ACA;PL;IL,cell nucleus,1397,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180123_2A,CEMBA180123_2A,5600
CEMBA180129_3A,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,ACA;ILA;PL,cell nucleus,1384,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180129_3A,CEMBA180129_3A,4155
CEMBA180130_3A,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,ACA;ILA;PL,cell nucleus,1291,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180130_3A,CEMBA180130_3A,3873
CEMBA180205_4A,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,ACA,cell nucleus,1190,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180205_4A,CEMBA180205_4A,3570
CEMBA180206_4A,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,ACA,cell nucleus,1302,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180206_4A,CEMBA180206_4A,3906
CEMBA180208_1C,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,MOB;AOB;AON,cell nucleus,1383,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180208_1C,CEMBA180208_1C,4149
