Sample ID,Sample Specimen Type (CV),Species (CV),Species NCBI Taxonomy ID,Parent Specimen ID,Parent Specimen Type (CV),Subject ID,Age ,Sex (CV),Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Data Collection (CV),R24 Name (CV),R24 link,Comments,Metadata Submission
CEMBA171218-1_Pm3C,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA171218-1_Tf3C,specimen,mouse,NCBI:txid10090,,,CEMBA171027_T3;CEMBA171027_T4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA171218-1_Tm3C,specimen,mouse,NCBI:txid10090,,,CEMBA171027_T1;CEMBA171028_T2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA171219-1_Pf3C,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P3;CEMBA171104_P4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA171220-1_Tm4B,specimen,mouse,NCBI:txid10090,,,CEMBA171027_T1;CEMBA171028_T2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA180102-1_Pm4B,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA180104-1_Bm3C,specimen,mouse,NCBI:txid10090,,,CEMBA171201_B1;CEMBA171201_B2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180104-1_Bm4B,specimen,mouse,NCBI:txid10090,,,CEMBA171201_B1;CEMBA171201_B2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180104-2_Bm3C,specimen,mouse,NCBI:txid10090,,,CEMBA171201_B3;CEMBA171201_B4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180105-1_Tf6B,specimen,mouse,NCBI:txid10090,,,CEMBA171027_T3;CEMBA171027_T4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,SSp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA180105-1_Tm6B,specimen,mouse,NCBI:txid10090,,,CEMBA171027_T1;CEMBA171028_T2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,SSp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA180105-1_Tm7B,specimen,mouse,NCBI:txid10090,,,CEMBA171027_T1;CEMBA171028_T2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,SSp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA180110-1_Pf6B,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P3;CEMBA171104_P4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,SSp,cell nucleus,88,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
