Sample ID,Sample Specimen Type (CV),Species (CV),Species NCBI Taxonomy ID,Parent Specimen ID,Parent Specimen Type (CV),Subject ID,Age ,Sex (CV),Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Data Collection (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Files per Sample
CEMBA180102-1_Pf4B,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P3;CEMBA171104_P4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1,730
CEMBA180102-1_Tf4B,specimen,mouse,NCBI:txid10090,,,CEMBA171027_T3;CEMBA171027_T4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1,630
CEMBA180104-2_Bm4B,specimen,mouse,NCBI:txid10090,,,CEMBA171201_B3;CEMBA171201_B4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2,626
CEMBA180105-1_Tf7B,specimen,mouse,NCBI:txid10090,,,CEMBA171027_T3;CEMBA171027_T4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,SSp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1,674
CEMBA180110-1_Pf7B,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P3;CEMBA171104_P4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,SSp,cell nucleus,88,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1,224
CEMBA180118-1_Pf5A,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P3;CEMBA171104_P4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,ACA,cell nucleus,88,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1,233
CEMBA180125-1_Pf3D,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P3;CEMBA171104_P4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,AI,cell nucleus,176,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1,174
CEMBA180201-1_Pf10C,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P3;CEMBA171104_P4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,AUDd;AUDpo;AUDp;AUDv,cell nucleus,87,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1,216
CEMBA180213-1_Pf10A,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RSP,cell nucleus,88,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1,224
CEMBA180216-1_Pm9B,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISam;VISa;VIS,cell nucleus,176,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1,246
CEMBA180227-1_Pm12B,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISp;VISl;VISli,cell nucleus,88,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1,218
CEMBA180315-1_Bf4B,specimen,mouse,NCBI:txid10090,,,CEMBA180209_B5;CEMBA180216_B7,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,192,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2,386
CEMBA180319-1_Bf3D,specimen,mouse,NCBI:txid10090,,,CEMBA180209_B5;CEMBA180216_B7,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,AI,cell nucleus,192,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2,331
CEMBA180319-1_Bf4A,specimen,mouse,NCBI:txid10090,,,CEMBA180209_B5;CEMBA180216_B7,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,ACA,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2,303
CEMBA180320-1_Bf10C,specimen,mouse,NCBI:txid10090,,,CEMBA180209_B5;CEMBA180216_B7,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,AUDd;AUDpo;AUDp;AUDv,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2,834
CEMBA180320-1_Bf9B,specimen,mouse,NCBI:txid10090,,,CEMBA180209_B5;CEMBA180216_B7,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISam;VISa;VIS,cell nucleus,190,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2,356
CEMBA180326-1_Bf10A,specimen,mouse,NCBI:txid10090,,,CEMBA180209_B5;CEMBA180216_B7,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RSP,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2,1083
CEMBA180326-1_Bf12B,specimen,mouse,NCBI:txid10090,,,CEMBA180209_B5;CEMBA180216_B7,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISp;VISl;VISli,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2,286
CEMBA180329-1_Rf4B,specimen,mouse,NCBI:txid10090,,,CEMBA180220_R3;CEMBA180220_R4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2,291
CEMBA180403-1_Vm4B,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V1;CEMBA180228_V2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2,313
CEMBA180405-1_Rm7B,specimen,mouse,NCBI:txid10090,,,CEMBA180219_R1;CEMBA180220_R2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,SSp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2,285
CEMBA180409-1_Vf7B,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V3;CEMBA180301_V4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,SSp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2,293
CEMBA180410-1_Vm12B,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V1;CEMBA180228_V2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISp;VISl;VISli,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2,297
CEMBA180419-1_Cf4B,specimen,mouse,NCBI:txid10090,,,CEMBA180327_C5;CEMBA180327_C6,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,95,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2,322
CEMBA180419-1_Rf12B,specimen,mouse,NCBI:txid10090,,,CEMBA180220_R3;CEMBA180220_R4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISp;VISl;VISli,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2,950
CEMBA180420-1_Cf12B,specimen,mouse,NCBI:txid10090,,,CEMBA180327_C5;CEMBA180327_C6,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISp;VISl;VISli,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2,297
