Sample ID,Sample Specimen Type (CV),Species (CV),Species NCBI Taxonomy ID,Parent Specimen ID,Parent Specimen Type (CV),Subject ID,Age ,Sex (CV),Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Data Collection (CV),R24 Name (CV),R24 link,Comments,Metadata Submission
marm022_PFCd,specimen,marmoset,NCBI:txid9483,,,marm022,,,,transcriptomics,10x Chromium 3' v3 sequencing,DFC;A9/46,cell nucleus,18396,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2020Q2
marm022_PFCdl,specimen,marmoset,NCBI:txid9483,,,marm022,,,,transcriptomics,10x Chromium 3' v3 sequencing,DFC;A9/46,cell nucleus,16962,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2020Q2
marm022_PFCo,specimen,marmoset,NCBI:txid9483,,,marm022,,,,transcriptomics,10x Chromium 3' v3 sequencing,OFC,cell nucleus,27162,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2020Q2
marm022_Pulvinar,specimen,marmoset,NCBI:txid9483,,,marm022,,,,transcriptomics,10x Chromium 3' v3 sequencing,Pul,cell nucleus,20756,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2020Q2
marm027_Hipp,specimen,marmoset,NCBI:txid9483,,,marm027,,,,transcriptomics,10x Chromium 3' v3 sequencing,HIP,cell nucleus,10720,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2020Q4
marm027_NACC,specimen,marmoset,NCBI:txid9483,,,marm027,,,,transcriptomics,10x Chromium 3' v3 sequencing,NAC,cell nucleus,14404,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2020Q4
marm027_Put,specimen,marmoset,NCBI:txid9483,,,marm027,,,,transcriptomics,10x Chromium 3' v3 sequencing,Pu,cell nucleus,11152,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2020Q4
marm027_Temp,specimen,marmoset,NCBI:txid9483,,,marm027,,,,transcriptomics,10x Chromium 3' v3 sequencing,TCx,cell nucleus,25888,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2020Q4
marm027_V2,specimen,marmoset,NCBI:txid9483,,,marm027,,,,transcriptomics,10x Chromium 3' v3 sequencing,V2,cell nucleus,17906,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2020Q4
marm028_Temp,specimen,marmoset,NCBI:txid9483,,,marm028,,,,transcriptomics,10x Chromium 3' v3 sequencing,TCx,cell nucleus,23400,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2020Q4
