Sample ID,Sample Specimen Type (CV),Species (CV),Species NCBI Taxonomy ID,Parent Specimen ID,Parent Specimen Type (CV),Subject ID,Age ,Sex (CV),Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Data Collection (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Files per Sample
marm022_A1,specimen,marmoset,NCBI:txid9483,,,marm022,,,,transcriptomics,Drop-seq,A1C,cell nucleus,4891,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2019Q3,20
marm022_Cd,specimen,marmoset,NCBI:txid9483,,,marm022,,,,transcriptomics,Drop-seq,Ca,cell nucleus,16268,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2019Q4,20
marm022_Hipp_sl09,specimen,marmoset,NCBI:txid9483,,,marm022,,,,transcriptomics,Drop-seq,HIP,cell nucleus,24675,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2019Q3,20
marm022_Hipp_sl10,specimen,marmoset,NCBI:txid9483,,,marm022,,,,transcriptomics,Drop-seq,HIP,cell nucleus,13623,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2019Q3,20
marm022_Par_sl10_pool1,specimen,marmoset,NCBI:txid9483,,,marm022,,,,transcriptomics,Drop-seq,PoPC,cell nucleus,23345,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2019Q3,20
marm022_Par_sl10_pool3,specimen,marmoset,NCBI:txid9483,,,marm022,,,,transcriptomics,Drop-seq,PoPC,cell nucleus,19611,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2019Q3,20
marm022_Par_sl10,specimen,marmoset,NCBI:txid9483,,,marm022,,,,transcriptomics,Drop-seq,PoPC,cell nucleus,16684,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2018Q4,40
marm022_PFCdl_sl02,specimen,marmoset,NCBI:txid9483,,,marm022,,,,transcriptomics,Drop-seq,DFC;A9/46,cell nucleus,13934,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2018Q4,40
marm022_PFCm,specimen,marmoset,NCBI:txid9483,,,marm022,,,,transcriptomics,Drop-seq,PoFC,cell nucleus,13899,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2019Q3,20
marm022_PFCvl,specimen,marmoset,NCBI:txid9483,,,marm022,,,,transcriptomics,Drop-seq,VFC,cell nucleus,24498,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2019Q4,36
marm022_S1,specimen,marmoset,NCBI:txid9483,,,marm022,,,,transcriptomics,Drop-seq,S1C,cell nucleus,18947,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2019Q4,38
marm022_Temp_sl07,specimen,marmoset,NCBI:txid9483,,,marm022,,,,transcriptomics,Drop-seq,TCx,cell nucleus,22252,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2018Q4,34
marm022_Thal_sl07,specimen,marmoset,NCBI:txid9483,,,marm022,,,,transcriptomics,Drop-seq,THM,cell nucleus,22833,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2019Q3,20
marm022_V1,specimen,marmoset,NCBI:txid9483,,,marm022,,,,transcriptomics,Drop-seq,V1C,cell nucleus,31482,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2019Q4,20
marm023_A1,specimen,marmoset,NCBI:txid9483,,,marm023,,,,transcriptomics,Drop-seq,A1C,cell nucleus,28501,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2019Q3,20
marm023_Caud,specimen,marmoset,NCBI:txid9483,,,marm023,,,,transcriptomics,Drop-seq,Ca,cell nucleus,15685,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2019Q1,20
marm023_Hippo,specimen,marmoset,NCBI:txid9483,,,marm023,,,,transcriptomics,Drop-seq,HIP,cell nucleus,9849,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2018Q4,40
marm023_NAcc,specimen,marmoset,NCBI:txid9483,,,marm023,,,,transcriptomics,Drop-seq,NAC,cell nucleus,17344,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,,2019Q3,20
