Filename,Filetype,Sample ID,Project,Data Collection,R24 ID,File URI,Checksum
CUX-L01-0001_possorted_genome_bam.bam.tar,bam,CUX-L01-0001,huang_pn_proj,huang_pn_sn_10xv2,nemo:aln-2f6n8bh,https://assets.nemoarchive.org/aln-2f6n8bh,65586c7c83ab79194d8dfaf308659cfb
CUX-L01-0001_metrics_summary.csv.tar,csv,CUX-L01-0001,huang_pn_proj,huang_pn_sn_10xv2,nemo:der-piyu42t,https://assets.nemoarchive.org/der-piyu42t,5e86fc9f87c9c58cda967e2e0925e24a
CUX-L01-0001_S4_L002.fastq.tar,fastq,CUX-L01-0001,huang_pn_proj,huang_pn_sn_10xv2,nemo:seq-ydx2jr1,https://assets.nemoarchive.org/seq-ydx2jr1,bc7e7cdcd772c562e6f5df3e4c545578
CUX-L01-0001_S2_L002.fastq.tar,fastq,CUX-L01-0001,huang_pn_proj,huang_pn_sn_10xv2,nemo:seq-8g14urt,https://assets.nemoarchive.org/seq-8g14urt,fed1d764f411bd042bc6a8fe9895ce5a
CUX-L01-0001_S2_L001.fastq.tar,fastq,CUX-L01-0001,huang_pn_proj,huang_pn_sn_10xv2,nemo:seq-0j4a270,https://assets.nemoarchive.org/seq-0j4a270,d74f500c43637fbd6b77f54210c1c13f
CUX-L01-0001_S4_L001.fastq.tar,fastq,CUX-L01-0001,huang_pn_proj,huang_pn_sn_10xv2,nemo:seq-zzpbq3z,https://assets.nemoarchive.org/seq-zzpbq3z,4a0eed821350ec80e1da0a585aaada62
TCG-L01-0038_possorted_genome_bam.bam.tar,bam,TCG-L01-0038,huang_pn_proj,huang_pn_sn_10xv2,nemo:aln-qyh2hhd,https://assets.nemoarchive.org/aln-qyh2hhd,02d27fb72a0dcad2658a0a42c435e10f
TCG-L01-0038_metrics_summary.csv.tar,csv,TCG-L01-0038,huang_pn_proj,huang_pn_sn_10xv2,nemo:der-whr5cgz,https://assets.nemoarchive.org/der-whr5cgz,a19ecbd381f89aa13f8bc22c4c32a060
HY3LCBCX2_12_TCG-L01-0038_S1_L002.fastq.tar,fastq,TCG-L01-0038,huang_pn_proj,huang_pn_sn_10xv2,nemo:seq-r54knjr,https://assets.nemoarchive.org/seq-r54knjr,1315e257d1bc75e84d049cc9be58ce1f
HY5TTBCX2_12_TCG-L01-0038_S3_L002.fastq.tar,fastq,TCG-L01-0038,huang_pn_proj,huang_pn_sn_10xv2,nemo:seq-v8m0djv,https://assets.nemoarchive.org/seq-v8m0djv,4cf3d32d0ebf94c260f5d0aed107324e
HY3LCBCX2_12_TCG-L01-0038_S1_L001.fastq.tar,fastq,TCG-L01-0038,huang_pn_proj,huang_pn_sn_10xv2,nemo:seq-0rctzp5,https://assets.nemoarchive.org/seq-0rctzp5,6b5944d0e7efdbd45bbb0a4955962884
HY5TTBCX2_12_TCG-L01-0038_S3_L001.fastq.tar,fastq,TCG-L01-0038,huang_pn_proj,huang_pn_sn_10xv2,nemo:seq-8kgp7m6,https://assets.nemoarchive.org/seq-8kgp7m6,697d11231cfdb696bdc54b295f53cf5d
TCG-L01-0033_possorted_genome_bam.bam.tar,bam,TCG-L01-0033,huang_pn_proj,huang_pn_sn_10xv2,nemo:aln-zd0y4jh,https://assets.nemoarchive.org/aln-zd0y4jh,126cf055c33bd7a53290c0106ee1bf9c
TCG-L01-0033_metrics_summary.csv.tar,csv,TCG-L01-0033,huang_pn_proj,huang_pn_sn_10xv2,nemo:der-w4romhg,https://assets.nemoarchive.org/der-w4romhg,c013ae62f458ced44e8e24a6b3530e1d
HY3HNBCX2_12_TCG-L01-0033_S6_L001.fastq.tar,fastq,TCG-L01-0033,huang_pn_proj,huang_pn_sn_10xv2,nemo:seq-dn36cse,https://assets.nemoarchive.org/seq-dn36cse,edefce210628eb4c70d82b4b20821cd4
HY3HNBCX2_12_TCG-L01-0033_S6_L002.fastq.tar,fastq,TCG-L01-0033,huang_pn_proj,huang_pn_sn_10xv2,nemo:seq-84k1h07,https://assets.nemoarchive.org/seq-84k1h07,ae371a473cbba28b8ca827222f18f362
HY5TTBCX2_12_TCG-L01-0033_S1_L001.fastq.tar,fastq,TCG-L01-0033,huang_pn_proj,huang_pn_sn_10xv2,nemo:seq-tisaq07,https://assets.nemoarchive.org/seq-tisaq07,5e4e46afb0555dc7ae88b7f408dd5c5d
HY5TTBCX2_12_TCG-L01-0033_S1_L002.fastq.tar,fastq,TCG-L01-0033,huang_pn_proj,huang_pn_sn_10xv2,nemo:seq-iixqffk,https://assets.nemoarchive.org/seq-iixqffk,a78d9329fe52aca2b791902356ed41fb
TCG-L01-0022_possorted_genome_bam.bam.tar,bam,TCG-L01-0022,huang_pn_proj,huang_pn_sn_10xv2,nemo:aln-iefswhh,https://assets.nemoarchive.org/aln-iefswhh,032f78a62508cc15d8334b92a8152f21
TCG-L01-0022_metrics_summary.csv.tar,csv,TCG-L01-0022,huang_pn_proj,huang_pn_sn_10xv2,nemo:der-s0hgfu3,https://assets.nemoarchive.org/der-s0hgfu3,da682ae7cf8023a29818981789eb20b8
