Sample ID,Sample Specimen Type (CV),Species (CV),Species NCBI Taxonomy ID,Parent Specimen ID,Parent Specimen Type (CV),Subject ID,Age ,Sex (CV),Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Data Collection (CV),R24 Name (CV),R24 link,Comments,Metadata Submission
pBICCNsMMrCBSIMiM002d190312VII,specimen,mouse,NCBI:txid10090,,,M002,,,,transcriptomics,10x Chromium 3' v3 sequencing,SIM,cell nucleus,7773,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/",,2019Q2
pBICCNsMMrMBL1iM011d200729,specimen,mouse,NCBI:txid10090,,,M011,,,,transcriptomics,10x Chromium 3' v3 sequencing,MB,cell nucleus,9667,Cold Spring Harbor Laboratory; Broad Institute,Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,,2020Q4
pBICCNsMMrMBL2iM011d200729,specimen,mouse,NCBI:txid10090,,,M011,,,,transcriptomics,10x Chromium 3' v3 sequencing,MB,cell nucleus,11008,Cold Spring Harbor Laboratory; Broad Institute,Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,,2020Q4
pBICCNsMMrMBL3iM011d200729,specimen,mouse,NCBI:txid10090,,,M011,,,,transcriptomics,10x Chromium 3' v3 sequencing,MB,cell nucleus,12506,Cold Spring Harbor Laboratory; Broad Institute,Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,,2020Q4
pBICCNsMMrMBL4iM011d200729,specimen,mouse,NCBI:txid10090,,,M011,,,,transcriptomics,10x Chromium 3' v3 sequencing,MB,cell nucleus,12481,Cold Spring Harbor Laboratory; Broad Institute,Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,,2020Q4
pBICCNsMMrMBL5iM011d200729,specimen,mouse,NCBI:txid10090,,,M011,,,,transcriptomics,10x Chromium 3' v3 sequencing,MB,cell nucleus,12128,Cold Spring Harbor Laboratory; Broad Institute,Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,,2020Q4
pBICCNsMMrMBL6iM011d200729,specimen,mouse,NCBI:txid10090,,,M011,,,,transcriptomics,10x Chromium 3' v3 sequencing,MB,cell nucleus,12590,Cold Spring Harbor Laboratory; Broad Institute,Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,,2020Q4
pBICCNsMMrMBL7iM011d200729,specimen,mouse,NCBI:txid10090,,,M011,,,,transcriptomics,10x Chromium 3' v3 sequencing,MB,cell nucleus,13441,Cold Spring Harbor Laboratory; Broad Institute,Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,,2020Q4
pBICCNsMMrMBM2iM012d200729,specimen,mouse,NCBI:txid10090,,,M012,,,,transcriptomics,10x Chromium 3' v3 sequencing,MB,cell nucleus,9050,Cold Spring Harbor Laboratory; Broad Institute,Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,,2020Q4
pBICCNsMMrMBM3iM012d200729,specimen,mouse,NCBI:txid10090,,,M012,,,,transcriptomics,10x Chromium 3' v3 sequencing,MB,cell nucleus,9768,Cold Spring Harbor Laboratory; Broad Institute,Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,,2020Q4
pBICCNsMMrMBM4iM012d200729,specimen,mouse,NCBI:txid10090,,,M012,,,,transcriptomics,10x Chromium 3' v3 sequencing,MB,cell nucleus,7241,Cold Spring Harbor Laboratory; Broad Institute,Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,,2020Q4
