Sample ID,Sample Specimen Type (CV),Species (CV),Species NCBI Taxonomy ID,Parent Specimen ID,Parent Specimen Type (CV),Subject ID,Age ,Sex (CV),Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Data Collection (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Files per Sample
pBICCNsMMrAUDi7167173Td180614a,specimen,mouse,NCBI:txid10090,,,MD716_717,,,,transcriptomics,10x Chromium 3' v2 sequencing,AUD,cell nucleus,7758,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NEMO,"http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/",,2018Q3,4
pBICCNsMMrAUDi7167173Td180614b,specimen,mouse,NCBI:txid10090,,,MD716_717,,,,transcriptomics,10x Chromium 3' v2 sequencing,AUD,cell nucleus,6161,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NEMO,"http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/",,2018Q3,4
pBICCNsMMrAUDi7167174Bd180613a,specimen,mouse,NCBI:txid10090,,,MD716_717,,,,transcriptomics,10x Chromium 3' v2 sequencing,AUD,cell nucleus,5364,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NEMO,"http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/",,2018Q3,4
pBICCNsMMrAUDi7207213Td180627,specimen,mouse,NCBI:txid10090,,,MD720_721,,,,transcriptomics,10x Chromium 3' v2 sequencing,AUD,cell nucleus,9099,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NEMO,"http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/",,2018Q3,4
pBICCNsMMrAUDi7207214Bd180715a,specimen,mouse,NCBI:txid10090,,,MD720_721,,,,transcriptomics,10x Chromium 3' v2 sequencing,AUD,cell nucleus,9607,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NEMO,"http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/",,2018Q4,4
pBICCNsMMrAUDi7207214Bd180715b,specimen,mouse,NCBI:txid10090,,,MD720_721,,,,transcriptomics,10x Chromium 3' v2 sequencing,AUD,cell nucleus,7350,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NEMO,"http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/",,2018Q4,4
pBICCNsMMrBNSTi1Fd180717,specimen,mouse,NCBI:txid10090,,,F001,,,,transcriptomics,10x Chromium 3' v2 sequencing,BST,cell nucleus,5104,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NEMO,"http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/",,2018Q4,4
pBICCNsMMrBNSTi1Md180717a,specimen,mouse,NCBI:txid10090,,,M001,,,,transcriptomics,10x Chromium 3' v2 sequencing,BST,cell nucleus,5672,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NEMO,"http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/",,2018Q4,4
pBICCNsMMrBNSTi1Md180717b,specimen,mouse,NCBI:txid10090,,,M001,,,,transcriptomics,10x Chromium 3' v2 sequencing,BST,cell nucleus,6063,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NEMO,"http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/",,2018Q4,4
pBICCNsMMrBNSTi2Fd180717a,specimen,mouse,NCBI:txid10090,,,F002,,,,transcriptomics,10x Chromium 3' v2 sequencing,BST,cell nucleus,9157,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NEMO,"http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/",,2018Q4,4
pBICCNsMMrBNSTi2Fd180717b,specimen,mouse,NCBI:txid10090,,,F002,,,,transcriptomics,10x Chromium 3' v2 sequencing,BST,cell nucleus,8934,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NEMO,"http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/",,2018Q4,4
pBICCNsMMrBNSTi2Md180717,specimen,mouse,NCBI:txid10090,,,M002,,,,transcriptomics,10x Chromium 3' v2 sequencing,BST,cell nucleus,5729,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NEMO,"http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/",,2018Q4,4
pBICCNsMMrBNSTi3Fd180717,specimen,mouse,NCBI:txid10090,,,F003,,,,transcriptomics,10x Chromium 3' v2 sequencing,BST,cell nucleus,6564,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NEMO,"http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/",,2018Q4,4
pBICCNsMMrBNSTi3Md180717a,specimen,mouse,NCBI:txid10090,,,M003,,,,transcriptomics,10x Chromium 3' v2 sequencing,BST,cell nucleus,5497,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NEMO,"http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/",,2018Q4,4
pBICCNsMMrBNSTi3Md180717b,specimen,mouse,NCBI:txid10090,,,M003,,,,transcriptomics,10x Chromium 3' v2 sequencing,BST,cell nucleus,5380,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NEMO,"http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/",,2018Q4,4
