Filename,Filetype,Sample ID,Project,Data Collection,R24 ID,File URI,Checksum
pBICCNsMMrPRNRi7107115Td180702c.bam.tar,bam,pBICCNsMMrPRNRi7107115Td180702c,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:aln-47gbbdu,https://assets.nemoarchive.org/aln-47gbbdu,
pBICCNsMMrPRNRi7107115Td180702c.mex.tar.gz,mex,pBICCNsMMrPRNRi7107115Td180702c,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:der-vmwbzux,https://assets.nemoarchive.org/der-vmwbzux,a1bc11623ff1b9f94ed2225b0fa6a9d4
pBICCNsMMrPRNRi7107115Td180702c_S9_L001.fastq.tar,fastq,pBICCNsMMrPRNRi7107115Td180702c,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-phmy798,https://assets.nemoarchive.org/seq-phmy798,
pBICCNsMMrPRNRi7107115Td180702c_S9_L002.fastq.tar,fastq,pBICCNsMMrPRNRi7107115Td180702c,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-q5u9uw6,https://assets.nemoarchive.org/seq-q5u9uw6,
pBICCNsMMrLSCi73614d180830a.bam.tar,bam,pBICCNsMMrLSCi73614d180830a,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:aln-r9qpev4,https://assets.nemoarchive.org/aln-r9qpev4,
pBICCNsMMrLSCi73614d180830a.mex.tar.gz,mex,pBICCNsMMrLSCi73614d180830a,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:der-75gqw51,https://assets.nemoarchive.org/der-75gqw51,
pBICCNsMMrLSCi73614d180830a_S8_L001.fastq.tar,fastq,pBICCNsMMrLSCi73614d180830a,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-3hx8oy2,https://assets.nemoarchive.org/seq-3hx8oy2,
pBICCNsMMrLSCi73614d180830a_S8_L002.fastq.tar,fastq,pBICCNsMMrLSCi73614d180830a,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-xicudxm,https://assets.nemoarchive.org/seq-xicudxm,
pBICCNsMMrSCSi70470513Td180328.bam.tar,bam,pBICCNsMMrSCSi70470513Td180328,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:aln-8ymew97,https://assets.nemoarchive.org/aln-8ymew97,
pBICCNsMMrSCSi70470513Td180328.mex.tar.gz,mex,pBICCNsMMrSCSi70470513Td180328,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:der-deozicy,https://assets.nemoarchive.org/der-deozicy,
pBICCNsMMrSCSi70470513Td180328_S9_L001.fastq.tar,fastq,pBICCNsMMrSCSi70470513Td180328,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-u96010c,https://assets.nemoarchive.org/seq-u96010c,
pBICCNsMMrSCSi70470513Td180328_S9_L002.fastq.tar,fastq,pBICCNsMMrSCSi70470513Td180328,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-mg0yr5y,https://assets.nemoarchive.org/seq-mg0yr5y,
pBICCNsMMrSCSi70470514Bd180328.bam.tar,bam,pBICCNsMMrSCSi70470514Bd180328,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:aln-7is8qz7,https://assets.nemoarchive.org/aln-7is8qz7,
pBICCNsMMrSCSi70470514Bd180328.mex.tar.gz,mex,pBICCNsMMrSCSi70470514Bd180328,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:der-9mgavk2,https://assets.nemoarchive.org/der-9mgavk2,
pBICCNsMMrSCSi70470514Bd180328_S10_L002.fastq.tar,fastq,pBICCNsMMrSCSi70470514Bd180328,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-5hiaitd,https://assets.nemoarchive.org/seq-5hiaitd,
pBICCNsMMrSCSi70470514Bd180328_S10_L001.fastq.tar,fastq,pBICCNsMMrSCSi70470514Bd180328,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-7hq6ssb,https://assets.nemoarchive.org/seq-7hq6ssb,
pBICCNsMMrSCSi7207217Td180703a.bam.tar,bam,pBICCNsMMrSCSi7207217Td180703a,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:aln-vx34aq7,https://assets.nemoarchive.org/aln-vx34aq7,
pBICCNsMMrSCSi7207217Td180703a.mex.tar.gz,mex,pBICCNsMMrSCSi7207217Td180703a,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:der-zw0mp28,https://assets.nemoarchive.org/der-zw0mp28,
pBICCNsMMrSCSi7207217Td180703a_S7_L001.fastq.tar,fastq,pBICCNsMMrSCSi7207217Td180703a,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-8tm0znd,https://assets.nemoarchive.org/seq-8tm0znd,
pBICCNsMMrSCSi7207217Td180703a_S7_L002.fastq.tar,fastq,pBICCNsMMrSCSi7207217Td180703a,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-5sfggxd,https://assets.nemoarchive.org/seq-5sfggxd,
pBICCNsMMrCBiAn1d181112i.bam.tar,bam,pBICCNsMMrCBiAn1d181112i,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:aln-9pkzecw,https://assets.nemoarchive.org/aln-9pkzecw,
pBICCNsMMrCBiAn1d181112i.mex.tar.gz,mex,pBICCNsMMrCBiAn1d181112i,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:der-yghis1d,https://assets.nemoarchive.org/der-yghis1d,
pBICCNsMMrCBiAn1d181112i_S9_L001.fastq.tar,fastq,pBICCNsMMrCBiAn1d181112i,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-m0qt2tn,https://assets.nemoarchive.org/seq-m0qt2tn,
pBICCNsMMrCBiAn1d181112i_S9_L002.fastq.tar,fastq,pBICCNsMMrCBiAn1d181112i,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-1z95kj1,https://assets.nemoarchive.org/seq-1z95kj1,
pBICCNsMMrCBiIXd181030c.bam.tar,bam,pBICCNsMMrCBiIXd181030c,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:aln-ozwmvrn,https://assets.nemoarchive.org/aln-ozwmvrn,
pBICCNsMMrCBiIXd181030c.mex.tar.gz,mex,pBICCNsMMrCBiIXd181030c,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:der-vy18nbv,https://assets.nemoarchive.org/der-vy18nbv,
pBICCNsMMrCBiIXd181030c_S6_L001.fastq.tar,fastq,pBICCNsMMrCBiIXd181030c,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-ejcz1u8,https://assets.nemoarchive.org/seq-ejcz1u8,
pBICCNsMMrCBiIXd181030c_S6_L002.fastq.tar,fastq,pBICCNsMMrCBiIXd181030c,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-e3gex57,https://assets.nemoarchive.org/seq-e3gex57,
pBICCNsMMrORBi7167172Bd180613b.bam.tar,bam,pBICCNsMMrORBi7167172Bd180613b,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:aln-c4z8gi7,https://assets.nemoarchive.org/aln-c4z8gi7,
pBICCNsMMrORBi7167172Bd180613b.mex.tar.gz,mex,pBICCNsMMrORBi7167172Bd180613b,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:der-azcz0kb,https://assets.nemoarchive.org/der-azcz0kb,
pBICCNsMMrORBi7167172Bd180613b_S9_L001.fastq.tar,fastq,pBICCNsMMrORBi7167172Bd180613b,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-bu5ur2y,https://assets.nemoarchive.org/seq-bu5ur2y,
pBICCNsMMrORBi7167172Bd180613b_S9_L002.fastq.tar,fastq,pBICCNsMMrORBi7167172Bd180613b,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-t5aq1q5,https://assets.nemoarchive.org/seq-t5aq1q5,
pBICCNsMMrORBi7167171Td180614b.bam.tar,bam,pBICCNsMMrORBi7167171Td180614b,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:aln-z96jaia,https://assets.nemoarchive.org/aln-z96jaia,
pBICCNsMMrORBi7167171Td180614b.mex.tar.gz,mex,pBICCNsMMrORBi7167171Td180614b,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:der-3n9icqs,https://assets.nemoarchive.org/der-3n9icqs,
pBICCNsMMrORBi7167171Td180614b_S5_L001.fastq.tar,fastq,pBICCNsMMrORBi7167171Td180614b,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-ad4f44h,https://assets.nemoarchive.org/seq-ad4f44h,
pBICCNsMMrORBi7167171Td180614b_S5_L002.fastq.tar,fastq,pBICCNsMMrORBi7167171Td180614b,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-umcf6fo,https://assets.nemoarchive.org/seq-umcf6fo,
pBICCNsMMrSSPi7027034d180403a.bam.tar,bam,pBICCNsMMrSSPi7027034d180403a,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:aln-hebj6th,https://assets.nemoarchive.org/aln-hebj6th,
pBICCNsMMrSSPi7027034d180403a.mex.tar.gz,mex,pBICCNsMMrSSPi7027034d180403a,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:der-mkzt8h7,https://assets.nemoarchive.org/der-mkzt8h7,
pBICCNsMMrSSPi7027034d180403a_S12_L002.fastq.tar,fastq,pBICCNsMMrSSPi7027034d180403a,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-uknzinq,https://assets.nemoarchive.org/seq-uknzinq,
pBICCNsMMrSSPi7027034d180403a_S12_L001.fastq.tar,fastq,pBICCNsMMrSSPi7027034d180403a,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-bdm4k4t,https://assets.nemoarchive.org/seq-bdm4k4t,
pBICCNsMMrCBi733G7d180824.bam.tar,bam,pBICCNsMMrCBi733G7d180824,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:aln-v3ivsjw,https://assets.nemoarchive.org/aln-v3ivsjw,
pBICCNsMMrCBi733G7d180824.mex.tar.gz,mex,pBICCNsMMrCBi733G7d180824,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:der-eb2apzy,https://assets.nemoarchive.org/der-eb2apzy,
pBICCNsMMrCBi733G7d180824_S2_L002.fastq.tar,fastq,pBICCNsMMrCBi733G7d180824,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-7vrvgwr,https://assets.nemoarchive.org/seq-7vrvgwr,
pBICCNsMMrCBi733G7d180824_S2_L001.fastq.tar,fastq,pBICCNsMMrCBi733G7d180824,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-pbis0q6,https://assets.nemoarchive.org/seq-pbis0q6,
pBICCNsMMrMOPi70470511Bd180328.bam.tar,bam,pBICCNsMMrMOPi70470511Bd180328,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:aln-daxmw78,https://assets.nemoarchive.org/aln-daxmw78,
pBICCNsMMrMOPi70470511Bd180328.mex.tar.gz,mex,pBICCNsMMrMOPi70470511Bd180328,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:der-5afpeib,https://assets.nemoarchive.org/der-5afpeib,0e24582962f79e0e2ac4de585f64cf81
pBICCNsMMrMOPi70470511Bd180328_S5_L002.fastq.tar,fastq,pBICCNsMMrMOPi70470511Bd180328,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-ah5fxrf,https://assets.nemoarchive.org/seq-ah5fxrf,
pBICCNsMMrMOPi70470511Bd180328_S5_L001.fastq.tar,fastq,pBICCNsMMrMOPi70470511Bd180328,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-banv9hv,https://assets.nemoarchive.org/seq-banv9hv,
pBICCNsMMrCUL45i7027035Td180403b.bam.tar,bam,pBICCNsMMrCUL45i7027035Td180403b,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:aln-hpj7dwd,https://assets.nemoarchive.org/aln-hpj7dwd,
pBICCNsMMrCUL45i7027035Td180403b.mex.tar.gz,mex,pBICCNsMMrCUL45i7027035Td180403b,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:der-duqcpsu,https://assets.nemoarchive.org/der-duqcpsu,0c5bf3f88c02eaf6f4a46ff8c7e5b61a
pBICCNsMMrCUL45i7027035Td180403b_S15_L002.fastq.tar,fastq,pBICCNsMMrCUL45i7027035Td180403b,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-dc1d7eb,https://assets.nemoarchive.org/seq-dc1d7eb,
pBICCNsMMrCUL45i7027035Td180403b_S15_L001.fastq.tar,fastq,pBICCNsMMrCUL45i7027035Td180403b,huang_sn_10xv2_proj,huang_sn_10xv2,nemo:seq-7m3xor3,https://assets.nemoarchive.org/seq-7m3xor3,
