Sample ID,Sample Specimen Type (CV),Species (CV),Species NCBI Taxonomy ID,Parent Specimen ID,Parent Specimen Type (CV),Subject ID,Age ,Sex (CV),Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Data Collection (CV),R24 Name (CV),R24 link,Comments,Metadata Submission
GW17_Cortex_RNA,specimen,human,NCBI:txid9606,,,GW17_052219,,,,transcriptomics,10x Chromium 3' v2 sequencing,Cx,whole cell,13361,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/nowakowski/transcriptome/scell/,,2019Q4
GW18_temporal,specimen,human,NCBI:txid9606,,,GW18,,,,transcriptomics,10x Chromium 3' v2 sequencing,TemL,whole cell,8613,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2018Q4
GW19_Parietal_all,specimen,human,NCBI:txid9606,,,GW19,,,,transcriptomics,10x Chromium 3' v2 sequencing,PCx,whole cell,5436,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2018Q4
GW19_Somatosensory_all,specimen,human,NCBI:txid9606,,,GW19,,,,transcriptomics,10x Chromium 3' v2 sequencing,S1C,whole cell,6208,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2018Q4
GW21_Fresh_RNA,specimen,human,NCBI:txid9606,,,GW21_111418,,,,transcriptomics,10x Chromium 3' v2 sequencing,Cx,whole cell,6918,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/nowakowski/transcriptome/scell/,,2019Q4
H1_RNA,specimen,human,NCBI:txid9606,,,H1_111418,,,,transcriptomics,10x Chromium 3' v2 sequencing,,whole cell,7757,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/nowakowski/transcriptome/scell/,,2019Q4
H28_RNA,specimen,human,NCBI:txid9606,,,H28_111418,,,,transcriptomics,10x Chromium 3' v2 sequencing,,whole cell,8295,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/nowakowski/transcriptome/scell/,,2019Q4
GW18_2_CGE,specimen,human,NCBI:txid9606,,,GW18_2,,,,transcriptomics,10x Chromium 3' v3 sequencing,CGE,whole cell,5541,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4
GW18_2_claustrum,specimen,human,NCBI:txid9606,,,GW18_2,,,,transcriptomics,10x Chromium 3' v3 sequencing,Cla,whole cell,5759,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4
GW18_2_hippocampus,specimen,human,NCBI:txid9606,,,GW18_2,,,,transcriptomics,10x Chromium 3' v3 sequencing,HIP,whole cell,8052,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4
GW18_2_hypothalamus,specimen,human,NCBI:txid9606,,,GW18_2,,,,transcriptomics,10x Chromium 3' v3 sequencing,HTH,whole cell,6984,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4
GW18_2_LGE,specimen,human,NCBI:txid9606,,,GW18_2,,,,transcriptomics,10x Chromium 3' v3 sequencing,LGE,whole cell,7669,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4
GW18_2_MGE,specimen,human,NCBI:txid9606,,,GW18_2,,,,transcriptomics,10x Chromium 3' v3 sequencing,MGE,whole cell,6992,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4
GW18_2_motor,specimen,human,NCBI:txid9606,,,GW18_2,,,,transcriptomics,10x Chromium 3' v3 sequencing,M1C,whole cell,9293,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4
GW18_2_motorVZ,specimen,human,NCBI:txid9606,,,GW18_2,,,,transcriptomics,10x Chromium 3' v3 sequencing,fVZm1,whole cell,4534,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4
GW18_2_parietal,specimen,human,NCBI:txid9606,,,GW18_2,,,,transcriptomics,10x Chromium 3' v3 sequencing,PCx,whole cell,6905,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4
GW18_2_ParVZ,specimen,human,NCBI:txid9606,,,GW18_2,,,,transcriptomics,10x Chromium 3' v3 sequencing,pVZ,whole cell,9227,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4
GW18_2_somato,specimen,human,NCBI:txid9606,,,GW18_2,,,,transcriptomics,10x Chromium 3' v3 sequencing,S1C,whole cell,6302,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4
GW18_2_somatoVZ,specimen,human,NCBI:txid9606,,,GW18_2,,,,transcriptomics,10x Chromium 3' v3 sequencing,pVZs1,whole cell,4212,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4
GW18_2_temporal,specimen,human,NCBI:txid9606,,,GW18_2,,,,transcriptomics,10x Chromium 3' v3 sequencing,TCx,whole cell,10103,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4
