Sample ID,Sample Specimen Type (CV),Species (CV),Species NCBI Taxonomy ID,Parent Specimen ID,Parent Specimen Type (CV),Subject ID,Age ,Sex (CV),Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Data Collection (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Files per Sample
CS12_Diencephalon,specimen,human,NCBI:txid9606,,,CS12,,,,transcriptomics,10x Chromium 3' v2 sequencing,Die,whole cell,3129,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/,,2020Q1,1
CS12_Hindbrain,specimen,human,NCBI:txid9606,,,CS12,,,,transcriptomics,10x Chromium 3' v2 sequencing,H,whole cell,6028,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/,,2020Q1,1
CS12_Midbrain,specimen,human,NCBI:txid9606,,,CS12,,,,transcriptomics,10x Chromium 3' v2 sequencing,M,whole cell,4267,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/,,2020Q1,1
CS12_OpticVesicle,specimen,human,NCBI:txid9606,,,CS12,,,,transcriptomics,10x Chromium 3' v2 sequencing,Optic Vesicle,whole cell,4638,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/,,2020Q1,1
CS12_Telencephalon,specimen,human,NCBI:txid9606,,,CS12,,,,transcriptomics,10x Chromium 3' v2 sequencing,Tel,whole cell,2177,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/,,2020Q1,1
CS13_anterior_midbrain,specimen,human,NCBI:txid9606,,,CS13,,,,transcriptomics,10x Chromium 3' v2 sequencing,M,whole cell,6872,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2018Q4,1
CS13_central_midbrain,specimen,human,NCBI:txid9606,,,CS13,,,,transcriptomics,10x Chromium 3' v2 sequencing,M,whole cell,5919,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2018Q4,1
CS13_hindbrain,specimen,human,NCBI:txid9606,,,CS13,,,,transcriptomics,10x Chromium 3' v2 sequencing,H,whole cell,7138,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2018Q4,1
CS13_olfactory_placode,specimen,human,NCBI:txid9606,,,CS13,,,,transcriptomics,10x Chromium 3' v2 sequencing,Olfactory Placode,whole cell,2033,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2018Q4,1
CS13_optic_vesicle,specimen,human,NCBI:txid9606,,,CS13,,,,transcriptomics,10x Chromium 3' v2 sequencing,Optic Cup,whole cell,2775,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2018Q4,1
CS13_prosencephalon,specimen,human,NCBI:txid9606,,,CS13,,,,transcriptomics,10x Chromium 3' v2 sequencing,F,whole cell,5970,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2018Q4,2
CS14_cortex,specimen,human,NCBI:txid9606,,,CS14,,,,transcriptomics,10x Chromium 3' v2 sequencing,F,whole cell,1419,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2018Q4,1
CS14_hindbrain,specimen,human,NCBI:txid9606,,,CS14,,,,transcriptomics,10x Chromium 3' v2 sequencing,H,whole cell,1364,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2018Q4,1
CS14_retina,specimen,human,NCBI:txid9606,,,CS14,,,,transcriptomics,10x Chromium 3' v2 sequencing,Optic Cup,whole cell,1850,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2018Q4,1
CS15_forebrain,specimen,human,NCBI:txid9606,,,CS15,,,,transcriptomics,10x Chromium 3' v2 sequencing,F,whole cell,3268,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2018Q4,2
CS15_hindbrain,specimen,human,NCBI:txid9606,,,CS15,,,,transcriptomics,10x Chromium 3' v2 sequencing,H,whole cell,1720,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2018Q4,2
CS15_midbrain,specimen,human,NCBI:txid9606,,,CS15,,,,transcriptomics,10x Chromium 3' v2 sequencing,M,whole cell,667,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2018Q4,1
CS15_optic_cup,specimen,human,NCBI:txid9606,,,CS15,,,,transcriptomics,10x Chromium 3' v2 sequencing,Optic Cup,whole cell,2748,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2018Q4,1
CS19_cortex,specimen,human,NCBI:txid9606,,,CS19,,,,transcriptomics,10x Chromium 3' v2 sequencing,NCx,whole cell,1349,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/,,2020Q1,1
CS19_hindbrain,specimen,human,NCBI:txid9606,,,CS19,,,,transcriptomics,10x Chromium 3' v2 sequencing,H,whole cell,10353,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/,,2020Q1,1
CS19_midbrain,specimen,human,NCBI:txid9606,,,CS19,,,,transcriptomics,10x Chromium 3' v2 sequencing,M,whole cell,5484,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv2,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/,,2020Q1,1
