Filename,Filetype,Sample ID,Project,Data Collection,R24 ID,File URI,Checksum
CS20_occipital1.mex.tar.gz,mex,CS20_occipital,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-4ocbnte,https://assets.nemoarchive.org/der-4ocbnte,
CS20_occipital2.mex.tar.gz,mex,CS20_occipital,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-a3x9fut,https://assets.nemoarchive.org/der-a3x9fut,
GW20CGE.mex.tar.gz,mex,GW20_CGE,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-qt3rgxk,https://assets.nemoarchive.org/der-qt3rgxk,
CS13_optic_vesicle.mex.tar.gz,mex,CS13_optic_vesicle,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-o5c0tv8,https://assets.nemoarchive.org/der-o5c0tv8,
GW22T_LGE1.mex.tar.gz,mex,GW22T_LGE,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-czj585z,https://assets.nemoarchive.org/der-czj585z,
GW22T_LGE2.mex.tar.gz,mex,GW22T_LGE,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-d46hps6,https://assets.nemoarchive.org/der-d46hps6,
GW18_V1.mex.tar.gz,mex,GW18_V1,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-05annmv,https://assets.nemoarchive.org/der-05annmv,c3102d77cea22ee9124bf2addb660fa2
CS22_2_thalamus.mex.tar.gz,mex,CS22_Thalamus,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-51q4o8m,https://assets.nemoarchive.org/der-51q4o8m,23c4304b84c73e7c51609628f7df1c6a
CS22_Thalamus.mex.tar.gz,mex,CS22_Thalamus,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-hs6jgby,https://assets.nemoarchive.org/der-hs6jgby,08e3207a2af51a51c84a2638f054fb9c
CS20_hypothalamus1.mex.tar.gz,mex,CS20_hypothalamus,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,nemo:der-3v603bz,https://assets.nemoarchive.org/der-3v603bz,
