Sample ID,Sample Specimen Type (CV),Species (CV),Species NCBI Taxonomy ID,Parent Specimen ID,Parent Specimen Type (CV),Subject ID,Age ,Sex (CV),Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Data Collection (CV),R24 Name (CV),R24 link,Comments,Metadata Submission
10X248-1,specimen,human,NCBI:txid9606,,,H19.30.001,,,,transcriptomics,10x Chromium 3' v3 sequencing,V1C,cell nucleus,10517,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X248-2,specimen,human,NCBI:txid9606,,,H19.30.001,,,,transcriptomics,10x Chromium 3' v3 sequencing,V1C,cell nucleus,4297,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X248-3,specimen,human,NCBI:txid9606,,,H19.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,V1C,cell nucleus,5066,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X248-4,specimen,human,NCBI:txid9606,,,H19.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,V1C,cell nucleus,5499,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X248-5,specimen,human,NCBI:txid9606,,,H19.30.001,,,,transcriptomics,10x Chromium 3' v3 sequencing,A24,cell nucleus,4470,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X248-6,specimen,human,NCBI:txid9606,,,H19.30.001,,,,transcriptomics,10x Chromium 3' v3 sequencing,A24,cell nucleus,4765,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X248-7,specimen,human,NCBI:txid9606,,,H19.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,A24,cell nucleus,1650,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X248-8,specimen,human,NCBI:txid9606,,,H19.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,A24,cell nucleus,5516,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X249-1,specimen,human,NCBI:txid9606,,,H19.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,V2,cell nucleus,5787,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X249-2,specimen,human,NCBI:txid9606,,,H19.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,V2,cell nucleus,5622,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X249-3,specimen,human,NCBI:txid9606,,,H19.30.001,,,,transcriptomics,10x Chromium 3' v3 sequencing,V2,cell nucleus,5657,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X249-4,specimen,human,NCBI:txid9606,,,H19.30.001,,,,transcriptomics,10x Chromium 3' v3 sequencing,V2,cell nucleus,6166,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X249-5,specimen,human,NCBI:txid9606,,,H19.30.001,,,,transcriptomics,10x Chromium 3' v3 sequencing,FI,cell nucleus,6448,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X249-6,specimen,human,NCBI:txid9606,,,H19.30.001,,,,transcriptomics,10x Chromium 3' v3 sequencing,FI,cell nucleus,6441,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X249-7,specimen,human,NCBI:txid9606,,,H19.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,FI,cell nucleus,6516,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X249-8,specimen,human,NCBI:txid9606,,,H19.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,FI,cell nucleus,6707,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X264-1,specimen,human,NCBI:txid9606,,,H19.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,MEC,cell nucleus,6909,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X264-2,specimen,human,NCBI:txid9606,,,H19.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,MEC,cell nucleus,7716,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X264-3,specimen,human,NCBI:txid9606,,,H19.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,LEC,cell nucleus,5291,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X264-4,specimen,human,NCBI:txid9606,,,H19.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,LEC,cell nucleus,5840,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X264-5,specimen,human,NCBI:txid9606,,,H19.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,TH;TL,cell nucleus,6331,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X264-6,specimen,human,NCBI:txid9606,,,H19.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,TH;TL,cell nucleus,6382,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X264-7,specimen,human,NCBI:txid9606,,,H19.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,S1C,cell nucleus,6364,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X264-8,specimen,human,NCBI:txid9606,,,H19.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,S1C,cell nucleus,6229,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X265-1,specimen,human,NCBI:txid9606,,,H19.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,A1C,cell nucleus,4800,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X265-2,specimen,human,NCBI:txid9606,,,H19.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,A1C,cell nucleus,5790,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X265-3,specimen,human,NCBI:txid9606,,,H19.30.001,,,,transcriptomics,10x Chromium 3' v3 sequencing,LEC,cell nucleus,4074,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X265-4,specimen,human,NCBI:txid9606,,,H19.30.001,,,,transcriptomics,10x Chromium 3' v3 sequencing,LEC,cell nucleus,6255,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X265-5,specimen,human,NCBI:txid9606,,,H19.30.001,,,,transcriptomics,10x Chromium 3' v3 sequencing,MEC,cell nucleus,8059,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X265-6,specimen,human,NCBI:txid9606,,,H19.30.001,,,,transcriptomics,10x Chromium 3' v3 sequencing,MEC,cell nucleus,9227,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X269-1,specimen,human,NCBI:txid9606,,,H19.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,A44;A45,cell nucleus,7848,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X269-2,specimen,human,NCBI:txid9606,,,H19.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,A44;A45,cell nucleus,8394,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X269-3,specimen,human,NCBI:txid9606,,,H19.30.001,,,,transcriptomics,10x Chromium 3' v3 sequencing,A46,cell nucleus,5050,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X269-4,specimen,human,NCBI:txid9606,,,H19.30.001,,,,transcriptomics,10x Chromium 3' v3 sequencing,A46,cell nucleus,9005,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X269-5,specimen,human,NCBI:txid9606,,,H19.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,A46,cell nucleus,6197,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
10X269-6,specimen,human,NCBI:txid9606,,,H19.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,A46,cell nucleus,6803,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2020Q3
