Sample ID,Sample Specimen Type (CV),Species (CV),Species NCBI Taxonomy ID,Parent Specimen ID,Parent Specimen Type (CV),Subject ID,Age ,Sex (CV),Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Data Collection (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Files per Sample
10X120-3,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,STG,cell nucleus,1743,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q1,2
10X120-4,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,STG,cell nucleus,7078,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q1,4
10X128-1,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,MTG,cell nucleus,3115,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q1,2
10X128-2,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,MTG,cell nucleus,3384,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q1,2
10X131-1,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,A35;A36,cell nucleus,6984,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q1,4
10X131-2,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,A35;A36,cell nucleus,5765,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q1,6
10X131-3,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,ITG,cell nucleus,3276,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q1,6
10X131-4,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,ITG,cell nucleus,3139,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q1,6
10X131-5,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,LEC,cell nucleus,9081,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q1,4
10X131-6,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,LEC,cell nucleus,8281,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q1,4
10X131-7,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,A1C,cell nucleus,6035,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q1,4
10X131-8,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,A1C,cell nucleus,5823,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q1,4
10X133-1,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,A23,cell nucleus,7273,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q1,4
10X133-2,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,A23,cell nucleus,7064,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q1,6
10X133-3,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,A40,cell nucleus,5779,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q1,6
10X133-4,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,A40,cell nucleus,6626,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q1,6
10X133-5,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,TF,cell nucleus,7478,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q1,6
10X133-6,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,TF,cell nucleus,8765,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q1,6
10X133-7,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,A29;A30,cell nucleus,3701,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q1,4
10X133-8,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,A29;A30,cell nucleus,4631,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q1,4
10X134-1,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,S1C,cell nucleus,7901,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q3,4
10X134-2,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,S1C,cell nucleus,7190,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q3,6
10X134-5,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,M1C,cell nucleus,7645,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q3,4
10X134-6,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,M1C,cell nucleus,8124,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q3,4
10X135-1,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,Idg,cell nucleus,9369,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q3,4
10X135-2,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,Idg,cell nucleus,8601,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q3,4
10X135-3,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,A43,cell nucleus,7954,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q3,4
10X135-4,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v2 sequencing,A43,cell nucleus,8961,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv2,NEMO,,,2019Q3,4
10X145;1,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,CaB,cell nucleus,7565,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2019Q3,11
10X145;2,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,CaB,cell nucleus,7560,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2019Q3,9
10X145;3,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,Pu,cell nucleus,6867,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2019Q3,9
10X145;4,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,Pu,cell nucleus,6729,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2019Q3,9
10X145;5,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,NAC,cell nucleus,5985,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2019Q3,9
10X145;6,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,NAC,cell nucleus,6122,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2019Q3,9
10X145;7,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,GPe,cell nucleus,7066,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2019Q3,9
10X145;8,specimen,human,NCBI:txid9606,,,H18.30.002,,,,transcriptomics,10x Chromium 3' v3 sequencing,GPe,cell nucleus,7029,Allen Institute for Brain Science,Ed Lein,1U01MH114812-01,lein_sn_10xv3,NEMO,,,2019Q3,9
