Filename,Filetype,Sample ID,Project,Data Collection,R24 ID,File URI,Checksum
10X135-1_S15_L001.fastq.tar,fastq,10X135-1,lein_sn_10x,lein_sn_10xv2,nemo:seq-dqm5834,https://assets.nemoarchive.org/seq-dqm5834,1338c765caea7cb087b109430503e350
10X135-1_S15_L002.fastq.tar,fastq,10X135-1,lein_sn_10x,lein_sn_10xv2,nemo:seq-6vv1hy2,https://assets.nemoarchive.org/seq-6vv1hy2,ef0e5fb61d872b02e05e513c67d98605
10X135-1_S2_L002.fastq.tar,fastq,10X135-1,lein_sn_10x,lein_sn_10xv2,nemo:seq-w1cyn5k,https://assets.nemoarchive.org/seq-w1cyn5k,467a75ed770a598734c8fb913bec4ba0
10X135-1_S2_L001.fastq.tar,fastq,10X135-1,lein_sn_10x,lein_sn_10xv2,nemo:seq-aqpn21v,https://assets.nemoarchive.org/seq-aqpn21v,36d2c6293f5062b31dd48112f3cc74f0
10X131-6_S3_L002.fastq.tar,fastq,10X131-6,lein_sn_10x,lein_sn_10xv2,nemo:seq-dd4whzg,https://assets.nemoarchive.org/seq-dd4whzg,
10X131-6_S3_L001.fastq.tar,fastq,10X131-6,lein_sn_10x,lein_sn_10xv2,nemo:seq-yico8t6,https://assets.nemoarchive.org/seq-yico8t6,
10X131-6_S41_L002.fastq.tar,fastq,10X131-6,lein_sn_10x,lein_sn_10xv2,nemo:seq-svga69r,https://assets.nemoarchive.org/seq-svga69r,
10X131-6_S41_L001.fastq.tar,fastq,10X131-6,lein_sn_10x,lein_sn_10xv2,nemo:seq-2hpyb4p,https://assets.nemoarchive.org/seq-2hpyb4p,
10X133-3_S5_L003.fastq.tar,fastq,10X133-3,lein_sn_10x,lein_sn_10xv2,nemo:seq-y261jpe,https://assets.nemoarchive.org/seq-y261jpe,
10X133-3_S5_L001.fastq.tar,fastq,10X133-3,lein_sn_10x,lein_sn_10xv2,nemo:seq-27cy3qe,https://assets.nemoarchive.org/seq-27cy3qe,
