Sample ID,Sample Specimen Type (CV),Species (CV),Species NCBI Taxonomy ID,Parent Specimen ID,Parent Specimen Type (CV),Subject ID,Age ,Sex (CV),Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Data Collection (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Files per Sample
CALTECH_20180410,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,whole cell,6306,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,,2019Q3,3
CALTECH_20180420,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,whole cell,5174,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,,2019Q3,1
CALTECH_20180422,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,whole cell,7500,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,,2019Q3,1
CALTECH_20180428,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,whole cell,9994,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,,2019Q3,1
CALTECH_20180429,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,whole cell,7910,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,,2019Q3,1
CALTECH_20180519,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,whole cell,8342,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,,2019Q3,1
CALTECH_20180520,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,whole cell,7318,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,,2019Q3,1
CALTECH_20180527,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,whole cell,6221,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,,2019Q3,1
CALTECH_20180630,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,whole cell,9681,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,,2019Q3,1
CALTECH_20180701,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,whole cell,7089,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,,2019Q3,1
CALTECH_20180703,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,whole cell,6198,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,,2019Q3,1
CALTECH_20180707,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,whole cell,6767,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,,2019Q3,1
CALTECH_20180715,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,whole cell,5496,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,,2019Q3,1
CALTECH_20180728,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,whole cell,6642,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,,2019Q3,1
CALTECH_20180802,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,whole cell,4688,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,,2019Q3,1
CALTECH_20180803,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,whole cell,8569,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,,2019Q3,1
CALTECH_20180812_1,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,whole cell,7952,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,,2019Q3,1
CALTECH_20180812_2,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,whole cell,6414,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,,2019Q3,1
CALTECH_20180812_3,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,whole cell,2727,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,,2019Q3,1
CALTECH_20190323,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,transcriptomics,10x Chromium 3' v2 sequencing,VMH,whole cell,3100,California Institute of Technology,David J Anderson,1U19MH114830-01,zeng_anderson_sc_10xv2,NEMO,,,2019Q3,1
