Filename,Filetype,Sample ID,Project,Data Collection,R24 ID,File URI,Checksum
CALTECH_20180728.mex.tar.gz,mex,CALTECH_20180728,zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,nemo:der-8edznpd,https://assets.nemoarchive.org/der-8edznpd,
mm10.mex.tar.gz,mex,CALTECH_20180410,zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,nemo:der-7pcmxfv,https://assets.nemoarchive.org/der-7pcmxfv,
2018_0410.mex.tar.gz,mex,CALTECH_20180410,zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,nemo:der-8wfawjx,https://assets.nemoarchive.org/der-8wfawjx,
CALTECH_20180410.mex.tar.gz,mex,CALTECH_20180410,zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,nemo:der-oarp3p2,https://assets.nemoarchive.org/der-oarp3p2,
CALTECH_20190325.mex.tar.gz,mex,CALTECH_20190325,zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,nemo:der-1xpg4ix,https://assets.nemoarchive.org/der-1xpg4ix,
CALTECH_20180428.mex.tar.gz,mex,CALTECH_20180428,zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,nemo:der-x8qzu6r,https://assets.nemoarchive.org/der-x8qzu6r,
CALTECH_20180422.mex.tar.gz,mex,CALTECH_20180422,zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,nemo:der-uwwkg5i,https://assets.nemoarchive.org/der-uwwkg5i,
CALTECH_20180527.mex.tar.gz,mex,CALTECH_20180527,zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,nemo:der-ej4or2c,https://assets.nemoarchive.org/der-ej4or2c,
CALTECH_20190331.mex.tar.gz,mex,CALTECH_20190331,zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,nemo:der-qcy4557,https://assets.nemoarchive.org/der-qcy4557,
CALTECH_20180703.mex.tar.gz,mex,CALTECH_20180703,zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,nemo:der-faz0hrd,https://assets.nemoarchive.org/der-faz0hrd,
CALTECH_20180812_2.mex.tar.gz,mex,CALTECH_20180812_2,zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,nemo:der-0mzguub,https://assets.nemoarchive.org/der-0mzguub,
CALTECH_20180520.mex.tar.gz,mex,CALTECH_20180520,zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,nemo:der-zm8u4u3,https://assets.nemoarchive.org/der-zm8u4u3,
CALTECH_20180812_1.mex.tar.gz,mex,CALTECH_20180812_1,zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,nemo:der-h9o7ic2,https://assets.nemoarchive.org/der-h9o7ic2,
CALTECH_20190323.mex.tar.gz,mex,CALTECH_20190323,zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,nemo:der-x721thd,https://assets.nemoarchive.org/der-x721thd,
CALTECH_20190324.mex.tar.gz,mex,CALTECH_20190324,zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,nemo:der-ou2pa5k,https://assets.nemoarchive.org/der-ou2pa5k,
CALTECH_20180803.mex.tar.gz,mex,CALTECH_20180803,zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,nemo:der-i484xet,https://assets.nemoarchive.org/der-i484xet,
CALTECH_20180707.mex.tar.gz,mex,CALTECH_20180707,zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,nemo:der-yy7gy4o,https://assets.nemoarchive.org/der-yy7gy4o,
CALTECH_20190414.mex.tar.gz,mex,CALTECH_20190414,zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,nemo:der-zrkpah0,https://assets.nemoarchive.org/der-zrkpah0,
CALTECH_20180812_3.mex.tar.gz,mex,CALTECH_20180812_3,zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,nemo:der-y3tpm07,https://assets.nemoarchive.org/der-y3tpm07,
CALTECH_20180715.mex.tar.gz,mex,CALTECH_20180715,zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,nemo:der-8m0zi40,https://assets.nemoarchive.org/der-8m0zi40,
CALTECH_20190330.mex.tar.gz,mex,CALTECH_20190330,zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,nemo:der-fqe7opa,https://assets.nemoarchive.org/der-fqe7opa,
