Filename,Filetype,Sample ID,Project,Data Collection,R24 ID,File URI,Checksum
20191001_sample_1_S1.fastq.tar,fastq,20191001_sample_1,zeng_tolias_pseq_proj,zeng_tolias_pseq_t,nemo:seq-43ik8jw,https://assets.nemoarchive.org/seq-43ik8jw,01b896e96f5350ca8cfcf9e4cd57da33
20190501_sample_12_S25.fastq.tar,fastq,20190501_sample_12,zeng_tolias_pseq_proj,zeng_tolias_pseq_t,nemo:seq-oe27s17,https://assets.nemoarchive.org/seq-oe27s17,cafc841b1aa9ed04e31071fe989adab1
20190506_sample_3_S37.fastq.tar,fastq,20190506_sample_3,zeng_tolias_pseq_proj,zeng_tolias_pseq_t,nemo:seq-f8bdpmo,https://assets.nemoarchive.org/seq-f8bdpmo,c752a85da52e396a50f86c77d3b1a435
20180417_sample_7_S165.fastq.tar,fastq,20180417_sample_7,zeng_tolias_pseq_proj,zeng_tolias_pseq_t,nemo:seq-70qa43z,https://assets.nemoarchive.org/seq-70qa43z,fda9df066e046302a4843178ae215960
20181205_sample_2_S118.fastq.tar,fastq,20181205_sample_2,zeng_tolias_pseq_proj,zeng_tolias_pseq_t,nemo:seq-tska74o,https://assets.nemoarchive.org/seq-tska74o,799ac71cd359e90f3e0a8baf832c89dd
20180905_sample_1_S100.fastq.tar,fastq,20180905_sample_1,zeng_tolias_pseq_proj,zeng_tolias_pseq_t,nemo:seq-jwg9cxd,https://assets.nemoarchive.org/seq-jwg9cxd,2898801e84c437150ae557ca8f7a1ce2
20180502_sample_2_S9.fastq.tar,fastq,20180502_sample_2,zeng_tolias_pseq_proj,zeng_tolias_pseq_t,nemo:seq-ke6iy5i,https://assets.nemoarchive.org/seq-ke6iy5i,c5e4cc05e5e904308f6736fb326f8f56
20180228_sample_3_S113.fastq.tar,fastq,20180228_sample_3,zeng_tolias_pseq_proj,zeng_tolias_pseq_t,nemo:seq-sr7xn2r,https://assets.nemoarchive.org/seq-sr7xn2r,e02bb0cdff572b26cd3e08187b85d38a
20191001_sample_4_S7.fastq.tar,fastq,20191001_sample_4,zeng_tolias_pseq_proj,zeng_tolias_pseq_t,nemo:seq-jamgrse,https://assets.nemoarchive.org/seq-jamgrse,3bdc5aeab839fe5366064939960ba2d8
20180703_sample_3_S69.fastq.tar,fastq,20180703_sample_3,zeng_tolias_pseq_proj,zeng_tolias_pseq_t,nemo:seq-96m2bd8,https://assets.nemoarchive.org/seq-96m2bd8,fbc55b7a07afcb2637c69779854128e6
20190322_sample_3_S35.fastq.tar,fastq,20190322_sample_3,zeng_tolias_pseq_proj,zeng_tolias_pseq_t,nemo:seq-yd3hzu4,https://assets.nemoarchive.org/seq-yd3hzu4,764651fee39a92d08a90b6e0935ab667
20190130_sample_3_S43.fastq.tar,fastq,20190130_sample_3,zeng_tolias_pseq_proj,zeng_tolias_pseq_t,nemo:seq-be1a9w1,https://assets.nemoarchive.org/seq-be1a9w1,4e6060cd7baa01a721a58576421412ae
20190709_sample_12_S69.fastq.tar,fastq,20190709_sample_12,zeng_tolias_pseq_proj,zeng_tolias_pseq_t,nemo:seq-er9a0km,https://assets.nemoarchive.org/seq-er9a0km,2cf7205e62c36937921f11e17eed0668
