Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),R24 Name (CV),R24 link,Metadata Submission,Data Collection (CV),Project (CV),Files per Sample
BICCN-H_20190730-SNARE2-AC,marmoset,NCBI:txid9483,marm028_Munchkin,wt/wt,multimodal,SNARE-seq2;ATAC-seq,M1C,nuclei,6577,University of California San Diego,Kun Zhang,1U01MH114828-01A1,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,2019Q4,zhangK_cj_snareseq_AC,zhangK_snareseq,12
BICCN-H_20190903-SNARE2-AC,marmoset,NCBI:txid9483,marm029_Pinsir,wt/wt,multimodal,SNARE-seq2;ATAC-seq,M1C,nuclei,4203,University of California San Diego,Kun Zhang,1U01MH114828-01A1,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,2019Q4,zhangK_cj_snareseq_AC,zhangK_snareseq,4
BICCN-H_20190730-SNARE2-R,marmoset,NCBI:txid9483,marm028_Munchkin,wt/wt,multimodal,SNARE-seq2;RNAseq,M1C,nuclei,7360,University of California San Diego,Kun Zhang,1U01MH114828-01A1,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,2019Q4,zhangK_cj_snareseq_R,zhangK_snareseq,85
BICCN-H_20190903-SNARE2-R,marmoset,NCBI:txid9483,marm029_Pinsir,wt/wt,multimodal,SNARE-seq2;RNAseq,M1C,nuclei,4872,University of California San Diego,Kun Zhang,1U01MH114828-01A1,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,2019Q4,zhangK_cj_snareseq_R,zhangK_snareseq,85
BICCN-H_20190523A-SNARE2-AC,human,NCBI:txid9606,H18.30.001,wt/wt,multimodal,SNARE-seq2;ATAC-seq,M1C,nuclei,14456,University of California San Diego,Kun Zhang,1U01MH114828-01A1,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,2019Q4,zhangK_hs_snareseq_AC,zhangK_snareseq,4
BICCN-H_20190523B-SNARE2-AC,human,NCBI:txid9606,H18.30.001,wt/wt,multimodal,SNARE-seq2;ATAC-seq,M1C,nuclei,12106,University of California San Diego,Kun Zhang,1U01MH114828-01A1,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,2019Q4,zhangK_hs_snareseq_AC,zhangK_snareseq,3
BICCN-H_20190523C-SNARE2-AC,human,NCBI:txid9606,H18.30.002,wt/wt,multimodal,SNARE-seq2;ATAC-seq,M1C,nuclei,16869,University of California San Diego,Kun Zhang,1U01MH114828-01A1,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,2019Q4,zhangK_hs_snareseq_AC,zhangK_snareseq,4
BICCN-H_20190523D-SNARE2-AC,human,NCBI:txid9606,H18.30.002,wt/wt,multimodal,SNARE-seq2;ATAC-seq,M1C,nuclei,30434,University of California San Diego,Kun Zhang,1U01MH114828-01A1,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,2019Q4,zhangK_hs_snareseq_AC,zhangK_snareseq,3
BICCN-H_20190611A-SNARE2-AC,human,NCBI:txid9606,H18.30.001,wt/wt,multimodal,SNARE-seq2;ATAC-seq,M1C,nuclei,27235,University of California San Diego,Kun Zhang,1U01MH114828-01A1,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,2019Q4,zhangK_hs_snareseq_AC,zhangK_snareseq,36
BICCN-H_20190611B-SNARE2-AC,human,NCBI:txid9606,H18.30.002,wt/wt,multimodal,SNARE-seq2;ATAC-seq,M1C,nuclei,58066,University of California San Diego,Kun Zhang,1U01MH114828-01A1,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,2019Q4,zhangK_hs_snareseq_AC,zhangK_snareseq,24
BICCN-H_20190523A-SNARE2-R,human,NCBI:txid9606,H18.30.001,wt/wt,multimodal,SNARE-seq2;RNAseq,M1C,nuclei,14589,University of California San Diego,Kun Zhang,1U01MH114828-01A1,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,2019Q4,zhangK_hs_snareseq_R,zhangK_snareseq,32
BICCN-H_20190523B-SNARE2-R,human,NCBI:txid9606,H18.30.001,wt/wt,multimodal,SNARE-seq2;RNAseq,M1C,nuclei,12253,University of California San Diego,Kun Zhang,1U01MH114828-01A1,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,2019Q4,zhangK_hs_snareseq_R,zhangK_snareseq,28
BICCN-H_20190523C-SNARE2-R,human,NCBI:txid9606,H18.30.002,wt/wt,multimodal,SNARE-seq2;RNAseq,M1C,nuclei,17056,University of California San Diego,Kun Zhang,1U01MH114828-01A1,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,2019Q4,zhangK_hs_snareseq_R,zhangK_snareseq,32
BICCN-H_20190523D-SNARE2-R,human,NCBI:txid9606,H18.30.002,wt/wt,multimodal,SNARE-seq2;RNAseq,M1C,nuclei,31644,University of California San Diego,Kun Zhang,1U01MH114828-01A1,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,2019Q4,zhangK_hs_snareseq_R,zhangK_snareseq,28
BICCN-H_20190611A-SNARE2-R,human,NCBI:txid9606,H18.30.001,wt/wt,multimodal,SNARE-seq2;RNAseq,M1C,nuclei,34839,University of California San Diego,Kun Zhang,1U01MH114828-01A1,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,2019Q4,zhangK_hs_snareseq_R,zhangK_snareseq,72
BICCN-H_20190611B-SNARE2-R,human,NCBI:txid9606,H18.30.002,wt/wt,multimodal,SNARE-seq2;RNAseq,M1C,nuclei,59843,University of California San Diego,Kun Zhang,1U01MH114828-01A1,NEMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,2019Q4,zhangK_hs_snareseq_R,zhangK_snareseq,81
