Filename,Filetype,Sample ID,Project,Data Collection,R24 ID,File URI,Checksum
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P5_N716_S11.cells.tsv,tsv,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:der-cmrf2qm,https://assets.nemoarchive.org/der-cmrf2qm,12767f9018ebfe2cc765f9183b723b55
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P5_N716_S11.out.filtered.v2.bam.tar,bam,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:aln-etv6a60,https://assets.nemoarchive.org/aln-etv6a60,3e64745d348498a08343892fa7410344
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P5_N716_S11.cells.tsv.tar,tsv,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:der-671m6g5,https://assets.nemoarchive.org/der-671m6g5,b0fc08217f17db964f82a455dcd611db
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P5_N716_S11.out.filtered.bam.tar,bam,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:aln-w34o0cr,https://assets.nemoarchive.org/aln-w34o0cr,c7f2c048761cc9cfec8370875b889ccf
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P1_N708_S7_R1.fastq.gz.tagged.6.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-84sp57k,https://assets.nemoarchive.org/seq-84sp57k,a3574df2312ea5b6acf1a5a8c737dda6
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P1_N708_S7_R1.fastq.gz.tagged.4.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-81mr9rz,https://assets.nemoarchive.org/seq-81mr9rz,1be2e6f9a1e82b2aa52049e1fa2c5886
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P1_N708_S7_R1.fastq.gz.tagged.1.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-ykg04r2,https://assets.nemoarchive.org/seq-ykg04r2,8342dd2e830a3d557c057c406aeabb51
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P1_N708_S7_R1.fastq.gz.tagged.7.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-6atubfs,https://assets.nemoarchive.org/seq-6atubfs,3922050a38bdee11f3c4f5d4bda22d7c
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P1_N708_S7_R1.fastq.gz.tagged.5.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-ebemn2y,https://assets.nemoarchive.org/seq-ebemn2y,173ba2c48b371aa29a9e52adbfe649a0
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P1_N708_S7_R1.fastq.gz.tagged.3.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-wp0jag3,https://assets.nemoarchive.org/seq-wp0jag3,456611eacadd7d45e07f692b09e8f2c2
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P1_N708_S7_R1.fastq.gz.tagged.2.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-8stjioa,https://assets.nemoarchive.org/seq-8stjioa,f05ce3ecf1d86c8e45e9ec6b5a027033
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P5_N716_S11.out.bam.tar,bam,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:aln-g5c84j8,https://assets.nemoarchive.org/aln-g5c84j8,57554d90cca194bfb672abbb304c1e6d
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P5_N716_S11.out.v2.bam.tar,bam,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:aln-i4b2ucb,https://assets.nemoarchive.org/aln-i4b2ucb,c31c0885d2d3df3860a8afe0e54b16c5
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P5_N716_S11_R1.fastq.gz.tagged.2.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-4ug7bcs,https://assets.nemoarchive.org/seq-4ug7bcs,5fec2860d1b06c74c6d416a09e8ec2ec
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P5_N716_S11_R1.fastq.gz.tagged.6.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-3f8w09u,https://assets.nemoarchive.org/seq-3f8w09u,4de7a5a60570e2eb02b58dbc2165da47
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P5_N716_S11_R1.fastq.gz.tagged.5.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-ds3fr0w,https://assets.nemoarchive.org/seq-ds3fr0w,ed27ab38f912d52839fe8f2c7c396628
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P5_N716_S11_R1.fastq.gz.tagged.7.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-nxu108x,https://assets.nemoarchive.org/seq-nxu108x,194ebdfc78916097496638ba70a5367e
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P5_N716_S11_R1.fastq.gz.tagged.1.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-8ygwsiw,https://assets.nemoarchive.org/seq-8ygwsiw,b7e487b263c87e41e02fea0e89500416
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P5_N716_S11_R1.fastq.gz.tagged.9.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-asr2g7w,https://assets.nemoarchive.org/seq-asr2g7w,c683f7633c03411ddb972f5d65f009bf
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P5_N716_S11_R1.fastq.gz.tagged.3.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-jdwivde,https://assets.nemoarchive.org/seq-jdwivde,a0182dc2697be523dba7cc6cff1c4444
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P5_N716_S11_R1.fastq.gz.tagged.4.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-un6ds8h,https://assets.nemoarchive.org/seq-un6ds8h,fef8d173ee7949d85f23a94ba20bfc71
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P5_N716_S11_R1.fastq.gz.tagged.8.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-9k7v62i,https://assets.nemoarchive.org/seq-9k7v62i,4a35efee98dc9aa55f2bc7761b3a6fb6
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P1_N708_S7.out.v2.bam.tar,bam,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:aln-jbd08qj,https://assets.nemoarchive.org/aln-jbd08qj,01cbea81756466d9675e61784859f3c3
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P1_N708_S7.out.bam.tar,bam,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:aln-pjkd1zz,https://assets.nemoarchive.org/aln-pjkd1zz,f4c39ed617ad35ba3d47b2f7c42f32f0
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P6_N717_S12_R1.fastq.gz.tagged.5.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-g4e4ecj,https://assets.nemoarchive.org/seq-g4e4ecj,3381622862c4b33d4f629b881539a9e2
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P6_N717_S12_R1.fastq.gz.tagged.7.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-24uvz8u,https://assets.nemoarchive.org/seq-24uvz8u,580a384dc8f7c16568778e425c73023b
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P6_N717_S12_R1.fastq.gz.tagged.4.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-dvctx3m,https://assets.nemoarchive.org/seq-dvctx3m,78132b8d2974c230ee549b98dc004f04
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P6_N717_S12_R1.fastq.gz.tagged.8.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-srst6m4,https://assets.nemoarchive.org/seq-srst6m4,97e9d0b7bb9d82b5baff8db6d76332fd
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P6_N717_S12_R1.fastq.gz.tagged.3.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-mcoa969,https://assets.nemoarchive.org/seq-mcoa969,c7177971d19e4c2e66652569efd318aa
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P6_N717_S12_R1.fastq.gz.tagged.2.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-k2guge8,https://assets.nemoarchive.org/seq-k2guge8,9c8f98b1c16aa15fa63a49f0b7774005
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P6_N717_S12_R1.fastq.gz.tagged.6.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-vnrdnf3,https://assets.nemoarchive.org/seq-vnrdnf3,876691e6c985d8a58bbac883fe5a9869
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P6_N717_S12_R1.fastq.gz.tagged.1.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-8no4fr3,https://assets.nemoarchive.org/seq-8no4fr3,11174323c15c02a5c981778d95c737b5
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P2_N709_S8_R1.fastq.gz.tagged.7.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-rxcyrty,https://assets.nemoarchive.org/seq-rxcyrty,7442e8bbaf2438ffe11e79ae4c348985
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P2_N709_S8_R1.fastq.gz.tagged.2.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-k5yzp16,https://assets.nemoarchive.org/seq-k5yzp16,80fd11304287dbcfb5f095553ed18586
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P2_N709_S8_R1.fastq.gz.tagged.5.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-7cmxn85,https://assets.nemoarchive.org/seq-7cmxn85,dc22f23a05ef3c02c7ec585c2278a96e
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P2_N709_S8_R1.fastq.gz.tagged.1.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-k6v3tt1,https://assets.nemoarchive.org/seq-k6v3tt1,61b7e57c82ca29f49314f3e4d0ca9720
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P2_N709_S8_R1.fastq.gz.tagged.3.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-nbmr650,https://assets.nemoarchive.org/seq-nbmr650,29802a6199caf6b7c996f5aaf918c185
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P2_N709_S8_R1.fastq.gz.tagged.4.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-srw5b5m,https://assets.nemoarchive.org/seq-srw5b5m,a52b043dedefd1c512cc6326ff6c8813
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P2_N709_S8_R1.fastq.gz.tagged.6.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-njbacvx,https://assets.nemoarchive.org/seq-njbacvx,31d127810c333d701e5f1abc766fc591
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P2_N709_S8_R1.fastq.gz.tagged.8.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-2ozfv3k,https://assets.nemoarchive.org/seq-2ozfv3k,d3675f6e21601159c2b1e2254a4c7d0a
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P4_N711_S10.out.bam.tar,bam,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:aln-dw5c6fc,https://assets.nemoarchive.org/aln-dw5c6fc,717c2e7e6f5ad36f96922fe45d7cbbcb
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P4_N711_S10.out.v2.bam.tar,bam,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:aln-2wubatu,https://assets.nemoarchive.org/aln-2wubatu,5015bfa55bb491ae543d43048660368a
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P1_N708_S7.cells.tsv.tar,tsv,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:der-yghntxi,https://assets.nemoarchive.org/der-yghntxi,d30b0247a18814183efaa0af9e0d2c58
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P1_N708_S7.out.filtered.bam.tar,bam,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:aln-i0p8n19,https://assets.nemoarchive.org/aln-i0p8n19,676f36a720c17995e450e7a71632d02f
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P1_N708_S7.out.filtered.v2.bam.tar,bam,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:aln-bkucdpj,https://assets.nemoarchive.org/aln-bkucdpj,72790231ded6334f936ce50dac326a6d
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P1_N708_S7.cells.tsv,tsv,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:der-i35g551,https://assets.nemoarchive.org/der-i35g551,35d99cf6ef5aedc1874757a9c8a4342d
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P6_N717_S12.out.v2.bam.tar,bam,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:aln-vv1zneb,https://assets.nemoarchive.org/aln-vv1zneb,d04b9e479e3bf52657ca7f9cb646f794
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P6_N717_S12.out.bam.tar,bam,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:aln-ooo3m5o,https://assets.nemoarchive.org/aln-ooo3m5o,808077b090303567dddf3e7510d74635
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P6_N717_S12.cells.tsv,tsv,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:der-muknsty,https://assets.nemoarchive.org/der-muknsty,5c87c529b870fa00c27ca5eed113afe4
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P6_N717_S12.out.filtered.v2.bam.tar,bam,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:aln-04g1s0w,https://assets.nemoarchive.org/aln-04g1s0w,e026d199b516bace6a079563ff3dee4d
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P6_N717_S12.out.filtered.bam.tar,bam,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:aln-bzcvgxr,https://assets.nemoarchive.org/aln-bzcvgxr,70b68e7d897912e7a81851c0ba1aadd3
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P6_N717_S12.cells.tsv.tar,tsv,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:der-aut0rdy,https://assets.nemoarchive.org/der-aut0rdy,759429a82442bdb6eac85e90621bfe13
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P4_N711_S10_R1.fastq.gz.tagged.2.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-2kwo4us,https://assets.nemoarchive.org/seq-2kwo4us,2daa5e89696d95047aad80e43d3415bd
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P4_N711_S10_R1.fastq.gz.tagged.1.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-gy3w40p,https://assets.nemoarchive.org/seq-gy3w40p,121e4ecea0c8f0819198d7e08a8fba41
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P4_N711_S10_R1.fastq.gz.tagged.3.fastq.gz,fastq,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:seq-1skzh04,https://assets.nemoarchive.org/seq-1skzh04,4ecb4ee8845f5065e253910e9b5dc77b
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P3_N710_S9.cells.tsv.tar,tsv,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:der-jhmxg6z,https://assets.nemoarchive.org/der-jhmxg6z,187839aeaa9904526858cda317077c0f
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P3_N710_S9.cells.tsv,tsv,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:der-wagnzxu,https://assets.nemoarchive.org/der-wagnzxu,5ae323fdf37fce36dbd6164fc36e7734
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P3_N710_S9.out.filtered.v2.bam.tar,bam,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:aln-3uis8oq,https://assets.nemoarchive.org/aln-3uis8oq,48ad88dfb1173784d364ce7a57c66c30
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P3_N710_S9.out.filtered.bam.tar,bam,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:aln-btfu4n3,https://assets.nemoarchive.org/aln-btfu4n3,ee47a93e6adb93d810f44c5d9096c36a
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P2_N709_S8.out.filtered.bam.tar,bam,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:aln-r6jg1bn,https://assets.nemoarchive.org/aln-r6jg1bn,b2ff1ba6f4c770e760d0fda1c7608d97
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P2_N709_S8.cells.tsv.tar,tsv,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:der-6oyesyq,https://assets.nemoarchive.org/der-6oyesyq,81261a1d273a670ebfa7e0540a0c9b90
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P2_N709_S8.out.filtered.v2.bam.tar,bam,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:aln-7dqoh2h,https://assets.nemoarchive.org/aln-7dqoh2h,e8cbd424b1c5fb599593f567ffcda734
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P2_N709_S8.cells.tsv,tsv,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:der-eqhpen0,https://assets.nemoarchive.org/der-eqhpen0,b977d45f8b45af1042b43c2b15355d26
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P2_N709_S8.out.bam.tar,bam,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:aln-ha5oiux,https://assets.nemoarchive.org/aln-ha5oiux,6f66a9d2b93054a10eddb1213cfbef4a
BICCN-H_20190730.BICCN-H_20190730_SNARE2-R_P2_N709_S8.out.v2.bam.tar,bam,BICCN-H_20190730-SNARE2-R,zhangK_snareseq,zhangK_cj_snareseq_R,nemo:aln-eto9288,https://assets.nemoarchive.org/aln-eto9288,15ca73728ac90445724ef0aa2013ded2
