Sample ID,Organism Type (CV),Organism NCBI Taxonomy ID,Transgenic Line Information,Modality (CV),Method (CV),Technique (CV),Anatomical Structure (CV),Total Processed Cells,Organization (CV),Lab,Investigator,Grant Number (CV),R24 Name (CV),R24 Directory,Comments
SW170711-02A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U01-MH114829-01,BIL,./chongwei/SW170711-02A,
SW170711-03B,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,MOs-ul;VISC;MOp-ul;SSp-ul,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U01-MH114829-01,BIL,./chongwei/SW170711-03B,
SW170711-04A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,SSs-cv;SSp-ul;MOp-ul;MOs-ul,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U01-MH114829-01,BIL,./chongwei/SW170711-04A,
SW170711-05A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,SSp;SSs;MOp;MOs,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U01-MH114829-01,BIL,./chongwei/SW170711-05A,
SW170811-01A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U01-MH114829-01,BIL,./chongwei/SW170811-01A,
SW170811-02A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U01-MH114829-01,BIL,./chongwei/SW170811-02A,
SW170829-01A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,MOs-mi;MOs-ul;SSp-ul,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U19-MH114821-01,BIL,./chongwei/SW170829-01A,
SW170829-02A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,MOs-mi;MOp-ul;SSp-ul,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U19-MH114821-01,BIL,./chongwei/SW170829-02A,
SW170910-01A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,MOs-mi;MOp-ul;SSp-ul,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U19-MH114821-01,BIL,./chongwei/SW170910-01A,
SW170911-01A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,RE;AMd;MM;RSPv,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U01-MH114829-01,BIL,./chongwei/SW170911-01A,
SW170911-02A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,RE;AM;PVp;RSPd,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U01-MH114829-01,BIL,./chongwei/SW170911-02A,
SW170917-01A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,MOp-mo;MOp-ul,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U19-MH114821-01,BIL,./chongwei/SW170917-01A,
SW171101-01A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U19-MH114821-01,BIL,./chongwei/SW171101-01A,
SW171101-02A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,MOp,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U19-MH114821-01,BIL,./chongwei/SW171101-02A,
SW171102-01A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,MOp,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U19-MH114821-01,BIL,./chongwei/SW171102-01A,
SW171116-01A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,PO;VAL;VM,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U01-MH114829-01,BIL,./chongwei/SW171116-01A,
SW171116-02A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,CP;SSp;LH,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U01-MH114829-01,BIL,./chongwei/SW171116-02A,
SW171116-03A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U01-MH114829-01,BIL,./chongwei/SW171116-03A,
SW171116-04A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,SCm;RSPv;MRN;VAL,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U01-MH114829-01,BIL,./chongwei/SW171116-04A,
SW171117-01A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U01-MH114829-01,BIL,./chongwei/SW171117-01A,
SW171117-02A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,RSPd;PO;MOs;ORBl,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U01-MH114829-01,BIL,./chongwei/SW171117-02A,
SW171117-03A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,AONm;TTd;MOs;ACAd;AD;AMv;fx;RSPagl;RSPd,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U01-MH114829-01,BIL,./chongwei/SW171117-03A,
SW171117-04A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,RSPagl;LP;ACAd;MOs;ORBvl,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U01-MH114829-01,BIL,./chongwei/SW171117-04A,
SW171120-01A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U19-MH114831-01,BIL,./chongwei/SW171120-01A,
SW171120-02A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U19-MH114831-01,BIL,./chongwei/SW171120-02A,
SW171120-04A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U19-MH114831-01,BIL,./chongwei/SW171120-04A,
SW171120-05A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U19-MH114831-01,BIL,./chongwei/SW171120-05A,
SW171130-01A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,MOp-ul;MOp,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U19-MH114821-01,BIL,./chongwei/SW171130-01A,
SW171130-02A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,MOp,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U19-MH114821-01,BIL,./chongwei/SW171130-02A,
SW171205-01A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,RE;RT;AV;MM;tp,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U01-MH114829-01,BIL,./chongwei/SW171205-01A,
SW171205-02A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,RE;AM;RSPv,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U01-MH114829-01,BIL,./chongwei/SW171205-02A,
SW171219-01A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U19-MH114831-01,BIL,./chongwei/SW171219-01A,
SW171221-01A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,PF;VAL;VM;CP,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U01-MH114829-01,BIL,./chongwei/SW171221-01A,
SW171221-02A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,PF;VAL;VM;CP,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U01-MH114829-01,BIL,./chongwei/SW171221-02A,
SW171221-03A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U01-MH114829-01,BIL,./chongwei/SW171221-03A,
SW171221-04A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,CP;SSp-ul;SSp-bfd;SSs,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U01-MH114829-01,BIL,./chongwei/SW171221-04A,
