sample_id,sample_type,donor_id,legacy_id,Organism Type (CV),Organism NCBI Taxonomy ID,Transgenic Line Information,experiment_id,sample_id,modality,method,technique,modality.method.technique,Anatomical Structure (CV),Total Processed Cells,Organization (CV),organization,team_name,investigator,grant_number,data_archive,Public R24 directory,Public R24 file path,file_location,Desired ID,,BIL legacy.ID,legacy_id,legacy_modality,legacy_method,legacy_technique,Release,,,,,,,
SW171201-02A,whole brain,SW171201-02A,SW171201-02A,mouse,NCBI:txid10090,Strain_Name=C57Bl6,,SW171201-02A,connectivity,anterograde tracing,triple injection,connectivity.anterograde tracing.triple injection,MOp:MOs,,University of Southern California,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/37/b6/,,/bil/lz/ibowman/37b6b36dedaab6c3,,,,,Anatomy,High resolution microscopy and image registration,Anterograde tracing,Q4 2018,,,,,,,
SW180122-01A,whole brain,SW180122-01A,SW180122-01A,mouse,NCBI:txid10090,Strain_Name=C57Bl6,,SW180122-01A,connectivity,anterograde tracing,triple injection,connectivity.anterograde tracing.triple injection,MOp:MOs,,University of Southern California,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/37/b6/,,/bil/lz/ibowman/37b6b36dedaab6c3,,,,,Anatomy,High resolution microscopy and image registration,Anterograde tracing,Q4 2018,,,,,,,
SW170711-02A,whole brain,SW170711-02A,SW170711-02A,mouse,NCBI:txid10090,,biccn:experiments:1,SW170711-02A,connectivity,retrograde tracing,quadruple injection,connectivity.retrograde tracing.quadruple injection,,#N/A,,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/84/c1/,ftp://download.brainimagelibrary.org:8811/84/c1/84c11fe5e4550ca0/SW170711-02A,./chongwei/SW170711-02A,,,,SW170711-02A,Histology,Nissl,,Q3 2018,,,,,,,
SW170711-03B,whole brain,SW170711-03B,SW170711-03B,mouse,NCBI:txid10090,,biccn:experiments:2,SW170711-03B,connectivity,retrograde tracing,quadruple injection,connectivity.retrograde tracing.quadruple injection,,#N/A,,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/84/c1/,ftp://download.brainimagelibrary.org:8811/84/c1/84c11fe5e4550ca0/SW170711-03B,./chongwei/SW170711-03B,,,,SW170711-03B,Histology,Nissl,,Q3 2018,,,,,,,
SW170711-04A,whole brain,SW170711-04A,SW170711-04A,mouse,NCBI:txid10090,,biccn:experiments:3,SW170711-04A,connectivity,retrograde tracing,quadruple injection,connectivity.retrograde tracing.quadruple injection,,#N/A,,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/84/c1/,ftp://download.brainimagelibrary.org:8811/84/c1/84c11fe5e4550ca0/SW170711-04A,./chongwei/SW170711-04A,,,,SW170711-04A,Histology,Nissl,,Q3 2018,,,,,,,
SW170711-05A,whole brain,SW170711-05A,SW170711-05A,mouse,NCBI:txid10090,,biccn:experiments:4,SW170711-05A,connectivity,retrograde tracing,quadruple injection,connectivity.retrograde tracing.quadruple injection,,#N/A,,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/84/c1/,ftp://download.brainimagelibrary.org:8811/84/c1/84c11fe5e4550ca0/SW170711-05A,./chongwei/SW170711-05A,,,,SW170711-05A,Histology,Nissl,,Q3 2018,,,,,,,
SW170811-01A,whole brain,SW170811-01A,SW170811-01A,mouse,NCBI:txid10090,,biccn:experiments:5,SW170811-01A,connectivity,retrograde tracing,quadruple injection,connectivity.retrograde tracing.quadruple injection,,#N/A,,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/84/c1/,ftp://download.brainimagelibrary.org:8811/84/c1/84c11fe5e4550ca0/SW170811-01A,./chongwei/SW170811-01A,,,,SW170811-01A,Histology,Nissl,,Q3 2018,,,,,,,
SW170811-02A,whole brain,SW170811-02A,SW170811-02A,mouse,NCBI:txid10090,,biccn:experiments:6,SW170811-02A,connectivity,retrograde tracing,quadruple injection,connectivity.retrograde tracing.quadruple injection,,#N/A,,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/84/c1/,ftp://download.brainimagelibrary.org:8811/84/c1/84c11fe5e4550ca0/SW170811-02A,./chongwei/SW170811-02A,,,,SW170811-02A,Histology,Nissl,,Q3 2018,,,,,,,
SW170911-01A,whole brain,SW170911-01A,SW170911-01A,mouse,NCBI:txid10090,,biccn:experiments:10,SW170911-01A,connectivity,retrograde tracing,quadruple injection,connectivity.retrograde tracing.quadruple injection,,#N/A,,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/84/c1/,ftp://download.brainimagelibrary.org:8811/84/c1/84c11fe5e4550ca0/SW170911-01A,./chongwei/SW170911-01A,,,,SW170911-01A,Histology,Nissl,,Q3 2018,,,,,,,
SW170911-02A,whole brain,SW170911-02A,SW170911-02A,mouse,NCBI:txid10090,,biccn:experiments:11,SW170911-02A,connectivity,retrograde tracing,quadruple injection,connectivity.retrograde tracing.quadruple injection,,#N/A,,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/84/c1/,ftp://download.brainimagelibrary.org:8811/84/c1/84c11fe5e4550ca0/SW170911-02A,./chongwei/SW170911-02A,,,,SW170911-02A,Histology,Nissl,,Q3 2018,,,,,,,
