Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes
CEMBA171218-1_Pm3C,mouse,NCBI:txid10090,CEMBA171104_P1;CEMBA171104_P2,,epigenomics,mC-seq;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA171218-1_Tf3C,mouse,NCBI:txid10090,CEMBA171027_T3;CEMBA171027_T4,,epigenomics,mC-seq;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA171218-1_Tm3C,mouse,NCBI:txid10090,CEMBA171027_T1;CEMBA171028_T2,,epigenomics,mC-seq;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA171219-1_Pf3C,mouse,NCBI:txid10090,CEMBA171104_P3;CEMBA171104_P4,,epigenomics,mC-seq;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA171220-1_Tm4B,mouse,NCBI:txid10090,CEMBA171027_T1;CEMBA171028_T2,,epigenomics,mC-seq;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180102-1_Pf4B,mouse,NCBI:txid10090,CEMBA171104_P3;CEMBA171104_P4,,epigenomics,mC-seq;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180102-1_Pm4B,mouse,NCBI:txid10090,CEMBA171104_P1;CEMBA171104_P2,,epigenomics,mC-seq;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180102-1_Tf4B,mouse,NCBI:txid10090,CEMBA171027_T3;CEMBA171027_T4,,epigenomics,mC-seq;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180105-1_Tf6B,mouse,NCBI:txid10090,CEMBA171027_T3;CEMBA171027_T4,,epigenomics,mC-seq;retrograde tracing,SSp,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180105-1_Tf7B,mouse,NCBI:txid10090,CEMBA171027_T3;CEMBA171027_T4,,epigenomics,mC-seq;retrograde tracing,SSp,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180105-1_Tm6B,mouse,NCBI:txid10090,CEMBA171027_T1;CEMBA171028_T2,,epigenomics,mC-seq;retrograde tracing,SSp,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180105-1_Tm7B,mouse,NCBI:txid10090,CEMBA171027_T1;CEMBA171028_T2,,epigenomics,mC-seq;retrograde tracing,SSp,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180110-1_Pf6B,mouse,NCBI:txid10090,CEMBA171104_P3;CEMBA171104_P4,,epigenomics,mC-seq;retrograde tracing,SSp,nuclei,88,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180110-1_Pf7B,mouse,NCBI:txid10090,CEMBA171104_P3;CEMBA171104_P4,,epigenomics,mC-seq;retrograde tracing,SSp,nuclei,88,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180110-1_Pm6B,mouse,NCBI:txid10090,CEMBA171104_P1;CEMBA171104_P2,,epigenomics,mC-seq;retrograde tracing,SSp,nuclei,88,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180110-1_Pm7B,mouse,NCBI:txid10090,CEMBA171104_P1;CEMBA171104_P2,,epigenomics,mC-seq;retrograde tracing,SSp,nuclei,88,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
