Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,,,,,,,,,
SW170711-02A,mouse,NCBI:txid10090,SW170711-02A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2018Q3,Missing injection structures,,,,,,,,,
SW170711-03B,mouse,NCBI:txid10090,SW170711-03B,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2018Q3,Missing injection structures,,,,,,,,,
SW170711-04A,mouse,NCBI:txid10090,SW170711-04A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2018Q3,Missing injection structures,,,,,,,,,
SW170711-05A,mouse,NCBI:txid10090,SW170711-05A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2018Q3,Missing injection structures,,,,,,,,,
SW170811-01A,mouse,NCBI:txid10090,SW170811-01A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2018Q3,Missing injection structures,,,,,,,,,
SW170811-02A,mouse,NCBI:txid10090,SW170811-02A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2018Q3,Missing injection structures,,,,,,,,,
SW170911-01A,mouse,NCBI:txid10090,SW170911-01A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2018Q3,Missing injection structures,,,,,,,,,
SW170911-02A,mouse,NCBI:txid10090,SW170911-02A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2018Q3,Missing injection structures,,,,,,,,,
SW170928-03A,mouse,NCBI:txid10090,SW170928-03A,,connectivity,cre-dependent anterograde tracing,CA3:MM:fail,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/anterograde/triple/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
