Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),Data Collection (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
AIBS_470901203,mouse,NCBI:txid10090,,"Nr5a1-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_471354789,mouse,NCBI:txid10090,,"Ntsr1-Cre_GN220,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_475321641,mouse,NCBI:txid10090,,"Chrna2-Cre_OE25,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_475321972,mouse,NCBI:txid10090,,"Ctgf-T2A-dgCre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_475322378,mouse,NCBI:txid10090,,"Cux2-CreERT2,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_475322569,mouse,NCBI:txid10090,,"Dbh-Cre_KH212,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_475322682,mouse,NCBI:txid10090,,"Rbp4-Cre_KL100,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_475322721,mouse,NCBI:txid10090,,"Scnn1a-Tg3-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_475322858,mouse,NCBI:txid10090,,"Slc6a4-Cre_ET33,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_475322913,mouse,NCBI:txid10090,,"Tac1-IRES2-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_475322951,mouse,NCBI:txid10090,,"Tlx3-Cre_PL56,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_475323012,mouse,NCBI:txid10090,,"Nos1-CreERT2,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_475323139,mouse,NCBI:txid10090,,"Tac2-IRES2-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_475892570,mouse,NCBI:txid10090,,"Chat-IRES-Cre-neo,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
