Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),R24 Name (CV),R24 link,Metadata Submission,Data Collection (CV),Project (CV)
AIBS_470901203,mouse,NCBI:txid10090,,"Nr5a1-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_471354789,mouse,NCBI:txid10090,,"Ntsr1-Cre_GN220,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_475321641,mouse,NCBI:txid10090,,"Chrna2-Cre_OE25,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_475321972,mouse,NCBI:txid10090,,"Ctgf-T2A-dgCre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_475322378,mouse,NCBI:txid10090,,"Cux2-CreERT2,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_475322569,mouse,NCBI:txid10090,,"Dbh-Cre_KH212,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_475322682,mouse,NCBI:txid10090,,"Rbp4-Cre_KL100,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_475322721,mouse,NCBI:txid10090,,"Scnn1a-Tg3-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_475322858,mouse,NCBI:txid10090,,"Slc6a4-Cre_ET33,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_475322913,mouse,NCBI:txid10090,,"Tac1-IRES2-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_475322951,mouse,NCBI:txid10090,,"Tlx3-Cre_PL56,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_475323012,mouse,NCBI:txid10090,,"Nos1-CreERT2,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_475323139,mouse,NCBI:txid10090,,"Tac2-IRES2-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_475892570,mouse,NCBI:txid10090,,"Chat-IRES-Cre-neo,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_476045503,mouse,NCBI:txid10090,,"Trib2-F2A-CreERT2,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_476045516,mouse,NCBI:txid10090,,"Sst-IRES-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_476046078,mouse,NCBI:txid10090,,"Pvalb-IRES-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_480169088,mouse,NCBI:txid10090,,"Calb2-IRES-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_480643079,mouse,NCBI:txid10090,,"Slc6a5-Cre_KF109,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_484714116,mouse,NCBI:txid10090,,"Prkcd-GluCla-CFP-IRES-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_484714195,mouse,NCBI:txid10090,,"Crh-IRES-Cre_BL,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_484719694,mouse,NCBI:txid10090,,"Gal-Cre_KI87,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_484719915,mouse,NCBI:txid10090,,"Grp-Cre_KH288,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_484719924,mouse,NCBI:txid10090,,"Syt6-Cre_KI148,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_490091439,mouse,NCBI:txid10090,,"Glt25d2-Cre_NF107,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_490646990,mouse,NCBI:txid10090,,"Sim1-Cre_KJ18,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_491605040,mouse,NCBI:txid10090,,"Gpr26-Cre_KO250,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
