BCDC,BIL,DANDI,NeMO(BDBag),BossDB
Collection.accessControl,Dataset.Rights,Dandiset.access,BDBag.DataAccess,Collection.Public
Collection.bkpWebResource,,,,
Collection.citation,,Dandiset.citation,BDBag.FullDataSetCitation,
Collection.completionState,,,,
Collection.dataArchive,,Dandiset.repository,,
Collection.dateCreated,,Dandiset.dateCreated,,Collection.DateCreated
Collection.dateModified,,Dandiset.dateModified,,Collection.DateModified
Collection.description,Dataset.Abstract,Dandiset.description,BDBag.DataSetDescription,Collection.Description
Collection.doi,,Dandiset.doi,,Collection.DOI
Collection.externalId,,Dandiset.identifier,BDBag.NeMOIdentifier,Collection.ID
Collection.handle,,,BDBag.ExternalIdentifier,
Collection.license,Dataset.Rights,Dandiset.license,BDBag.DataLicense,Collection.License
Collection.modality,Dataset.generalModality+Other,,,Project.ImagingModalities
Collection.rrid,,,BDBag.DataCollectionRRID,
Collection.shortTitle,,,,
Collection.species,,,BDBag.StudyOrganism,Collection.Species
Collection.specimenCount,,,,
Collection.technique,Dataset.technique+Other,,BDBag.ProtocolType,
Collection.title,Dataset.Title,Dandiset.name,BDBag.DataSetTitle,Collection.Name
Collection.webResource,,Dandiset.url,BDBag.SourceDataURL,
License.handle,,,,
License.name,Dataset.rightsIdentifier,,,
License.shortTitle,Dataset.Rights,,,
License.title,Dataset.Rights,,,
License.webResource,Dataset.rightsURI,,,
Project.bkpWebResource,,,,
Project.collection,,Dandiset.wasGeneratedBy[inverse],,Project.Collections
Project.contact,,,BDBag.Contact+Information,
Project.contributor,,Dandiset.contributor/Project.wasAssociatedWith,BDBag.DataContributors+Roles,Project/Collection.Contributor
Project.creator,,Dandiset.contributor,BDBag.Organization/BDBag.Authors,Collection.Creator
Project.dataArchive,,,,
Project.dateCreated,,,,Project.DateCreated
Project.dateModified,,,,Project.DateModified
Project.description,,Project.description,,Project.Description
Project.doi,,,,Project.doi
Project.externalId,,Project.identifier,,Project.Name
Project.fundingSource,,,BDBag.GrantSupport,Project.Funding
Project.handle,,,,
Project.highlightedWebResource,,,,Project.Links
Project.informationWebResource,,,,
Project.modality,,,,Project.ImagingModalities/Specific
Project.protocol,Dataset.Methods,Dandiset.protocol,BDBag.ProtocolID,Experiment.Protocol
Project.publication,,,BDBag.StudyPublication,Project.Publications
Project.shortTitle,,,,Project.ShortTitle
Project.species,,,,Project.Species
Project.specimenType,,,,
Project.subprogram,,,,
Project.technique,,Project.technique,,
Project.title,,Project.title,,Project.Title
Subprogram.program,,,BDBag.ConsortiumOrProject,
,Dataset.Image,,,
,Dataset.socialMedia,,,
,Dataset.Subject,Dandiset.about,,
,Dataset.subjectScheme,,,
,Dataset.technicalInfo,,,
,,Dandiset.aknowledgement,,Project.Acknowledgements
,,Dandiset.assetsSummary,,
,,Dandiset.datePublished,BDBag.ReleaseDate,
,,Dandiset.ethicsApproval,,
,,Dandiset.keywords,BDBag.Keywords,Project.Keywords
,,Dandiset.manifestLocation,,
,,Dandiset.relatedResource,,
,,Dandiset.studyTarget,,
,,Dandiset.version,BDBag.Version,Collection.Version
,,Project.endDate,,
,,Project.startDate,,
,,,BDBag.AgeOfSubjects,
,,,BDBag.AgeOfSubjectsCategorical,
,,,BDBag.AlternateID,
,,,BDBag.CommunityStandardsUsed,
,,,BDBag.ConditionStudied,
,,,BDBag.Consortium/ProjectRRID,
,,,BDBag.DataPublication,
,,,BDBag.DataRepositoryRRID,
,,,BDBag.DataSetPartsDescription,
,,,BDBag.DataSetPartsIDs,
,,,BDBag.DataSetPartsRepositories,
,,,BDBag.FAIRsharingStandardID,
,,,BDBag.FileCount,
,,,BDBag.FileSize,
,,,BDBag.NumberOfSubjectStudied,
,,,BDBag.SexOfSubjects,
,,,,Collection.Acknowledgements
,,,,Collection.Experiments
,,,,Project.DataTypes
,,,,Project.ID
,,,,Project.ImageLocations
,,,,Project.License
,,,,Project.Public
,,,,Project.UniqueIdentifier
,,,,Project.Year
