Sample.ID,Species.CV,Species.NCBI.Taxonomy.ID,Donor.id,Genotype,Modality.CV,Technique.CV,Anatomical.Structure.CV,Subspecimen.Type.CV,Total.Processed.Subspecimens,Organization.CV,Investigator,Grant.Number.CV,Project.CV,R24.Name.CV,R24.link,Comments,Metadata.Submission,Wrangler.Notes
657859273,mouse,NCBI:txid10090,366676,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,transcriptomics,10x Chromium 3 v2 sequencing,VIS,Cells,83864,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_10xv2,NEMO,{http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/10X/},,2020Q4,
657860326,mouse,NCBI:txid10090,366678,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,transcriptomics,10x Chromium 3 v2 sequencing,VIS,Cells,78850,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_10xv2,NEMO,{http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/10X/},,2020Q4,
657879471,mouse,NCBI:txid10090,366292,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,transcriptomics,10x Chromium 3 v2 sequencing,VIS,Cells,53759,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_10xv2,NEMO,{http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/10X/},,2020Q4,
657879750,mouse,NCBI:txid10090,365619,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,transcriptomics,10x Chromium 3 v2 sequencing,VIS,Cells,51775,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_10xv2,NEMO,{http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/10X/},,2020Q4,
657880221,mouse,NCBI:txid10090,365616,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,transcriptomics,10x Chromium 3 v2 sequencing,VISp,Cells,11495,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_10xv2,NEMO,{http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/10X/},,2020Q4,
657880265,mouse,NCBI:txid10090,365616,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,transcriptomics,10x Chromium 3 v2 sequencing,VISm,Cells,3152,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_10xv2,NEMO,{http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/10X/},,2020Q4,
659157257,mouse,NCBI:txid10090,365617,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,transcriptomics,10x Chromium 3 v2 sequencing,VISp,Cells,16008,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_10xv2,NEMO,{http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/10X/},,2020Q4,
659157389,mouse,NCBI:txid10090,365617,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,transcriptomics,10x Chromium 3 v2 sequencing,VISl,Cells,7989,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_10xv2,NEMO,{http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/10X/},,2020Q4,
659157622,mouse,NCBI:txid10090,365617,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,transcriptomics,10x Chromium 3 v2 sequencing,VISm,Cells,4262,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_10xv2,NEMO,{http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/10X/},,2020Q4,
659520995,mouse,NCBI:txid10090,371230,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,transcriptomics,10x Chromium 3 v2 sequencing,ACA,Cells,20510,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_10xv2,NEMO,{http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/10X/},,2020Q4,
