Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes
476102372,mouse,NCBI:txid10090,185200,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,transcriptomics,SMART-seq v4,VISp_L4-L5-L6,Cells,23,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_SSv4,NEMO,{http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/},,2020Q4,
476103811,mouse,NCBI:txid10090,185199,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,transcriptomics,SMART-seq v4,VISp_L4-L5-L6,Cells,40,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_SSv4,NEMO,{http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/},,2020Q4,
476105316,mouse,NCBI:txid10090,184752,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,transcriptomics,SMART-seq v4,VISp_L4-L5-L6,Cells,24,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_SSv4,NEMO,{http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/},,2020Q4,
476127631,mouse,NCBI:txid10090,184750,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,transcriptomics,SMART-seq v4,VISp_L4-L5-L6,Cells,40,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_SSv4,NEMO,{http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/},,2020Q4,
476128264,mouse,NCBI:txid10090,184756,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,transcriptomics,SMART-seq v4,VISp_L4-L5-L6,Cells,16,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_SSv4,NEMO,{http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/},,2020Q4,
486509295,mouse,NCBI:txid10090,204789,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,transcriptomics,SMART-seq v4,LGN_Core,Cells,8,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_SSv4,NEMO,{http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/},,2020Q4,
486509624,mouse,NCBI:txid10090,204789,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,transcriptomics,SMART-seq v4,LGN_Core,Cells,16,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_SSv4,NEMO,{http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/},,2020Q4,
486749760,mouse,NCBI:txid10090,204790,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,transcriptomics,SMART-seq v4,LGN_Core,Cells,8,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_SSv4,NEMO,{http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/},,2020Q4,
486793813,mouse,NCBI:txid10090,202521,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,transcriptomics,SMART-seq v4,LGN_Core,Cells,16,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_SSv4,NEMO,{http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/},,2020Q4,
486794521,mouse,NCBI:txid10090,202521,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,transcriptomics,SMART-seq v4,LGN_Core,Cells,16,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_SSv4,NEMO,{http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/},,2020Q4,
487102671,mouse,NCBI:txid10090,204790,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,transcriptomics,SMART-seq v4,LGN_Core,Cells,13,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_sc_SSv4,NEMO,{http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/},,2020Q4,
