Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,,,,,,,
D2M309-1,mouse,NCBI:txid10090,D2M309-1 (male; P56; C57BL/6),D2-Cre/MORF3,cell morphology,MORF genetic sparse labeling,STR,brains,1,University of California Los Angeles,William Yang,1U01MH117079-01,yang_morf_confocal,BIL,ftp://download.brainimagelibrary.org:8811/e2/cd/e2cd40a786686840/D2M309-1_Lvl1_Stitched/,includes Lvl1 (stitched images) at 10x (for registration) and 30x (for reconstruction); 30k-36k D2-MSNs imaged,2019Q1,,,,,,,,
D2M312-1,mouse,NCBI:txid10090,D2M312-1 (male; P56; C57BL/6),D2-Cre/MORF3,cell morphology,MORF genetic sparse labeling,STR,brains,1,University of California Los Angeles,William Yang,1U01MH117079-01,yang_morf_confocal,BIL,ftp://download.brainimagelibrary.org:8811/ae/e5/aee5f45f9a3d7cba/D2M312-1_Lvl1_Stitched/,includes Lvl1 (stitched images) at 10x (for registration) and 30x (for reconstruction); 30k-36k D2-MSNs imaged,2019Q2,,,,,,,,
D2M312-2,mouse,NCBI:txid10090,D2M312-2 (male; P56; C57BL/6),D2-Cre/MORF3,cell morphology,MORF genetic sparse labeling,STR,brains,1,University of California Los Angeles,William Yang,1U01MH117079-01,yang_morf_confocal,BIL,,includes Lvl1 (stitched images) at 10x (for registration) and 30x (for reconstruction),2019Q3,,,,,,,,
D2M313-2,mouse,NCBI:txid10090,D2M313-2 (female; P56; C57BL/6),D2-Cre/MORF3,cell morphology,MORF genetic sparse labeling,STR,brains,1,University of California Los Angeles,William Yang,1U01MH117079-01,yang_morf_confocal,BIL,,includes Lvl1 (stitched images) at 10x (for registration) and 30x (for reconstruction),2019Q3,,,,,,,,
D2M314-1,mouse,NCBI:txid10090,D2M314-1 (female; P56; C57BL/6),D2-Cre/MORF3,cell morphology,MORF genetic sparse labeling,STR,brains,1,University of California Los Angeles,William Yang,1U01MH117079-01,yang_morf_confocal,BIL,,includes Lvl1 (stitched images) at 10x (for registration) and 30x (for reconstruction),2019Q3,,,,,,,,
MD01-1,mouse,NCBI:txid10090,MD01-1 (male; P56; C57BL/6),D2-Cre/MORF3,cell morphology,MORF genetic sparse labeling,STR,brains,1,University of California Los Angeles,William Yang,1U01MH117079-01,yang_morf_confocal,BIL,,includes Lvl1 (stitched images) at 10x (for registration) and 30x (for reconstruction),2019Q4,,,,,,,,
MD03-1,mouse,NCBI:txid10090,MD03-1 (female; P56; C57BL/6),D2-Cre/MORF3,cell morphology,MORF genetic sparse labeling,STR,brains,1,University of California Los Angeles,William Yang,1U01MH117079-01,yang_morf_confocal,BIL,,includes Lvl1 (stitched images) at 10x (for registration) and 30x (for reconstruction),2019Q4,,,,,,,,
D2M314-2,mouse,NCBI:txid10090,D2M314-2 (male; P56; C57BL/6),D2-Cre/MORF3,cell morphology,MORF genetic sparse labeling,STR,brains,1,University of California Los Angeles,William Yang,1U01MH117079-01,yang_morf_confocal,BIL,,includes Lvl1 (stitched images) at 10x (for registration) and 30x (for reconstruction),2020Q2,,,,,,,,
MD02-2,mouse,NCBI:txid10090,MD01-1 (female; P56; C57BL/6),D2-Cre/MORF3,cell morphology,MORF genetic sparse labeling,STR,brains,1,University of California Los Angeles,William Yang,1U01MH117079-01,yang_morf_confocal,BIL,,includes Lvl1 (stitched images) at 10x (for registration) and 30x (for reconstruction),2020Q2,,,,,,,,
MD04-1,mouse,NCBI:txid10090,MD04-1 (female; P56; C57BL/6),D2-Cre/MORF3,cell morphology,MORF genetic sparse labeling,STR,brains,1,University of California Los Angeles,William Yang,1U01MH117079-01,yang_morf_confocal,BIL,,includes Lvl1 (stitched images) at 10x (for registration) and 30x (for reconstruction),2020Q2,,,,,,,,
TME05-1,mouse,NCBI:txid10090,TME05-1 (male; P56; C57BL/6),Camk2a-CreERT2-Cre/MORF3/Drd1a-tdTomato,cell morphology,MORF genetic sparse labeling,STR,brains,1,University of California Los Angeles,William Yang,1U01MH117079-01,yang_morf_confocal,BIL,,includes Lvl1 (stitched images) and Lvl0 (raw image tiles) at 10x (for registration) and 30x (for reconstruction); 2000-4000 MSNs imaged,2020Q3,,,,,,,,
TME06-1,mouse,NCBI:txid10090,TME06-1 (female; P56; C57BL/6),Camk2a-CreERT2-Cre/MORF3/Drd1a-tdTomato,cell morphology,MORF genetic sparse labeling,STR,brains,1,University of California Los Angeles,William Yang,1U01MH117079-01,yang_morf_confocal,BIL,,includes Lvl1 (stitched images) and Lvl0 (raw image tiles) at 10x (for registration) and 30x (for reconstruction); 2000-4000 MSNs imaged,2020Q3,,,,,,,,
TME07-1,mouse,NCBI:txid10090,TME07-1 (male; P56; C57BL/6),Camk2a-CreERT2-Cre/MORF3/Drd1a-tdTomato,cell morphology,MORF genetic sparse labeling,STR,brains,1,University of California Los Angeles,William Yang,1U01MH117079-01,yang_morf_confocal,BIL,,includes Lvl1 (stitched images) and Lvl0 (raw image tiles) at 10x (for registration) and 30x (for reconstruction); 2000-4000 MSNs imaged,2020Q4,,,,,,,,
TME08-1,mouse,NCBI:txid10090,TME08-1 (female; P56; C57BL/6),Camk2a-CreERT2-Cre/MORF3/Drd1a-tdTomato,cell morphology,MORF genetic sparse labeling,STR,brains,1,University of California Los Angeles,William Yang,1U01MH117079-01,yang_morf_confocal,BIL,,includes Lvl1 (stitched images) and Lvl0 (raw image tiles) at 10x (for registration) and 30x (for reconstruction); 2000-4000 MSNs imaged,2020Q4,,,,,,,,
MS05-2,mouse,NCBI:txid10090,MS05-2 (male; P56; C57BL/6),Etv1-CreERT2-Cre/MORF3,cell morphology,MORF genetic sparse labeling,CTX,brains,1,University of California Los Angeles,William Yang,1U01MH117079-01,yang_morf_confocal,BIL,,includes Lvl1 (stitched images) and Lvl0 (raw image tiles) at 10x (for registration) and 30x (for reconstruction); 2000-4000 L5-CPNs imaged,2020Q3,,,,,,,,
MS05-3,mouse,NCBI:txid10090,MS05-3 (male; P56; C57BL/6),Etv1-CreERT2-Cre/MORF3,cell morphology,MORF genetic sparse labeling,CTX,brains,1,University of California Los Angeles,William Yang,1U01MH117079-01,yang_morf_confocal,BIL,,includes Lvl1 (stitched images) and Lvl0 (raw image tiles) at 10x (for registration) and 30x (for reconstruction); 2000-4000 L5-CPNs imaged,2020Q3,,,,,,,,
TME05-1,mouse,NCBI:txid10090,TME05-1 (male; P56; C57BL/6),Camk2a-CreERT2-Cre/MORF3/Drd1a-tdTomato,cell morphology,MORF genetic sparse labeling,STR,reconstructions,238,University of California Los Angeles,William Yang,1U01MH117079-01,yang_morf_cells,BIL,,includes Lvl2 (.swc reconstructions and corresponding the tiff image stack of the indivudal reconstructed neurons) of 30x imaged MSNs ,2020Q4,change data collection,,,,,,,
