Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
SW170928-03A,mouse,NCBI:txid10090,SW170928-03A,wt/wt,connectivity,cre-dependent anterograde tracing,CA3:MM:fail,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,CA3:MM:fail
SW171031-04A,mouse,NCBI:txid10090,SW171031-04A,wt/wt,connectivity,cre-dependent anterograde tracing,fail:ENTm1:RSPv,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,fail:ENTm1:RSPv
SW171201-02A,mouse,NCBI:txid10090,SW171201-02A,wt/wt,connectivity,cre-dependent anterograde tracing,MOp:MOs,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2018Q4,Injection structure names not yet reconciled to ontology; format needs to be resolved,,MOp:MOs
SW180122-01A,mouse,NCBI:txid10090,SW180122-01A,wt/wt,connectivity,cre-dependent anterograde tracing,MOp:MOs,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2018Q4,Injection structure names not yet reconciled to ontology; format needs to be resolved,,MOp:MOs
SW180301-01A,mouse,NCBI:txid10090,SW180301-01A,wt/wt,connectivity,cre-dependent anterograde tracing,PF;PCN:SSp-ul:SSp-ul,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,PF/PCN:SSp-ul:SSp-ul
SW180413-01A,mouse,NCBI:txid10090,SW180413-01A,wt/wt,connectivity,cre-dependent anterograde tracing,BLA:MOs:CP,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,BLA:MOs:CP
SW180413-02A,mouse,NCBI:txid10090,SW180413-02A,wt/wt,connectivity,cre-dependent anterograde tracing,BLA:GU:CP,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,BLA:GU:CPc.vl
SW180628-03A,mouse,NCBI:txid10090,SW180628-03A,wt/wt,connectivity,cre-dependent anterograde tracing,MOp:VISC:fail,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,MOp:VISC:fail
SW180709-02A,mouse,NCBI:txid10090,SW180709-02A,wt/wt,connectivity,cre-dependent anterograde tracing,ILA:PL:ORBm,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,ILA:PL:ORBm
SW181029-01A,mouse,NCBI:txid10090,SW181029-01A,wt/wt,connectivity,cre-dependent anterograde tracing,SSp:GU:SNr,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,SSp:GU:SNr
