Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
SW190321-02A,mouse,NCBI:txid10090,SW190321-02A,wt/wt,connectivity,TRIO tracing,LHA:DP:DP,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q3,,,LHA:DP:DP
SW190321-05A,mouse,NCBI:txid10090,SW190321-05A,wt/wt,connectivity,TRIO tracing,fail:IAM:DP,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q3,,,fail:IAM:DP_2/3
SW190321-06A,mouse,NCBI:txid10090,SW190321-06A,wt/wt,connectivity,TRIO tracing,fail:VM;ZI:DP;TTd,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,fail:VM/ZI:DP/TTd
SW190801-01A,mouse,NCBI:txid10090,SW190801-01A,wt/wt,connectivity,TRIO tracing,LSr:PVT:PVT,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q3,,,LSr:PVT:PVT
SW190801-02A,mouse,NCBI:txid10090,SW190801-02A,wt/wt,connectivity,TRIO tracing,LSr:PT:PT,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,LSr:PT:PT
SW190801-03A,mouse,NCBI:txid10090,SW190801-03A,wt/wt,connectivity,TRIO tracing,ACAv:ILA:ILA,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,ACAv:ILA:ILA
SW190801-04A,mouse,NCBI:txid10090,SW190801-04A,wt/wt,connectivity,TRIO tracing,ACAv:DP:fail,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,ACAv:DP:fail
SW190808-02A,mouse,NCBI:txid10090,SW190808-02A,wt/wt,connectivity,TRIO tracing,BLAa:TEa:PER;ECT,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,BLAa:TEa:PER/ECT
SW190808-03A,mouse,NCBI:txid10090,SW190808-03A,wt/wt,connectivity,TRIO tracing,CP:BLAa:BLAa,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,C.P.cv:BLAa.am:BLAa.am
SW190808-04A,mouse,NCBI:txid10090,SW190808-04A,wt/wt,connectivity,TRIO tracing,CP:BLAa:BLAa,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,CPC.v:BLA.al:BLA.al
SW190808-05A,mouse,NCBI:txid10090,SW190808-05A,wt/wt,connectivity,TRIO tracing,CP:LA:LA,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q3,,,CPc:LA:LA
SW190808-06A,mouse,NCBI:txid10090,SW190808-06A,wt/wt,connectivity,TRIO tracing,CP:BLAa:BLAa,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,C.P.cv:BLAa.am:BLAa.am
SW190809-07A,mouse,NCBI:txid10090,SW190809-07A,wt/wt,connectivity,TRIO tracing,SIM:IO:IO,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,SIM:IO:IO
SW190809-08A,mouse,NCBI:txid10090,SW190809-08A,wt/wt,connectivity,TRIO tracing,fail:IO:SIM,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,fail:IO:SIM
SW190809-09A,mouse,NCBI:txid10090,SW190809-09A,wt/wt,connectivity,TRIO tracing,ANcr1:GRN:fail,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,ANcr1:GRN:fail
SW190813-01A,mouse,NCBI:txid10090,SW190813-01A,wt/wt,connectivity,TRIO tracing,IO:IO:CUL,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,IO:IO:CUL4/5
SW190813-03A,mouse,NCBI:txid10090,SW190813-03A,wt/wt,connectivity,TRIO tracing,CP::BLAa:BLAa,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,CPc:BLAam:BLAam
SW190813-04A,mouse,NCBI:txid10090,SW190813-04A,wt/wt,connectivity,TRIO tracing,CP:BLAa:BLAa,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,CPcam:BLAam:BLAam
SW190905-01A,mouse,NCBI:txid10090,SW190905-01A,wt/wt,connectivity,TRIO tracing,MOp:fail:BLAa,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,MOp:fail:BLA.am
SW190905-02A,mouse,NCBI:txid10090,SW190905-02A,wt/wt,connectivity,TRIO tracing,BLAa:EPd:EPd,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,BLA.al:EPd:EPd
SW190905-03A,mouse,NCBI:txid10090,SW190905-03A,wt/wt,connectivity,TRIO tracing,BLAa:PEd:CP,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,BLA.al:PEd:CPc.dl
SW190905-04A,mouse,NCBI:txid10090,SW190905-04A,wt/wt,connectivity,TRIO tracing,BLAa:BLAa:CPc.vl,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,BLA.am:BLA.am:CPc.vl
SW190905-05A,mouse,NCBI:txid10090,SW190905-05A,wt/wt,connectivity,TRIO tracing,PL:BLAa:BLAa,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,PL_II:BLA.am:BLA.am
SW190905-06A,mouse,NCBI:txid10090,SW190905-06A,wt/wt,connectivity,TRIO tracing,PL:BLAa:BLAa,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,PL_II:BLA.al:BLA.al
SW190910-02A,mouse,NCBI:txid10090,SW190910-02A,wt/wt,connectivity,TRIO tracing,MOs;fail;VMH,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2020Q1,,,
SW190910-03A,mouse,NCBI:txid10090,SW190910-03A,wt/wt,connectivity,TRIO tracing,DP:failed:TTd,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,DP:failed:TTd
SW190927-01A,mouse,NCBI:txid10090,SW190927-01A,wt/wt,connectivity,TRIO tracing,MOp:MOp:PF,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,MOp:MOp:PF
SW190927-02A,mouse,NCBI:txid10090,SW190927-02A,wt/wt,connectivity,TRIO tracing,MOp:MOp:VAL,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,MOp:MOp:VAL
SW191001-01A,mouse,NCBI:txid10090,SW191001-01A,wt/wt,connectivity,TRIO tracing,MOp:MOp:SSp,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,MOp:MOp:SSp_ll
SW191001-02A,mouse,NCBI:txid10090,SW191001-02A,wt/wt,connectivity,TRIO tracing,MOp:MOp:SSp-bfd,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q4,,,MOp:MOp:SSp-bfd
