Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
CB61_CBV_H1930002_ATAC_1,human,NCBI:txid9606,H19.30.002,,epigenomics,ATAC-seq,CBV,nuclei,4468,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,,2020Q2,Number was updated by Ecker grant in Q3,,
CX49_MTG_H1930001_ATAC_1,human,NCBI:txid9606,H19.30.001,,epigenomics,ATAC-seq,MTG,nuclei,5230,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,,2020Q2,Number was updated by Ecker grant in Q3,,
H1930001_CX46_A46_002_ATAC_1,human,NCBI:txid9606,H19.30.001,,epigenomics,ATAC-seq,A46,nuclei,9665,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,,2020Q3,,,
H1930002_CX46_A46_002_ATAC_2,human,NCBI:txid9606,H19.30.002,,epigenomics,ATAC-seq,A46,nuclei,10419,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,,2020Q3,,,
H1930001_CX50_M1C_002_ATAC_1,human,NCBI:txid9606,H19.30.001,,epigenomics,ATAC-seq,M1C,nuclei,7478,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,,2020Q3,,,
H1930002_CX50_M1C_002_ATAC_2,human,NCBI:txid9606,H19.30.002,,epigenomics,ATAC-seq,M1C,nuclei,9365,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,,2020Q3,,,
H1930001_CX46_F1_002_ATAC_1,human,NCBI:txid9606,H19.30.001,,epigenomics,ATAC-seq,F1,nuclei,10326,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,,2020Q3,,,
H1930002_CX46_F1_002_ATAC_2,human,NCBI:txid9606,H19.30.002,,epigenomics,ATAC-seq,F1,nuclei,8759,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,,2020Q3,,,
H1930001_CX56_V2_003_ATAC_1,human,NCBI:txid9606,H19.30.001,,epigenomics,ATAC-seq,V2,nuclei,9597,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,,2020Q3,,,
H1930002_CX56_V2_002_ATAC_2,human,NCBI:txid9606,H19.30.002,,epigenomics,ATAC-seq,V2,nuclei,9674,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,,2020Q3,,,
H1930001_CX44_ACC_003,human,NCBI:txid9606,H19.30.001,,epigenomics,ATAC-seq,ACC,nuclei,"8,012",University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,,2020Q4,,,
H1930001_CX56_V1C_003,human,NCBI:txid9606,H19.30.001,,epigenomics,ATAC-seq,V1C,nuclei,"5,345",University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,,2020Q4,,,
H1930002_CX58_V1C_003,human,NCBI:txid9606,H19.30.002,,epigenomics,ATAC-seq,V1C,nuclei,"4,033",University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,,2020Q4,,,
H1930002_CX45_ACC_001,human,NCBI:txid9606,H19.30.002,,epigenomics,ATAC-seq,ACC,nuclei,5506,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,,2020Q4,,,
