Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
CEMBA171206_3C,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,MOp,nuclei,10776,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,MOp
CEMBA171207_3C,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,MOp,nuclei,10482,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,MOp
CEMBA171212_4B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,MOp,nuclei,10209,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,MOp
CEMBA171213_4B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,MOp,nuclei,10905,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,MOp
CEMBA171214_4D,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,CP,nuclei,8602,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,CP
CEMBA171219_4D,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,CP,nuclei,9152,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,CP
CEMBA180104_4B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,MOp,nuclei,9032,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,MOp
CEMBA180105_3F,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,ACB;SI,nuclei,9107,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,ACB;SI
CEMBA180109_3F,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,ACB;SI,nuclei,9109,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,ACB;SI
CEMBA180110_4E,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,ACB;SI,nuclei,9195,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,ACB;SI
