Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
CEMBA171206_3C,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,MOp,nuclei,1202,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,MOp
CEMBA171207_3C,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,MOp,nuclei,1270,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,MOp
CEMBA171212_4B,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,MOp,nuclei,296,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,MOp
CEMBA171213_4B,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,MOp,nuclei,1261,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,MOp
CEMBA171214_4D,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,CP,nuclei,1106,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,CP
CEMBA171219_4D,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,CP,nuclei,1433,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,CP
CEMBA180104_4B,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,MOp,nuclei,1323,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,MOp
CEMBA180105_3F,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,ACB;SI,nuclei,628,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,ACB;SI
CEMBA180109_3F,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,ACB;SI,nuclei,1750,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,ACB;SI
CEMBA180109_v2_3F,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,ACB;SI,nuclei,691,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,This sample has additional cells from the same tissue as CEMBA180109_3F,,ACB;SI
CEMBA180110_4E,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,ACB;SI,nuclei,1224,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,ACB;SI
CEMBA180111_4E,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,ACB;SI,nuclei,540,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,ACB;SI
CEMBA180119_1B,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,ORB;FRP,nuclei,1435,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,ORB;FRP
CEMBA180122_2A,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,ACA;PL;IL,nuclei,1168,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,ACA;PL;IL
CEMBA180123_2A,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,ACA;PL;IL,nuclei,1397,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,ACA;PL;IL
CEMBA180129_3A,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,ACA;ILA;PL,nuclei,1384,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,ACA;ILA;PL
CEMBA180130_3A,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,ACA;ILA;PL,nuclei,1291,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,ACA;ILA;PL
CEMBA180205_4A,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,ACA,nuclei,1190,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,ACA
CEMBA180206_4A,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,ACA,nuclei,1302,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,ACA
CEMBA180208_1C,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,MOB;AOB;AON,nuclei,1383,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,MOB;AOB;AON
CEMBA180212_1C,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,MOB;AOB;AON,nuclei,1266,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,MOB;AOB;AON
CEMBA180213_1B,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,ORB;FRP,nuclei,1404,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,ORB;FRP
CEMBA180220_2E,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,TTd;TTv;AON,nuclei,1445,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,TTd;TTv;AON
CEMBA180222_2E,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,TTd;TTv;AON,nuclei,1253,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,TTd;TTv;AON
CEMBA180226_1A,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,MOs,nuclei,1366,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,MOs
CEMBA180227_1A,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,MOs,nuclei,1100,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,MOs
CEMBA180305_2B,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,MOs,nuclei,1040,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,MOs
CEMBA180306_2B,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,MOs,nuclei,1418,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,MOs
CEMBA180312_3B,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,MOs,nuclei,1343,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,MOs
CEMBA180313_2D,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,PIR,nuclei,544,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,PIR
CEMBA180319_2D,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,PIR,nuclei,314,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,PIR
CEMBA180320_3E,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,PIR,nuclei,1339,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,PIR
CEMBA180326_3E,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,PIR,nuclei,1190,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,PIR
CEMBA180329_4F,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,PIR,nuclei,1336,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,PIR
CEMBA180402_4F,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,PIR,nuclei,1258,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,PIR
CEMBA180403_2D,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,PIR,nuclei,1608,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,PIR
CEMBA180405_3F,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,ACB;SI,nuclei,1138,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,ACB;SI
CEMBA180409_2C,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,MOp,nuclei,1159,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,MOp
CEMBA180410_2C,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,MOp,nuclei,1049,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,MOp
CEMBA180412_3D,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,AI,nuclei,1114,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,AI
CEMBA180416_3D,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,AI,nuclei,1294,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,AI
CEMBA180417_4C,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,SSp,nuclei,1049,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,SSp
CEMBA180419_4C,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,SSp,nuclei,1005,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,SSp
CEMBA180423_7B,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,SSp,nuclei,1245,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,SSp
CEMBA180424_7B,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,SSp,nuclei,917,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,SSp
CEMBA180426_8B,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,SSp,nuclei,1471,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,SSp
CEMBA180430_8B,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,SSp,nuclei,1481,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,SSp
CEMBA180501_3B,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,MOs,nuclei,1135,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,MOs
CEMBA180514_5B,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,SSp,nuclei,850,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,SSp
CEMBA180529_5B,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,SSp,nuclei,1203,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,SSp
CEMBA180605_5D,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,MOp,nuclei,1140,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,MOp
CEMBA180612_5D,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,MOp,nuclei,1231,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,,,MOp
CEMBA180730_4H,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,MS;NDB,nuclei,903,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,MS;NDB
CEMBA180806_4H,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,MS;NDB,nuclei,1219,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,MS;NDB
CEMBA180904_5J,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,LSX,nuclei,1529,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,LSX
CEMBA180910_5J,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,LSX,nuclei,1500,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,LSX
CEMBA180917_4G,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,LSX,nuclei,1364,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,LSX
CEMBA180925_5E,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,CP,nuclei,1364,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q3,,,CP
CEMBA181002_5C,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,SSs,nuclei,1514,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,SSs
CEMBA181008_5G,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,PIR,nuclei,1509,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,PIR
CEMBA181009_5G,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,PIR,nuclei,1480,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,PIR
CEMBA181015_5H,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,BST;SI,nuclei,1504,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,BST;SI
CEMBA181016_5H,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,BST;SI,nuclei,1504,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,BST;SI
CEMBA181022_6B,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,SSp,nuclei,1530,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,SSp
CEMBA181023_6B,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,SSp,nuclei,1524,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,SSp
CEMBA181204_4G,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,LSX,nuclei,1227,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,LSX
CEMBA181206_5E,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,CP,nuclei,1240,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q3,,,CP
CEMBA181210_5C,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,SSs,nuclei,1492,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,SSs
CEMBA181218_5F,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,ACB,nuclei,1504,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,ACB
CEMBA181220_5F,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,ACB,nuclei,1480,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,ACB
CEMBA190108_6A,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,ACA,nuclei,1528,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,ACA
CEMBA190117_6A,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,ACA,nuclei,1518,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,ACA
CEMBA190122_6C,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,SSs,nuclei,1510,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,SSs
CEMBA190124_6C,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,SSs,nuclei,1529,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,SSs
CEMBA190131_6D,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,PIR,nuclei,1446,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,PIR
CEMBA190205_5A,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,ACA,nuclei,1291,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q3,,,ACA
CEMBA190205_6D,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,PIR,nuclei,1504,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,PIR
CEMBA190207_5J,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,LSX,nuclei,1242,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q3,,,LSX
CEMBA190212_9H,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,CA1;CA2;CA3,nuclei,1532,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,HPF (CA1-CA3)
CEMBA190212_9J,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,DG,nuclei,1528,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,HPF (DG)
CEMBA190214_11E,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,CA1;CA2;CA3,nuclei,1523,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,vHPF (CA1-CA3)
CEMBA190214_11F,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,DG,nuclei,1522,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,vHPF (DG)
CEMBA190219_9H,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,CA1;CA2;CA3,nuclei,1530,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,HPF (CA1-CA3)
CEMBA190219_9J,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,DG,nuclei,1509,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,HPF (DG)
CEMBA190305_11E,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,CA1;CA2;CA3,nuclei,1503,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,vHPF (CA1-CA3)
CEMBA190305_11F,mouse,NCBI:txid10090,,wt/wt,epigenomics,mC-seq2,DG,nuclei,1521,Salk Institute for Biological Sciences,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,,,vHPF (DG)
