Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
SW171120-01A,mouse,NCBI:txid10090,SW171120-01A,wt/wt,connectivity,TRIO tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2018Q3,Missing injection structures,,
SW171120-02A,mouse,NCBI:txid10090,SW171120-02A,wt/wt,connectivity,TRIO tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2018Q3,Missing injection structures,,
SW171120-04A,mouse,NCBI:txid10090,SW171120-04A,wt/wt,connectivity,TRIO tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2018Q3,Missing injection structures,,
SW171120-05A,mouse,NCBI:txid10090,SW171120-05A,wt/wt,connectivity,TRIO tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2018Q3,Missing injection structures,,
SW171219-01A,mouse,NCBI:txid10090,SW171219-01A,wt/wt,connectivity,TRIO tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2018Q3,Missing injection structures,,
SW180214-02A,mouse,NCBI:txid10090,SW180214-02A,wt/wt,connectivity,TRIO tracing,MOp:MOs,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2018Q4,Injection structure names not yet reconciled to ontology; format needs to be resolved,,MOp:MOs
SW180509-01A,mouse,NCBI:txid10090,SW180509-01A,wt/wt,connectivity,TRIO tracing,MOp:MOs,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2018Q4,Injection structure names not yet reconciled to ontology; format needs to be resolved,,MOp:MOs
SW180509-02A,mouse,NCBI:txid10090,SW180509-02A,wt/wt,connectivity,TRIO tracing,MOp:MOs,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2018Q4,Injection structure names not yet reconciled to ontology; format needs to be resolved,,MOp:MOs
SW180509-05A,mouse,NCBI:txid10090,SW180509-05A,wt/wt,connectivity,TRIO tracing,MOs:MOs,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2018Q4,Injection structure names not yet reconciled to ontology; format needs to be resolved,,MOp:MOs
SW180510-01A,mouse,NCBI:txid10090,SW180510-01A,wt/wt,connectivity,TRIO tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2018Q3,Missing injection structures,,
SW180510-02A,mouse,NCBI:txid10090,SW180510-02A,wt/wt,connectivity,TRIO tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2018Q3,Missing injection structures,,
SW180510-03A,mouse,NCBI:txid10090,SW180510-03A,wt/wt,connectivity,TRIO tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2018Q3,Missing injection structures,,
SW180510-04A,mouse,NCBI:txid10090,SW180510-04A,wt/wt,connectivity,TRIO tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2018Q3,Missing injection structures,,
SW180510-05A,mouse,NCBI:txid10090,SW180510-05A,wt/wt,connectivity,TRIO tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2018Q3,Missing injection structures,,
SW180606-05A,mouse,NCBI:txid10090,SW180606-05A,wt/wt,connectivity,TRIO tracing,MOp:MOs,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2018Q4,Injection structure names not yet reconciled to ontology; format needs to be resolved,,MOp:MOs
SW181217-01A,mouse,NCBI:txid10090,SW181217-01A,wt/wt,connectivity,TRIO tracing,SSp-ul:MOp:MOp,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,SSp-ul:Mop-ul:Mop-ul
SW181217-02A,mouse,NCBI:txid10090,SW181217-02A,wt/wt,connectivity,TRIO tracing,SSp-bfd:MOp:MOp,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,SSp-bfd:Mop-ul:Mop-ul
SW181219-01A,mouse,NCBI:txid10090,SW181219-01A,wt/wt,connectivity,TRIO tracing,PCN:MOp:MOp,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,PCN:Mop-ul:Mop-ul
SW181219-04A,mouse,NCBI:txid10090,SW181219-04A,wt/wt,connectivity,TRIO tracing,CP;int:MOp,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,CP_int:Mop-ul:Mop-ul
SW190528-02A,mouse,NCBI:txid10090,SW190528-02A,wt/wt,connectivity,TRIO tracing,SC:SSp:SSp,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2019Q3,,,SC:SSp:SSp
SW190528-04A,mouse,NCBI:txid10090,SW190528-04A,wt/wt,connectivity,TRIO tracing,SPVI:SSp-bfd:SSp-bfd,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2019Q3,,,SPVI:SSp-bfd:SSp-bfd
SW190606-07A,mouse,NCBI:txid10090,SW190606-07A,wt/wt,connectivity,TRIO tracing,SSp:SSp:MOp,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2019Q3,,,SSp:SSp:MOp
SW190607-01A,mouse,NCBI:txid10090,SW190607-01A,wt/wt,connectivity,TRIO tracing,SSp:SSp:CLI,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2019Q3,,,SSp:SSp:CLI
SW190905-10A,mouse,NCBI:txid10090,SW190905-10A,wt/wt,connectivity,TRIO tracing,ACAd:MOs:DP:DP,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2019Q4,,,ACAd/MOs:DP:DP
SW190906-09A,mouse,NCBI:txid10090,SW190906-09A,wt/wt,connectivity,TRIO tracing,STR:VISp:VISp,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2019Q4,,,STR:VISp:VISp
SW190906-10A,mouse,NCBI:txid10090,SW190906-10A,wt/wt,connectivity,TRIO tracing,LP:VISp:VISp,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2019Q4,,,LP:VISp:VISp
SW190909-01A,mouse,NCBI:txid10090,SW190909-01A,wt/wt,connectivity,TRIO tracing,VISp:VISp:SSp,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,C57Bl6,2019Q4,,,VISp:VISp:SSp
SW191101-01,mouse,NCBI:txid10090,SW191101-01,C57Bl6,connectivity,TRIO tracing,ACAd:ACAd:ZI,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,,2020Q1,,,
SW191101-02,mouse,NCBI:txid10090,SW191101-02,C57Bl6,connectivity,TRIO tracing,RT:ACAv:ACAv,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,,2020Q1,,,
SW191101-05,mouse,NCBI:txid10090,SW191101-05,C57Bl6,connectivity,TRIO tracing,PRNc:fail:fail,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,,2020Q1,,,
SW191118-03,mouse,NCBI:txid10090,SW191118-03,C57Bl6,connectivity,TRIO tracing,CP:ACAv:ACAv,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114831-01,ecker_trio,BIL,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,,2020Q1,,,
