Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
marm022_A1,marmoset,NCBI:txid9483,marm022,,transcriptomics,Drop-seq,A1C,nuclei,4891,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NeMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,raw unaligned data,2019Q3,Injection structure names not yet reconciled to ontology;,,A1
marm022_Cd,marmoset,NCBI:txid9483,marm022,,transcriptomics,Drop-seq,Ca,nuclei,16268,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NeMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,raw unaligned data,2019Q4,Injection structure names not yet reconciled to ontology;,,Caudate nucleus
marm022_Hipp_sl09,marmoset,NCBI:txid9483,marm022,,transcriptomics,Drop-seq,HIP,nuclei,24675,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NeMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,raw unaligned data,2019Q3,Injection structure names not yet reconciled to ontology;,,Hippocampus (Hippocampal Formation)
marm022_Hipp_sl10,marmoset,NCBI:txid9483,marm022,,transcriptomics,Drop-seq,HIP,nuclei,13623,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NeMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,raw unaligned data,2019Q3,Injection structure names not yet reconciled to ontology;,,Hippocampus (Hippocampal Formation)
marm022_Par_sl10_pool1,marmoset,NCBI:txid9483,marm022,,transcriptomics,Drop-seq,PoPC,nuclei,23345,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NeMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,raw unaligned data,2019Q3,Injection structure names not yet reconciled to ontology;,,Posterior Parietal Cortex (PoPC)
marm022_Par_sl10_pool3,marmoset,NCBI:txid9483,marm022,,transcriptomics,Drop-seq,PoPC,nuclei,19611,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NeMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,raw unaligned data,2019Q3,Injection structure names not yet reconciled to ontology;,,Posterior Parietal Cortex (PoPC)
marm022_Par_sl10,marmoset,NCBI:txid9483,marm022,,transcriptomics,Drop-seq,PoPC,nuclei,16684,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NeMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,raw unaligned data,2018Q4,Injection structure names not yet reconciled to ontology;,,Posterior Parietal Cortex (PoPC)
marm022_PFCdl_sl02,marmoset,NCBI:txid9483,marm022,,transcriptomics,Drop-seq,DFC;A9/46,nuclei,13934,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NeMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,raw unaligned data,2018Q4,Injection structure names not yet reconciled to ontology;,,Dorsolateral Prefrontal (area 8 and 9/46)
marm022_PFCm,marmoset,NCBI:txid9483,marm022,,transcriptomics,Drop-seq,PoFC,nuclei,13899,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NeMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,raw unaligned data,2019Q3,Injection structure names not yet reconciled to ontology;,,Frontal Polar Cortex (A10m)
marm022_PFCvl,marmoset,NCBI:txid9483,marm022,,transcriptomics,Drop-seq,VFC,nuclei,24498,Massachusetts Institute of Technology,Guoping Feng; Steven McCarroll,1U01MH114819-01,feng_sn_dropseq,NeMO,http://data.nemoarchive.org/biccn/grant/feng/transcriptome/scell/,raw unaligned data,2019Q4,Injection structure names not yet reconciled to ontology;,,VFC (ventrolateral prefrontal cortex)
