Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
SW170829-01A,mouse,NCBI:txid10090,SW170829-01A,wt/wt,connectivity,anterograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_antero,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,C57Bl6,2018Q3,Missing injection structures,,
SW170829-02A,mouse,NCBI:txid10090,SW170829-02A,wt/wt,connectivity,anterograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_antero,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,C57Bl6,2018Q3,Missing injection structures,,
SW170910-01A,mouse,NCBI:txid10090,SW170910-01A,wt/wt,connectivity,anterograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_antero,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,C57Bl6,2018Q3,Missing injection structures,,
SW170917-01A,mouse,NCBI:txid10090,SW170917-01A,wt/wt,connectivity,anterograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_antero,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,C57Bl6,2018Q3,Missing injection structures,,
SW171101-01A,mouse,NCBI:txid10090,SW171101-01A,wt/wt,connectivity,anterograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_antero,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,C57Bl6,2018Q3,Missing injection structures,,
SW171101-02A,mouse,NCBI:txid10090,SW171101-02A,wt/wt,connectivity,anterograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_antero,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,C57Bl6,2018Q3,Missing injection structures,,
SW171101-03A,mouse,NCBI:txid10090,SW171101-03,wt/wt,connectivity,anterograde tracing,MOp:MOp:MOp,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_antero,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,C57Bl6,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,MOp:MOp:MOp
SW171102-01A,mouse,NCBI:txid10090,SW171102-01,wt/wt,connectivity,anterograde tracing,MOp:MOp:MOp,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_antero,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,C57Bl6,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,MOp:MOp:MOp
SW171102-02A,mouse,NCBI:txid10090,SW171102-02,wt/wt,connectivity,anterograde tracing,SSp:MOp:MOp,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_antero,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,C57Bl6,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,SSp:MOp:MOp
SW171130-01A,mouse,NCBI:txid10090,SW171130-01A,wt/wt,connectivity,anterograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_antero,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,C57Bl6,2018Q3,Missing injection structures,,
SW171130-02A,mouse,NCBI:txid10090,SW171130-02A,wt/wt,connectivity,anterograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_antero,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,C57Bl6,2018Q3,Missing injection structures,,
SW180117-01A,mouse,NCBI:txid10090,SW180117-01,wt/wt,connectivity,anterograde tracing,Aid:MOs:MOp,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_antero,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,C57Bl6,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,Ald:MOs:MOp
SW180122-02A,mouse,NCBI:txid10090,SW180122-02,wt/wt,connectivity,anterograde tracing,MOs:MOs:MOs,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_antero,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,C57Bl6,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,MOs:MOs:MOs
SW180124-01A,mouse,NCBI:txid10090,SW180124-01,wt/wt,connectivity,anterograde tracing,MOp:MOp:MOp,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_antero,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,C57Bl6,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,MOp:MOp:MOp
SW180227-01A,mouse,NCBI:txid10090,SW180227-01,wt/wt,connectivity,anterograde tracing,ILA:ACAv:ACAd,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_antero,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,C57Bl6,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,ILA:ACAv:ACAd
SW181109-07A,mouse,NCBI:txid10090,SW181109-07,wt/wt,connectivity,anterograde tracing,MOp:SSp-bfd:SSp-bfd,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_antero,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,C57Bl6,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,MOp:SSp-bfd:SSp-bfd
SW190315-03A,mouse,NCBI:txid10090,SW190315-03A,wt/wt,connectivity,anterograde tracing,VPL:PO:RT,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_antero,BIL,,C57Bl6,2019Q3,,,VPL:PO:RT
SW190315-04A,mouse,NCBI:txid10090,SW190315-04A,wt/wt,connectivity,anterograde tracing,VPM:PO:RT,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_antero,BIL,,C57Bl6,2019Q3,,,VPM:PO:RT
SW190613-07A,mouse,NCBI:txid10090,SW190613-07A,wt/wt,connectivity,anterograde tracing,RN:MRN:PRNr,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_antero,BIL,,C57Bl6,2019Q3,,,RN:MRN:PRNr
SW190613-08A,mouse,NCBI:txid10090,SW190613-08A,wt/wt,connectivity,anterograde tracing,RN:MRN:PRNr,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_antero,BIL,,C57Bl6,2019Q3,,,RN:MRN:PRNr
SW190613-09A,mouse,NCBI:txid10090,SW190613-09A,wt/wt,connectivity,anterograde tracing,XII:ECU;SPVI:fail,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_antero,BIL,,C57Bl6,2019Q3,,,XII:ECU/SPVI.d:fail
