Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes
182680,mouse,NCBI:txid10090,182680,Fezf2-2A-CreER;LSL-Flpo,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_18112613-182680,,,
182682,mouse,NCBI:txid10090,182682,Fezf2-2A-CreER;LSL-Flpo,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_18112615-182682,,,
190369,mouse,NCBI:txid10090,190369,Fezf2-2A-CreER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19011807-190369,,,
190891,mouse,NCBI:txid10090,190891,PlxnD1-2A-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022513-190891,,,
190903,mouse,NCBI:txid10090,190903,PlxnD1-2A-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022518_190903,,,
190905,mouse,NCBI:txid10090,190905,PlxnD1-2A-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022519-190905,,,
190904,mouse,NCBI:txid10090,190904,PlxnD1-2A-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022520-190904,,,
190895,mouse,NCBI:txid10090,190895,PlxnD1-2A-creER,cell morphology,fMOST,SSp-ul,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022522-190895,,,
190893,mouse,NCBI:txid10090,190893,PlxnD1-2A-creER,cell morphology,fMOST,MOs;MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022523-190893,,,
190898,mouse,NCBI:txid10090,190898,PlxnD1-2A-creER,cell morphology,fMOST,MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19022526-190898,,,
191223,mouse,NCBI:txid10090,191223,PlxnD1-2A-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19030601-191223,,,
191224,mouse,NCBI:txid10090,191224,PlxnD1-2A-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19030602-191224,,,
191185,mouse,NCBI:txid10090,191185,Fezf2-2A-CreER;LSL-Flpo,cell morphology,fMOST,MOs;MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19032505-191185,,,
191175,mouse,NCBI:txid10090,191175,Fezf2-2A-CreER;LSL-Flpo,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19032507-191175,,,
191171,mouse,NCBI:txid10090,191171,Fezf2-2A-CreER;LSL-Flpo,cell morphology,fMOST,MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19032508-191171,,,
191174,mouse,NCBI:txid10090,191174,Fezf2-2A-CreER;LSL-Flpo,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19032509-191174,,,
