Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes
193388,mouse,NCBI:txid10090,193388,Fezf2-CreER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_019081501-193388,,,
193374,mouse,NCBI:txid10090,193374,Fezf2-CreER,cell morphology,fMOST,SSp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_019081503-193374,,,
193375,mouse,NCBI:txid10090,193375,Fezf2-CreER,cell morphology,fMOST,SSp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_019081504-193375,,,
193376,mouse,NCBI:txid10090,193376,Fezf2-CreER,cell morphology,fMOST,MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_019081505-193376,,,
193377,mouse,NCBI:txid10090,193377,Fezf2-CreER,cell morphology,fMOST,MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_019081506-193377,,,
193378,mouse,NCBI:txid10090,193378,Fezf2-CreER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_019081507-193378,,,
193379,mouse,NCBI:txid10090,193379,Fezf2-CreER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_019081508-193379,,,
193381,mouse,NCBI:txid10090,193381,Fezf2-CreER,cell morphology,fMOST,MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_019081510-193381,,,
193382,mouse,NCBI:txid10090,193382,Fezf2-CreER,cell morphology,fMOST,MOs;MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_019081511-193382,,,
193383,mouse,NCBI:txid10090,193383,Fezf2-CreER,cell morphology,fMOST,MOs;MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_019081512-193383,,,
193385,mouse,NCBI:txid10090,193385,Fezf2-CreER,cell morphology,fMOST,MOs;MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_019081513-193385,,,
193386,mouse,NCBI:txid10090,193386,Fezf2-CreER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_019081514-193386,,,
