Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
CUX-LB01-0001,mouse,NCBI:txid10090,,Cux2-CreERT2;Sun1-sfGFP,transcriptomics,SMART-seq v4,SSp;SSs;VISC;GU;AIp,bulk nuclei,1,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_bulk_SSv4,NeMO,,Cux2-lineage projection neurons;FACS-GFP;Tamoxifen P7;Male n=5;adult P56;coronal 1mm;0.13 to -0.47 mm ant. ac,2020Q1,,,
CUX-LB01-0002,mouse,NCBI:txid10090,,Cux2-CreERT2;Sun1-sfGFP,transcriptomics,SMART-seq v4,SSp;SSs;VISC;AIp,bulk nuclei,1,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_bulk_SSv4,NeMO,,Cux2-lineage projection neurons;FACS-GFP;Tamoxifen P7;Male n=5;adult P56;coronal 1mm;-0.57 to -1.47 mm ant. ac,2020Q1,,,
TBR-LB01-00010,mouse,NCBI:txid10090,,Tbr2-CreERT2;Sun1-sfGFP,transcriptomics,SMART-seq v4,,bulk nuclei,1,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_bulk_SSv4,NeMO,,Tbr2-lineage projection neurons;FACS-GFP;Tamoxifen E16.5;Male n=5; adult P56;coronal 1mm;-0.57 to -1.47 mm ant. ac,2019Q4,,,SSp;SSs;VISC;Aip
TBR-LB01-00011,mouse,NCBI:txid10090,,Tbr2-CreERT2;Sun1-sfGFP,transcriptomics,SMART-seq v4,PF:SCig:fail:CP,bulk nuclei,1,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_bulk_SSv4,NeMO,,Tbr2-lineage projection neurons;FACS-GFP;Tamoxifen E16.5;Male n=5; adult P56;coronal 1mm;-2.27 to -3.17 mm ant. ac,2019Q4,,,AUDd;AUDp;AUDv;TEa
TBR-LB01-00012,mouse,NCBI:txid10090,,Tbr2-CreERT2;Sun1-sfGFP,transcriptomics,SMART-seq v4,OT2;isl:MOs:SM:VTA,bulk nuclei,1,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_bulk_SSv4,NeMO,,Tbr2-lineage projection neurons;FACS-GFP;Tamoxifen E16.5;Male n=5; adult P56;coronal 1mm;-3.27 to -4.07 mm ant. ac,2019Q4,,,VISpm;VISp;VISl;VISli
TBR-LB01-0001,mouse,NCBI:txid10090,,Tbr2-CreERT2;Sun1-sfGFP,transcriptomics,SMART-seq v4,CP:SSp-ul:SSp-bfd:SSs,bulk nuclei,1,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_bulk_SSv4,NeMO,,C57Bl6,2019Q4,,,MOp;MOs
TBR-LB01-0002,mouse,NCBI:txid10090,,Tbr2-CreERT2;Sun1-sfGFP,transcriptomics,SMART-seq v4,MOs5:CP:VAL:MDl,bulk nuclei,1,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_bulk_SSv4,NeMO,,C57Bl6,2019Q4,,,MOp;MOs
TBR-LB01-0003,mouse,NCBI:txid10090,,Tbr2-CreERT2;Sun1-sfGFP,transcriptomics,SMART-seq v4,MOs:CP:LD:ZI,bulk nuclei,1,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_bulk_SSv4,NeMO,,C57Bl6,2019Q4,,,SSp;SSs;VISC;GU;AIp
TBR-LB01-0004,mouse,NCBI:txid10090,,Tbr2-CreERT2;Sun1-sfGFP,transcriptomics,SMART-seq v4,,bulk nuclei,1,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_bulk_SSv4,NeMO,,C57Bl6,2019Q4,,,SSp;SSs;VISC;Aip
TBR-LB01-0005,mouse,NCBI:txid10090,,Tbr2-CreERT2;Sun1-sfGFP,transcriptomics,SMART-seq v4,CP:PVT:SI:MDm,bulk nuclei,1,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_bulk_SSv4,NeMO,,C57Bl6,2019Q4,,,AUDd;AUDp;AUDv;TEa
