Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
CUX-L01-0001,mouse,NCBI:txid10090,,Cux2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v2 sequencing,MOp;MOs,nuclei,2641,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_sn_10xv2,NeMO,,Cux2-lineage projection neurons;FACS-GFP;Tamoxifen P7;Male n=5;adult P56;coronal 1mm;2.83 to 2.43 mm ant. ac,2020Q1,,,
CUX-L01-0002,mouse,NCBI:txid10090,,Cux2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v2 sequencing,MOp;MOs,nuclei,4600,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_sn_10xv2,NeMO,,Cux2-lineage projection neurons;FACS-GFP;Tamoxifen P7;Male n=5;adult P56;coronal 1mm;1.03 to 0.23 mm ant. ac,2020Q1,,,
CUX-L01-0003,mouse,NCBI:txid10090,,Cux2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v2 sequencing,SSp;SSs;VISC;GU;AIp,nuclei,3323,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_sn_10xv2,NeMO,,Cux2-lineage projection neurons;FACS-GFP;Tamoxifen P7;Male n=5;adult P56;coronal 1mm;0.13 to -0.47 mm ant. ac,2020Q1,,,
CUX-L01-0004,mouse,NCBI:txid10090,,Cux2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v2 sequencing,SSp;SSs;VISC;AIp,nuclei,3829,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_sn_10xv2,NeMO,,Cux2-lineage projection neurons;FACS-GFP;Tamoxifen P7;Male n=5;adult P56;coronal 1mm;-0.57 to -1.47 mm ant. ac,2020Q1,,,
CUX-L01-0005,mouse,NCBI:txid10090,,Cux2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v2 sequencing,AUDd;AUDp;AUDv;TEa,nuclei,1429,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_sn_10xv2,NeMO,,Cux2-lineage projection neurons;FACS-GFP;Tamoxifen P7;Male n=5;adult P56;coronal 1mm;-2.27 to -3.17 mm ant. ac,2020Q1,,,
CUX-L01-0006,mouse,NCBI:txid10090,,Cux2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v2 sequencing,VISpm;VISp;VISl;VISli,nuclei,3193,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_sn_10xv2,NeMO,,Cux2-lineage projection neurons;FACS-GFP;Tamoxifen P7;Male n=5;adult P56;coronal 1mm;-3.27 to -4.07 mm ant. ac,2020Q1,,,
TBR-L01-0001,mouse,NCBI:txid10090,,Tbr2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v2 sequencing,MOp;MOs,nuclei,3472,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_sn_10xv2,NeMO,,Tbr2-lineage projection neurons;FACS-GFP;Tamoxifen E16.5;Female n=5; adult P55;coronal 1mm;2.83 to 2.43 mm ant. ac,2019Q4,,,MOp;MOs
TBR-L01-0002,mouse,NCBI:txid10090,,Tbr2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v2 sequencing,MOp;MOs,nuclei,6966,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_sn_10xv2,NeMO,,Tbr2-lineage projection neurons;FACS-GFP;Tamoxifen E16.5;Female n=5; adult P55;coronal 1mm;1.03 to 0.23 mm ant. ac,2019Q4,,,MOp;MOs
TBR-L01-0003,mouse,NCBI:txid10090,,Tbr2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v2 sequencing,SSp;SSs;VISC;GU;AIp,nuclei,2123,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_sn_10xv2,NeMO,,Tbr2-lineage projection neurons;FACS-GFP;Tamoxifen E16.5;Female n=5; adult P55;coronal 1mm;0.13 to -0.47 mm ant. ac,2019Q4,,,SSp;SSs;VISC;GU;AIp
TBR-L01-0004,mouse,NCBI:txid10090,,Tbr2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v2 sequencing,SSp;SSs;VISC;AIp,nuclei,3096,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_sn_10xv2,NeMO,,Tbr2-lineage projection neurons;FACS-GFP;Tamoxifen E16.5;Female n=5; adult P55;coronal 1mm;-0.57 to -1.47 mm ant. ac,2019Q4,,,SSp;SSs;VISC;Aip
TBR-L01-0005,mouse,NCBI:txid10090,,Tbr2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v2 sequencing,AUDd;AUDp;AUDv;TEa,nuclei,2882,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_sn_10xv2,NeMO,,Tbr2-lineage projection neurons;FACS-GFP;Tamoxifen E16.5;Female n=5; adult P55;coronal 1mm;-2.27 to -3.17 mm ant. ac,2019Q4,,,AUDd;AUDp;AUDv;TEa
TBR-L01-0006,mouse,NCBI:txid10090,,Tbr2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v2 sequencing,VISpm;VISp;VISl;VISli,nuclei,2951,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_sn_10xv2,NeMO,,Tbr2-lineage projection neurons;FACS-GFP;Tamoxifen E16.5;Female n=5; adult P55;coronal 1mm;-3.27 to -4.07 mm ant. ac,2019Q4,,,VISpm;VISp;VISl;VISli
TBR-L01-0007,mouse,NCBI:txid10090,,Tbr2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v2 sequencing,PIR,nuclei,394,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_sn_10xv2,NeMO,,Tbr2-lineage projection neurons;FACS-GFP;Tamoxifen E16.5;Female n=5; adult P55;coronal 1mm;-0.57 to -1.47 mm ant. ac,2019Q4,,,Piriform
TBR-L01-0008,mouse,NCBI:txid10090,,Tbr2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v2 sequencing,MOp;MOs,nuclei,3811,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_sn_10xv2,NeMO,,Tbr2-lineage projection neurons;FACS-GFP;Tamoxifen E16.5;Male n=5; adult P56;coronal 1mm;2.83 to 2.43 mm ant. ac,2019Q4,,,MOp;MOs
TBR-L01-0010,mouse,NCBI:txid10090,,Tbr2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v2 sequencing,SSp;SSs;VISC;GU;AIp,nuclei,3982,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_sn_10xv2,NeMO,,Tbr2-lineage projection neurons;FACS-GFP;Tamoxifen E16.5;Male n=5; adult P56;coronal 1mm;0.13 to -0.47 mm ant. ac,2019Q4,,,SSp;SSs;VISC;GU;AIp
TBR-L01-0011,mouse,NCBI:txid10090,,Tbr2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v2 sequencing,SSp;SSs;VISC;AIp,nuclei,3787,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_sn_10xv2,NeMO,,Tbr2-lineage projection neurons;FACS-GFP;Tamoxifen E16.5;Male n=5; adult P56;coronal 1mm;-0.57 to -1.47 mm ant. ac,2019Q4,,,SSp;SSs;VISC;Aip
TBR-L01-0012,mouse,NCBI:txid10090,,Tbr2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v2 sequencing,AUDd;AUDp;AUDv;TEa,nuclei,3776,Harvard University,Paola Arlotta,1U19MH114821-01,huang_pn_sn_10xv2,NeMO,,Tbr2-lineage projection neurons;FACS-GFP;Tamoxifen E16.5;Male n=5; adult P56;coronal 1mm;-2.27 to -3.17 mm ant. ac,2019Q4,,,AUDd;AUDp;AUDv;TEa
