Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
SW171221-04A,mouse,NCBI:txid10090,SW171221-04,wt/wt,connectivity,retrograde tracing,CP:SSp-ul:SSp-bfd:SSs,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_retro,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/retrograde/quad/,C57Bl6,2019Q1,Represented in 2 projects; Injection structure names not yet reconciled to ontology; format needs to be resolved,,CP:SSp-ul:SSp-bfd:SSs
SW180202-01A,mouse,NCBI:txid10090,SW180202-01,wt/wt,connectivity,retrograde tracing,MOs5:CP:VAL:MDl,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_retro,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/retrograde/quad/,C57Bl6,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,MOs5:CP:VAL:MDl
SW180202-02A,mouse,NCBI:txid10090,SW180202-02,wt/wt,connectivity,retrograde tracing,MOs:CP:LD:ZI,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_retro,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/retrograde/quad/,C57Bl6,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,MOs:CP:LD:ZI
SW180202-03A,mouse,NCBI:txid10090,SW180202-03A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_retro,BIL,,C57Bl6,2019Q3,,,
SW180305-01A,mouse,NCBI:txid10090,SW180305-01,wt/wt,connectivity,retrograde tracing,CP:PVT:SI:MDm,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_retro,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/retrograde/quad/,C57Bl6,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,CP:PVT:SI:MDm
SW180306-03A,mouse,NCBI:txid10090,SW180306-03,wt/wt,connectivity,retrograde tracing,MOs:VAL;RT:PO:VTA;ZI,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_retro,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/retrograde/quad/,C57Bl6,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,MOs:VAL/RT:PO:VTA/ZI
SW180314-03B,mouse,NCBI:txid10090,SW180314-03,wt/wt,connectivity,retrograde tracing,fail:RT:CL:SCig-b,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_retro,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/retrograde/quad/,C57Bl6,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,fail:RT:CL:SCig-b
SW180315-01B,mouse,NCBI:txid10090,SW180315-01,wt/wt,connectivity,retrograde tracing,NPC:PAG:CL:CP,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_retro,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/retrograde/quad/,C57Bl6,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,NPC:PAG:CL:CP
SW180315-02A,mouse,NCBI:txid10090,SW180315-02A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_retro,BIL,,C57Bl6,2019Q3,,,
SW180327-09A,mouse,NCBI:txid10090,SW180327-09,wt/wt,connectivity,retrograde tracing,PF:SCig:fail:CP,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_retro,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/retrograde/quad/,C57Bl6,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,PF:SCig:fail:CP
SW180328-04A,mouse,NCBI:txid10090,SW180328-04,wt/wt,connectivity,retrograde tracing,OT2;isl:MOs:SM:VTA,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_retro,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/retrograde/quad/,C57Bl6,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,OT2/isl:MOs:SM:VTA
SW180404-01A,mouse,NCBI:txid10090,SW180404-01,wt/wt,connectivity,retrograde tracing,Aid:MOs:MOp,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_retro,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/retrograde/quad/,C57Bl6,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,Ald:MOs:MOp
SW180404-04A,mouse,NCBI:txid10090,SW180404-04,wt/wt,connectivity,retrograde tracing,ACB:RT:PT:LHA,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_retro,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/retrograde/quad/,C57Bl6,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,ACB:RT:PT:LHA
SW181128-01A,mouse,NCBI:txid10090,SW181128-01A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_retro,BIL,,C57Bl6,2019Q3,,,
SW181218-01A,mouse,NCBI:txid10090,SW181218-01,wt/wt,connectivity,retrograde tracing,MOs:MOp:SSP-m:SSp-m,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_retro,BIL,http://download.brainimagelibrary.org/biccn/huang/dong/retrograde/quad/,C57Bl6,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,MOs:MOp:SSP-m:SSp-m
SW190220-01A,mouse,NCBI:txid10090,SW190220-01A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_retro,BIL,,C57Bl6,2019Q3,,,
SW190306-01A,mouse,NCBI:txid10090,SW190306-01A,wt/wt,connectivity,retrograde tracing,VPM:LD:RT,brains,1,University of Southern California,Hong-Wei Dong,1U19MH114821-01,huang_retro,BIL,,C57Bl6,2019Q3,,,VPM:LD:RT
