Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
pBICCNsMMrBrainstemai2md190402,mouse,NCBI:txid10090,F005,,transcriptomics,10x Chromium 3' v3 sequencing,PG;NTB;PRNc;TRN;CSm;PRNr;CSl;RPA;POR;RM;RPO;VII;SOCm;SOCl,nuclei,1316,Cold Spring Harbor Laboratory; Broad Institute,Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,,2019Q2,,,Brain Stem M2
pBICCNsMMrBrainstemai8md190402,mouse,NCBI:txid10090,M007,,transcriptomics,10x Chromium 3' v3 sequencing,MDRNv;LRNm;RO;IO;PGRNl;XII;LRNp;RPA;GRN;IRN,nuclei,10981,Cold Spring Harbor Laboratory; Broad Institute,Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,,2019Q2,,,Brain Stem M8
pBICCNsMMrBSL1aiM007d190529,mouse,NCBI:txid10090,M007,,transcriptomics,10x Chromium 3' v3 sequencing,NLLd;NLLh;KF;NLLv;SUT;V;PRNr;SUV;PB,nuclei,7432,Cold Spring Harbor Laboratory; Broad Institute,Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,,2019Q3,,,Brain Stem L1
pBICCNsMMrBSL1biM007d190529,mouse,NCBI:txid10090,M007,,transcriptomics,10x Chromium 3' v3 sequencing,NLLd;NLLh;KF;NLLv;SUT;V;PRNr;SUV;PB,nuclei,8770,Cold Spring Harbor Laboratory; Broad Institute,Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,,2019Q3,,,Brain Stem L1
pBICCNsMMrBSL1iF005d190521,mouse,NCBI:txid10090,F005,,transcriptomics,10x Chromium 3' v3 sequencing,NLLd;NLLh;KF;NLLv;SUT;V;PRNr;SUV;PB,nuclei,12401,Cold Spring Harbor Laboratory; Broad Institute,Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,,2019Q2,,,Brain Stem L1
pBICCNsMMrBSL1iF006d190514,mouse,NCBI:txid10090,F006,,transcriptomics,10x Chromium 3' v3 sequencing,NLLd;NLLh;KF;NLLv;SUT;V;PRNr;SUV;PB,nuclei,5612,Cold Spring Harbor Laboratory; Broad Institute,Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,,2019Q2,,,Brain Stem L1
pBICCNsMMrBSL1iF007d191016,mouse,NCBI:txid10090,F007,,transcriptomics,10x Chromium 3' v3 sequencing,NLLd;NLLh;KF;NLLv;SUT;V;PRNr;SUV;PB,nuclei,12350,Cold Spring Harbor Laboratory; Broad Institute,Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NeMO,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,,2019Q4,,,Brain Stem L1
pBICCNsMMrBSL1iM008d190717,mouse,NCBI:txid10090,M008,,transcriptomics,10x Chromium 3' v3 sequencing,NLLd;NLLh;KF;NLLv;SUT;V;PRNr;SUV;PB,nuclei,5455,Cold Spring Harbor Laboratory; Broad Institute,Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,,2019Q3,,,Brain Stem L1
pBICCNsMMrBSL1iM009d190722,mouse,NCBI:txid10090,M009,,transcriptomics,10x Chromium 3' v3 sequencing,NLLd;NLLh;KF;NLLv;SUT;V;PRNr;SUV;PB,nuclei,9537,Cold Spring Harbor Laboratory; Broad Institute,Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,,2019Q3,,,Brain Stem L1
pBICCNsMMrBSL1iM010d191022,mouse,NCBI:txid10090,M010,,transcriptomics,10x Chromium 3' v3 sequencing,NLLd;NLLh;KF;NLLv;SUT;V;PRNr;SUV;PB,nuclei,10616,Cold Spring Harbor Laboratory; Broad Institute,Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NeMO,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,,2019Q4,,,Brain Stem L1
