Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
170505_KM_FezfLSLflpS1ABC1female_processed,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,SSp-bfd,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,http://download.brainimagelibrary.org/biccn/huang/connectivity/STPT/,,2018Q3,,,SSp-bfd
170506_KM_PlexLSLflpS1ABC1female_processed,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,SSp-bfd,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,http://download.brainimagelibrary.org/biccn/huang/connectivity/STPT/,,2018Q3,,,SSp-bfd
170519_KM_PlexLSLflpS1ABC2male_processed,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,SSp-bfd,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,http://download.brainimagelibrary.org/biccn/huang/connectivity/STPT/,,2018Q3,,,SSp-bfd
170609_WG_KM_Tle4LSLflp_ABCfemale_processed,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,SSp-bfd,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,http://download.brainimagelibrary.org/biccn/huang/connectivity/STPT/,,2018Q3,,,SSp-bfd
170702_KM_fezfABC_female_processed,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,SSp-bfd,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,http://download.brainimagelibrary.org/biccn/huang/connectivity/STPT/,,2018Q3,,,SSp-bfd
170928_KM_Foxp2-cres1inj_processed,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,SSp-bfd,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,http://download.brainimagelibrary.org/biccn/huang/connectivity/STPT/,,2018Q3,,,SSp-bfd
170928_KM_Foxp2-cres1inj,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,SSp-bfd,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q2,,,SsP bfd
171003_KM_Foxp2s1abcmale_processed,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,SSp-bfd,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,http://download.brainimagelibrary.org/biccn/huang/connectivity/STPT/,,2018Q3,,,SSp-bfd
171005_KM_Foxp2Cres1abcmale_processed,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,SSp-bfd,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,http://download.brainimagelibrary.org/biccn/huang/connectivity/STPT/,,2018Q3,,,SSp-bfd
171106_KM_Tle4_LSLflp_ABCfemale_processed,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,SSp-bfd,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,http://download.brainimagelibrary.org/biccn/huang/connectivity/STPT/,,2018Q3,,,SSp-bfd
171107_KM_Tle4_LSLflp_ABCmale_processed,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,SSp-bfd,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,http://download.brainimagelibrary.org/biccn/huang/connectivity/STPT/,,2018Q3,,,SSp-bfd
171108_KM_Tle4_LSLflp_ABCmale_processed,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,SSp-bfd,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,http://download.brainimagelibrary.org/biccn/huang/connectivity/STPT/,,2018Q3,,,SSp-bfd
171109_KM_Tle4_LSLflp_ABCfemale_processed,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,SSp-bfd,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,http://download.brainimagelibrary.org/biccn/huang/connectivity/STPT/,,2018Q3,,,SSp-bfd
