Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
160609_KM_PlexinLSLflpfdmemGFPsypmRuby_processed,mouse,NCBI:txid10090,,,cell type distribution,STPT,,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_count,BIL,http://download.brainimagelibrary.org/biccn/huang/cellcounting/,,2018Q3,,,
160611_KM_PlexinAi14_male72_processed,mouse,NCBI:txid10090,,,cell type distribution,STPT,,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_count,BIL,http://download.brainimagelibrary.org/biccn/huang/cellcounting/,,2018Q3,,,
160813_KM_Sema3EAi14_processed,mouse,NCBI:txid10090,,,cell type distribution,STPT,,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_count,BIL,http://download.brainimagelibrary.org/biccn/huang/cellcounting/,,2018Q3,,,
160908_KM_Tle4Ai14male2mo_processed,mouse,NCBI:txid10090,,,cell type distribution,STPT,,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_count,BIL,http://download.brainimagelibrary.org/biccn/huang/cellcounting/,,2018Q3,,,
161007_KM_TcergAi14_male_processed,mouse,NCBI:txid10090,,,cell type distribution,STPT,,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_count,BIL,http://download.brainimagelibrary.org/biccn/huang/cellcounting/,,2018Q4,,,
161013_KM_TcergAi14_female_processed,mouse,NCBI:txid10090,,,cell type distribution,STPT,,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_count,BIL,http://download.brainimagelibrary.org/biccn/huang/cellcounting/,,2018Q4,,,
170112_KM_Fezfh2bGFPfemale_processed,mouse,NCBI:txid10090,,,cell type distribution,STPT,,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_count,BIL,http://download.brainimagelibrary.org/biccn/huang/cellcounting/,,2018Q3,,,
170114_KM_Fezfh2bgfpmale_processed,mouse,NCBI:txid10090,,,cell type distribution,STPT,,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_count,BIL,http://download.brainimagelibrary.org/biccn/huang/cellcounting/,,2018Q3,,,
170225_KM_FezfAi14female_processed,mouse,NCBI:txid10090,,,cell type distribution,STPT,,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_count,BIL,http://download.brainimagelibrary.org/biccn/huang/cellcounting/,,2018Q3,,,
170504_KM_FezfAi14female_processed,mouse,NCBI:txid10090,,,cell type distribution,STPT,,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_count,BIL,http://download.brainimagelibrary.org/biccn/huang/cellcounting/,,2018Q3,,,
170601PlexCreERAi14female_processed,mouse,NCBI:txid10090,,,cell type distribution,STPT,,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_count,BIL,http://download.brainimagelibrary.org/biccn/huang/cellcounting/,,2018Q3,,,
170602PlexCreERAi14female_processed,mouse,NCBI:txid10090,,,cell type distribution,STPT,,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_count,BIL,http://download.brainimagelibrary.org/biccn/huang/cellcounting/,,2018Q3,,,
170608_KM_FezfAi14_female_processed,mouse,NCBI:txid10090,,,cell type distribution,STPT,,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_count,BIL,http://download.brainimagelibrary.org/biccn/huang/cellcounting/,,2018Q3,,,
170622_KM_Fezfh2bGFPmale_processed,mouse,NCBI:txid10090,,,cell type distribution,STPT,,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_count,BIL,http://download.brainimagelibrary.org/biccn/huang/cellcounting/,,2018Q3,,,
170630_KM_fezh2bGFPfemale_processed,mouse,NCBI:txid10090,,,cell type distribution,STPT,,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_count,BIL,http://download.brainimagelibrary.org/biccn/huang/cellcounting/,,2018Q3,,,
170706_KM_FezfAi14female_processed,mouse,NCBI:txid10090,,,cell type distribution,STPT,,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_count,BIL,http://download.brainimagelibrary.org/biccn/huang/cellcounting/,,2018Q3,,,
170807_KM_PlexinSnapLSL-EGFPmale_processed,mouse,NCBI:txid10090,,,cell type distribution,STPT,,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_count,BIL,http://download.brainimagelibrary.org/biccn/huang/cellcounting/,,2018Q3,,,
