Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),Data Collection (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
GW18_2_CGE,human,NCBI:txid9606,GW18_2,,transcriptomics,10x Chromium 3' v3 sequencing,CGE,cells,5541,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4,,,CGE
GW18_2_claustrum,human,NCBI:txid9606,GW18_2,,transcriptomics,10x Chromium 3' v3 sequencing,Cla,cells,5759,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4,,,claustrum
GW18_2_hippocampus,human,NCBI:txid9606,GW18_2,,transcriptomics,10x Chromium 3' v3 sequencing,HIP,cells,8052,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4,,,hippocampus
GW18_2_hypothalamus,human,NCBI:txid9606,GW18_2,,transcriptomics,10x Chromium 3' v3 sequencing,HTH,cells,6984,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4,,,hypothalamus
GW18_2_LGE,human,NCBI:txid9606,GW18_2,,transcriptomics,10x Chromium 3' v3 sequencing,LGE,cells,7669,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4,,,LGE
GW18_2_MGE,human,NCBI:txid9606,GW18_2,,transcriptomics,10x Chromium 3' v3 sequencing,MGE,cells,6992,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4,,,MGE
GW18_2_motor,human,NCBI:txid9606,GW18_2,,transcriptomics,10x Chromium 3' v3 sequencing,M1C,cells,9293,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4,,,motor
GW18_2_motorVZ,human,NCBI:txid9606,GW18_2,,transcriptomics,10x Chromium 3' v3 sequencing,fVZm1,cells,4534,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4,,,motor - ventricular zone
GW18_2_parietal,human,NCBI:txid9606,GW18_2,,transcriptomics,10x Chromium 3' v3 sequencing,PCx,cells,6905,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4,,,parietal
GW18_2_ParVZ,human,NCBI:txid9606,GW18_2,,transcriptomics,10x Chromium 3' v3 sequencing,pVZ,cells,9227,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4,,,parietal - ventricular zone
GW18_2_somato,human,NCBI:txid9606,GW18_2,,transcriptomics,10x Chromium 3' v3 sequencing,S1C,cells,6302,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4,,,somatosensory
GW18_2_somatoVZ,human,NCBI:txid9606,GW18_2,,transcriptomics,10x Chromium 3' v3 sequencing,pVZs1,cells,4212,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4,,,somatosensory - ventricular zone
