Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Anatomical Structure (CV)
1105_BA22,human,NCBI:txid9606,,,transcriptomics,10x Chromium 3' v2 sequencing,SLTC,nuclei,7963,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
1158_BA22,human,NCBI:txid9607,,,transcriptomics,10x Chromium 3' v2 sequencing,SLTC,nuclei,2391,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
1443_BA22,human,NCBI:txid9608,,,transcriptomics,10x Chromium 3' v2 sequencing,SLTC,nuclei,2606,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
1453_BA24,human,NCBI:txid9609,1453,,transcriptomics,10x Chromium 3' v2 sequencing,MFC,nuclei,844,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,CgGr
1453_INS,human,NCBI:txid9610,1453,,transcriptomics,10x Chromium 3' v2 sequencing,ICx,nuclei,281,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Insula cortex,2018Q4,,ICx
1547_BA24,human,NCBI:txid9611,1547,,transcriptomics,10x Chromium 3' v2 sequencing,MFC,nuclei,1077,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,CgGr
1738_BA22,human,NCBI:txid9612,,,transcriptomics,10x Chromium 3' v2 sequencing,SLTC,nuclei,2714,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
1790_BA22,human,NCBI:txid9613,,,transcriptomics,10x Chromium 3' v2 sequencing,SLTC,nuclei,6252,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
1791_BA22,human,NCBI:txid9614,,,transcriptomics,10x Chromium 3' v2 sequencing,SLTC,nuclei,2500,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
1791_BA24,human,NCBI:txid9615,1791,,transcriptomics,10x Chromium 3' v2 sequencing,MFC,nuclei,1071,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,CgGr
1798_BA24,human,NCBI:txid9616,1798,,transcriptomics,10x Chromium 3' v2 sequencing,MFC,nuclei,38,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,CgGr
1798_BA9,human,NCBI:txid9617,1798,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,3367,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,PFC
1798_INS,human,NCBI:txid9618,1798,,transcriptomics,10x Chromium 3' v2 sequencing,ICx,nuclei,185,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Insula cortex,2018Q4,,ICx
1823_BA24,human,NCBI:txid9619,1823,,transcriptomics,10x Chromium 3' v2 sequencing,MFC,nuclei,327,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,CgGr
1864_BA22,human,NCBI:txid9620,,,transcriptomics,10x Chromium 3' v2 sequencing,SLTC,nuclei,1890,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
4283_BA13,human,NCBI:txid9621,4283,,transcriptomics,10x Chromium 3' v2 sequencing,ICx,nuclei,1449,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Insula cortex,2019Q1,,ICx
4283_BA22,human,NCBI:txid9622,4283,,transcriptomics,10x Chromium 3' v2 sequencing,SLTC,nuclei,120,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Temporal cortex,2019Q1,,TCx
4283_BA9,human,NCBI:txid9623,4283,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,3056,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2019Q1,,PFC
4293_BA24,human,NCBI:txid9624,4293,,transcriptomics,10x Chromium 3' v2 sequencing,MFC,nuclei,867,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2019Q1,,CgGr
4332_BA22,human,NCBI:txid9625,,,transcriptomics,10x Chromium 3' v2 sequencing,SLTC,nuclei,3764,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
4337_BA22,human,NCBI:txid9626,,,transcriptomics,10x Chromium 3' v2 sequencing,SLTC,nuclei,5043,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
4341_BA24,human,NCBI:txid9627,4341,,transcriptomics,10x Chromium 3' v2 sequencing,MFC,nuclei,737,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,CgGr
4341_BA46,human,NCBI:txid9628,4341,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,641,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,PFC
4350_BA24,human,NCBI:txid9629,4350,,transcriptomics,10x Chromium 3' v2 sequencing,MFC,nuclei,927,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,CgGr
