Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
Agrp_GFP_F2_191123,mouse,NCBI:txid10090,AgrpGFP-Agrp008,R26-CAG-LSL-H2B-GFP/R26-CAG-LSL-H2B-GFP; Agrp/Agrp,population imaging,STPT,brain,brains,1,Cold Spring Harbor Laboratory,Pavel Osten,1U01MH114824-01,osten_stpt,BIL,,,2019Q4,,,brain
Agrp_GFP_F4_191126,mouse,NCBI:txid10090,AgrpGFP-Agrp010,R26-CAG-LSL-H2B-GFP/R26-CAG-LSL-H2B-GFP; Agrp/Agrp,population imaging,STPT,brain,brains,1,Cold Spring Harbor Laboratory,Pavel Osten,1U01MH114824-01,osten_stpt,BIL,,,2019Q4,,,brain
Agrp_GFP_F6_191203,mouse,NCBI:txid10090,AgrpGFP-Agrp012,R26-CAG-LSL-H2B-GFP/R26-CAG-LSL-H2B-GFP; Agrp/Agrp,population imaging,STPT,brain,brains,1,Cold Spring Harbor Laboratory,Pavel Osten,1U01MH114824-01,osten_stpt,BIL,,,2019Q4,,,brain
Agrp_GFP_F8_191206,mouse,NCBI:txid10090,AgrpGFP-Agrp014,R26-CAG-LSL-H2B-GFP/R26-CAG-LSL-H2B-GFP; Agrp/Agrp,population imaging,STPT,brain,brains,1,Cold Spring Harbor Laboratory,Pavel Osten,1U01MH114824-01,osten_stpt,BIL,,,2019Q4,,,brain
Agrp_GFP_M1_191111,mouse,NCBI:txid10090,AgrpGFP-Agrp001,R26-CAG-LSL-H2B-GFP/R26-CAG-LSL-H2B-GFP; Agrp/Agrp,population imaging,STPT,brain,brains,1,Cold Spring Harbor Laboratory,Pavel Osten,1U01MH114824-01,osten_stpt,BIL,,,2019Q4,,,brain
Agrp_GFP_M2_191112,mouse,NCBI:txid10090,AgrpGFP-Agrp002,R26-CAG-LSL-H2B-GFP/R26-CAG-LSL-H2B-GFP; Agrp/Agrp,population imaging,STPT,brain,brains,1,Cold Spring Harbor Laboratory,Pavel Osten,1U01MH114824-01,osten_stpt,BIL,,,2019Q4,,,brain
Agrp_GFP_M3_191113,mouse,NCBI:txid10090,AgrpGFP-Agrp003,R26-CAG-LSL-H2B-GFP/R26-CAG-LSL-H2B-GFP; Agrp/Agrp,population imaging,STPT,brain,brains,1,Cold Spring Harbor Laboratory,Pavel Osten,1U01MH114824-01,osten_stpt,BIL,,,2019Q4,,,brain
Agrp_GFP_M4_191115,mouse,NCBI:txid10090,AgrpGFP-Agrp004,R26-CAG-LSL-H2B-GFP/R26-CAG-LSL-H2B-GFP; Agrp/Agrp,population imaging,STPT,brain,brains,1,Cold Spring Harbor Laboratory,Pavel Osten,1U01MH114824-01,osten_stpt,BIL,,,2019Q4,,,brain
Agrp_GFP_M5_191118,mouse,NCBI:txid10090,AgrpGFP-Agrp005,R26-CAG-LSL-H2B-GFP/R26-CAG-LSL-H2B-GFP; Agrp/Agrp,population imaging,STPT,brain,brains,1,Cold Spring Harbor Laboratory,Pavel Osten,1U01MH114824-01,osten_stpt,BIL,,,2019Q4,,,brain
Avptm_GFP_F1_181214,mouse,NCBI:txid10090,AvptmGFP-AVP001,R26-CAG-LSL-H2B-GFP/R26-CAG-LSL-H2B-GFP; Avptm/wt,population imaging,STPT,brain,brains,1,Cold Spring Harbor Laboratory,Pavel Osten,1U01MH114824-01,osten_stpt,BIL,,,2019Q2,,,brain
