Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
20161007_F09,mouse,NCBI:txid10090,248180,Ai14(RCL-tdT)/wt,cell population characterization,ATAC-seq,VISp,cells,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_ATACseq,NeMO,,,2020Q2,,,
20161007_G09,mouse,NCBI:txid10090,248180,Ai14(RCL-tdT)/wt,cell population characterization,ATAC-seq,VISp,cells,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_ATACseq,NeMO,,,2020Q2,,,
20161007_H09,mouse,NCBI:txid10090,248180,Ai14(RCL-tdT)/wt,cell population characterization,ATAC-seq,VISp,cells,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_ATACseq,NeMO,,,2020Q2,,,
20161102_A10,mouse,NCBI:txid10090,236562,Ai14(RCL-tdT)/wt,cell population characterization,ATAC-seq,VISp,cells,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_ATACseq,NeMO,,,2020Q2,,,
20161102_B10,mouse,NCBI:txid10090,236562,Ai14(RCL-tdT)/wt,cell population characterization,ATAC-seq,VISp,cells,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_ATACseq,NeMO,,,2020Q2,,,
20161102_C10,mouse,NCBI:txid10090,236561,Ai14(RCL-tdT)/wt,cell population characterization,ATAC-seq,VISp,cells,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_ATACseq,NeMO,,,2020Q2,,,
20161102_D10,mouse,NCBI:txid10090,236561,Ai14(RCL-tdT)/wt,cell population characterization,ATAC-seq,VISp,cells,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_ATACseq,NeMO,,,2020Q2,,,
20161102_E10,mouse,NCBI:txid10090,236561,Ai14(RCL-tdT)/wt,cell population characterization,ATAC-seq,VISp,cells,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_ATACseq,NeMO,,,2020Q2,,,
20161102_F10,mouse,NCBI:txid10090,236561,Ai14(RCL-tdT)/wt,cell population characterization,ATAC-seq,VISp,cells,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_ATACseq,NeMO,,,2020Q2,,,
20170306_A06,mouse,NCBI:txid10090,241636,Ai14(RCL-tdT)/wt,cell population characterization,ATAC-seq,VISp,cells,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_ATACseq,NeMO,,,2020Q2,,,
20170306_A07,mouse,NCBI:txid10090,241636,Ai14(RCL-tdT)/wt,cell population characterization,ATAC-seq,VISp,cells,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_ATACseq,NeMO,,,2020Q2,,,
20170306_A08,mouse,NCBI:txid10090,241636,Ai14(RCL-tdT)/wt,cell population characterization,ATAC-seq,VISp,cells,1,Allen Institute for Brain Science,Bosiljka Tasic,1RF1MH121274-01,tasic_ATACseq,NeMO,,,2020Q2,,,
